排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,持有判斷模式,今天動作,下一次確認,既有部位說明,主要原因,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,6770,力積電,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 70.54 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,83.5,79.6,67.9,85,100,可用,74,73.65,76.19,47.08,58.03,34.6,495.94,4.08,24.67,2.71,,12,3634,4055,4054,3998,3845,0,89279.588,102172.749,218428.95799999998,189328.73599999995,3803.009,4265.009,11635.009,11481.5,3,1,315610666,9669.394,13424.396,16.8,76078,107118,172111,,77685.143,88238.34599999999,193369.55299999999,164417.77799999996,57.06,56.37,48.5,72.1,true,false,4.9,4.67,
2,3702,大聯大,TWSE,電子通路業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 107.84 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,76.8,74.1,50.2,85,100,可用,114.5,113.75,80.46,62.39,2.64,83.99,119.79,8.42,9.8,2.05,3.18,26,1283,1320,1503,1292,7960,0,1242.069,8936.034,14403.366999999998,9029.321999999998,1283.526,1512.5319999999997,971.5319999999997,6462.531999999999,3,2,173184914,-7.608000000000047,-1059.8880000000001,34.26,284,8087,15356,,174.248,7431.11,14491.723,6334.828999999999,60.73,83.85,75.21,101.13,false,false,6.18,7.51,
3,6196,帆宣,TWSE,其他電子業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 514.21 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,81.5,72.4,43.8,85,100,完整,540,541.5,83.89,51.72,8.65,72.75,122.81,13.26,24.46,6.66,1.19,12,-1,2,11,42,-263,5,278.139,1108.031,1689.2340000000002,2669.772000000001,-1,8.55,38.55,-358.75,4,1,4617000,156.744,152.082,19.67,182,997,1568,,172.72,942.737,1498.6019999999999,2907.0389999999993,59.33,68.71,63.61,78.92,true,false,5.02,5.68,ETF加碼金額或跨基金共識尚未同時成立
4,3034,聯詠,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 542.25 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,79.9,70.8,58.1,85,100,可用,558,550.5,26.33,4.11,20.26,42.09,222.47,16.59,19.47,4.92,4.12,50,221,409,633,858,1657,6,2214.556,4989.186,8969.425,18707.757999999998,215.476,627.976,888.799,1922.1830000000002,4,1,350410608,306.91999999999996,284.62399999999997,44.67,1962,2416,5519,,1842.211,4054.29,7796.0019999999995,16357.608,58.29,71.15,62.73,87.99,false,false,2.9,2.01,
5,2851,中再保,TWSE,金融保險業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 45.28 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,72.1,70.7,67.9,85,100,完整,47,47.18,-31.48,75.57,,59.8,,7.91,4.45,1.43,4.68,4,0,208,1379,1471,2302,1379,132.812,1243.056,4124.871000000001,5208.862000000002,0,1379,1471,2302,2,0,64813000,-181.00699999999998,-304.41499999999996,10.66,194,228,2925,,169.849,45.06300000000044,2958.286000000001,3335.079000000001,63.01,68.29,64.54,75.78,false,false,3.81,-0.32,ETF加碼金額或跨基金共識尚未同時成立
6,3014,聯陽,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 131.80 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,72.4,70.7,67.6,85,100,可用,135.5,136.25,5.33,0.16,28.48,33.51,218.05,5.88,13.69,3.06,6.27,11,32,63,80,162,167,0,414.76,1563.782,1667.9309999999998,1063.1349999999998,31.698,79.652,161.293,167.89200000000005,5,0,10792846,14.98,7.045000000000001,19.83,272,1324,1430,,372.85,1469.15,1499.593,914.2690000000003,60.32,73.27,64.05,91.71,true,false,2.81,3.83,ETF加碼金額或跨基金共識尚未同時成立
7,3006,晶豪科,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 255.11 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,77.3,84.7,74.9,85,100,可用,291,284.25,605.24,324.38,44.44,36.84,267.13,27.58,9.18,4.36,0.34,8,482,512,513,453,669,0,3992.975,-550.9549999999999,4002.5020000000004,-3270.0669999999996,482,508,493,709,2,1,147828000,224.25699999999995,416.0759999999999,41.39,3063,33,4139,,2924.74,-1283.2120000000004,3093.4259999999995,-4833.0509999999995,56.24,37.61,40.31,32.2,false,false,4.27,0.17,ETF加碼金額或跨基金共識尚未同時成立；借券賣出與借券賣出餘額壓力升高
8,2408,南亞科,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 462.53 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,83.5,84.3,81.6,85,100,可用,525,520.5,560.85,638.19,69.08,16.78,691.01,23.38,20.37,5.62,0.26,38,3695,4697,4874,4431,1150,2078,37311.314,25007.199999999997,53518.988,-474.31000000000677,3977.574,289.5740000000005,106.13700000000051,-5320.775999999998,3,2,152026350,860.396,1594.9470000000001,16.79,32153,23809,43098,,32233.006,23857.229999999996,51817.903999999995,8179.765999999992,56.23,44.54,34.36,64.92,true,false,5.03,6.49,20日趨勢尚未上彎；借券賣出與借券賣出餘額壓力升高
9,4967,十銓,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 265.11 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,71.4,84.2,72.4,85,100,完整,277,275.5,275.06,87.02,35.94,50.67,191.64,53.44,4.11,2.11,3.11,3,0,0,0,0,235,0,597.63,-477.8939999999999,2308.356,1907.563,0,-0.4,-0.4,234.2,0,1,-110800,-115.965,-147.335,12.23,659,108,2953,,588.139,-361.529,2456.091,2057.266,54.45,36.55,35.78,38.07,true,false,1.42,-1.25,
10,8299,群聯,TPEX,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 2,057.69 且法人籌碼轉弱，先減碼三分之一。",未觸發明確減碼訊號,76.4,81.9,72.7,85,100,可用,2140,2172.5,376.52,278.99,37.86,47.31,257.91,187.43,9.81,4.64,1.08,20,96,373,375,-414,-530,1,2034.122,2034.122,2034.122,2034.122,95.394,95.394,95.394,95.394,1,0,204143160,201.712,201.712,43.43,,,,,1737.016,1737.016,1737.016,1737.016,57.12,48.18,35.5,73.54,true,false,5.13,7.54,外資持股尚未完成5／10日可比核對或期間有非市場異動；此項不給分，不解讀為轉弱；20日趨勢尚未上彎
