排名,代號,名稱,市場,產業,新部位建議,既有部位建議,既有部位說明,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2027,大成鋼,TWSE,鋼鐵工業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若跌破60日EMA約 40.41 且法人籌碼轉弱，再改為減碼。,79.4,100,41.15,41.15,43.73,30.28,18.07,41.61,366.04,1.17,11.83,1.2,3.71,8,275,2627,4454,7414,40660,2480,4625.347,21045.941,21042.303,16848.719,149,2257.683,4388.852000000001,36666.419,3,2,92903655,1746.9430000000002,2897.057,20.63,-1312,21486,11856,,4102.195,17041.315,13756.393999999997,-20860.671000000002,52.47,71.42,60.48,93.3,false,false,1.05,5.24,20日趨勢尚未上彎；ETF加碼金額或跨基金共識不足；內部人最高設質比例達50%以上
2,3706,神達,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若跌破60日EMA約 87.09 且法人籌碼轉弱，再改為減碼。,79.4,100,91.3,91.3,80.93,44.8,3.72,50.24,171.44,1.1,16.87,1.77,4.52,15,1392,4756,4718,9013,45123,539,5139.028,6291.356000000002,3145.0260000000017,4427.565000000002,1392,4712,9292,45401,3,2,430205600,180.2070000000001,-1047.5479999999998,7.64,1099,413,-6266,,3419.086,1399.149,-5099.426,-38493.092,56.27,48.51,45.07,55.39,true,false,2.5,1.78,
3,2637,慧洋-KY,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若跌破60日EMA約 76.80 且法人籌碼轉弱，再改為減碼。,73.5,100,81.1,81.1,57.92,32.32,27.6,40.19,109.87,1.6,11.13,1.17,4.42,7,0,13,18,-590,-1351,0,433.991,1034.6100000000001,12444.268,14431.364,380,545.787,1955.2520000000002,1382.9610000000002,5,0,44263326,-207.57,31.013999999999985,24.76,297,618,13059,,41.207,696.393,10458.002,13202.175,56.15,37.77,51.64,10.04,false,false,1.99,-3.22,內部人最高設質比例達50%以上
4,2812,台中銀,TWSE,金融保險業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若跌破60日EMA約 19.99 且法人籌碼轉弱，再改為減碼。,72.2,100,20.45,20.45,16.56,22.61,,90.8,,0.4,13.13,1.31,5.21,7,0,2874,2851,2791,2671,0,18034.924,41657.232,51699.058000000005,100759.256,0,2840.482,2789.333,2722.043,1,3,58087857,177.368,-55.632000000000005,8.95,-2748,21848,33109,,18115.924,38639.382,48965.357,97793.827,57.09,45.88,50.82,36,false,false,0.89,-0.24,ETF加碼金額或跨基金共識不足
5,2357,華碩,TWSE,電腦及週邊設備業,等待確認,暫停加碼／守防線,已有部位暫停加碼，以60日EMA約 699.36 為趨勢防守參考；若收盤持續跌破且籌碼再惡化，轉為減碼。,72.1,100,736,736,55.63,38.85,5.71,52.83,148.3,13.19,12.29,1.78,6.1,43,-120,-73,64,-187,-389,-321,2597.098,5975.011999999999,16662.834,11777.582999999995,-487.064,-1398.9859999999999,-2056.017,-3685.097999999999,0,5,-1029653696,1148.781,1636.856,35.5,292,3932,15142,,2890.016,6225.217,17081.995,15506.447,55.16,70.1,64.99,80.32,true,true,3.47,4.69,ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎
6,1590,亞德客-KY,TWSE,電機機械,等待確認,續抱觀察,"已有部位可續抱觀察，但暫不追價；若跌破60日EMA約 1,325.71 且法人籌碼轉弱，再改為減碼。",71.9,100,1360,1360,44.88,30.08,33.2,17.79,280.31,13.35,29.23,5.25,2.18,17,97,347,344,405,720,47,81.557,145.019,645.894,1324.1990000000005,85,339.856,405.196,680.898,5,0,462204160,11.968000000000002,-11.663999999999998,80.72,-344,-7,451,,-13.383,-206.80499999999998,252.36200000000002,676.2080000000001,51.86,52.55,37.85,81.94,true,true,1.53,5.43,20日趨勢尚未上彎；2日內除權息，等待價格重置；內部人最高設質比例達50%以上
7,3702,大聯大,TWSE,電子通路業,等待確認,暫停加碼／守防線,已有部位暫停加碼，以60日EMA約 107.04 為趨勢防守參考；若收盤持續跌破且籌碼再惡化，轉為減碼。,71.8,100,111.5,111.5,131.85,55.18,2.68,80.68,123.6,3.3,13,1.99,3.57,31,1770,4329,3785,6761,55555,-595,769.878,-7782.849,-9422.622,-19859.923,1390,1763,4021.261,51566.536,3,2,196574500,2244.334,2601.7780000000002,35.32,-2692,-14810,-20625,,-924.847,-11790.183,-16045.661,-70023.23400000001,51.47,36.87,45.97,18.68,false,true,0.8,-6.69,主動ETF 5日轉為減碼；外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識不足；內部人最高設質比例達50%以上
8,9945,潤泰新,TWSE,其他,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若跌破60日EMA約 25.82 且法人籌碼轉弱，再改為減碼。,71.8,100,26.65,26.65,29.57,40.43,17.71,41.18,181.95,0.99,7.42,0.66,4.17,5,0,0,0,-91,1468,0,1355.083,9840.655,15456.328999999998,-3388.6280000000024,0,0,-91,1468,0,0,0,32.32800000000002,-22.489999999999966,6.99,2576,11081,3603,,1382.822,9808.327000000001,15569.819000000001,-4890.802999999999,56.2,67.18,55.37,90.81,false,false,1.65,3.09,20日趨勢尚未上彎；單季稅前獲利對營業外貢獻依賴偏高
9,6177,達麗,TWSE,建材營造,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若跌破60日EMA約 46.10 且法人籌碼轉弱，再改為減碼。,71.4,100,47.55,47.55,1322.16,667.77,43.14,72.12,139.8,3.53,6.34,1.76,6.34,2,0,0,0,-15,1891,0,137,2339.566,3669.9849999999997,3003.998,6,379,551.81,2457.114,3,0,18021450,69.444,94.15,6.92,-282,1581,2474,,124,1891.122,3024.025,389.7070000000005,58.91,65.76,64.67,67.95,false,false,2.43,3.37,20日趨勢尚未上彎
10,9958,世紀鋼,TWSE,鋼鐵工業,等待確認,暫停加碼／守防線,已有部位暫停加碼，以60日EMA約 114.08 為趨勢防守參考；若收盤持續跌破且籌碼再惡化，轉為減碼。,70.9,98.5,115,115,64.09,29.18,28.83,49.86,123.34,2.63,14.41,2.43,3.98,4,260,265,264,298,487,40,175.098,-337.54599999999994,-810.7139999999999,-2048.9170000000004,260,263,296,485,2,1,30245000,156.57999999999998,56.08999999999999,9.45,83,-589,-894,,-145.518,-757.126,-1162.8039999999999,-2621.545,49.86,38.99,36.84,43.27,true,true,-0.51,-1.29,外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；2日內除權息，等待價格重置；ETF加碼金額或跨基金共識不足；內部人最高設質比例達50%以上
