排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,持有判斷模式,今天動作,下一次確認,既有部位說明,主要原因,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,6531,愛普*,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 945.06 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,84.4,78.1,66,85,100,可用,993,993,150.82,109.13,29.44,24.47,373.6,8.33,57.27,12.89,0.7,20,66,64,123,189,793,136,-61.092,1622.7820000000002,729.0960000000001,2698.733,66,134.62,340.62,2178.7830000000004,4,1,133677660,42.947,-27.809,34.15,58,1895,878,,-112.308,1445.2150000000001,416.2850000000002,527.4550000000002,56.26,61.69,47.53,90,true,false,5.07,7.93,
2,3014,聯陽,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 134.70 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,68.6,68.2,67.2,85,100,可用,140.5,140.5,5.33,0.16,28.48,33.51,218.05,5.88,14.19,3.17,6.05,11,17,106,188,254,334,0,-775.236,254.90399999999988,1469.4009999999996,477.71999999999963,17.649,188.422,254.09500000000003,335.85999999999996,4,1,26473291,34.352999999999994,37.36299999999999,19.69,-707,37,1119,,-792.621,32.12899999999979,1177.9429999999995,148.71199999999965,64.45,80.23,76.25,88.18,false,false,4.31,5.24,ETF加碼金額或跨基金共識尚未同時成立
3,2408,南亞科,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 468.07 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,79.7,81.5,82.1,85,100,可用,503,503,560.85,638.19,69.08,16.78,691.01,23.38,19.52,5.38,0.27,38,-569,34,3721,4772,2636,771,-22677.964,16231.664,-9491.936999999998,-44358.38199999999,-2388.001,1268.3609999999999,-2534.103,-8128.461,1,4,637985583,54.243999999999915,-388.50300000000004,16.36,-19981,19032,-4042,,-19952.717,14909.058999999997,-6569.331000000002,-30513.770000000004,50.98,57.7,52.04,69.04,false,false,0.12,3.07,20日趨勢尚未上彎；借券賣出與借券賣出餘額壓力升高
4,3006,晶豪科,TWSE,半導體業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 257.72，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,69.4,79.5,75.5,85,100,可用,275,275,605.24,324.38,44.44,36.84,267.13,27.58,8.67,4.12,0.36,8,-20,-1,481,512,687,0,-1535.666,-6315.513000000001,-18134.518,-16030.184999999996,-20,483,519,729,3,1,132825000,342.33900000000006,-470.58299999999997,38.06,-1902,-6825,-16618,,-1549.976,-7140.852000000001,-18182.935,-16959.160000000003,49.93,33.24,35.05,29.62,false,false,-1.3,-1.26,ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識尚未同時成立
5,8299,群聯,TPEX,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 2,069.97 且法人籌碼轉弱，先減碼三分之一。",未觸發明確減碼訊號,66.8,79.5,72.9,85,100,可用,2125,2125,376.52,278.99,37.86,47.31,257.91,187.43,9.74,4.6,1.09,19,2,-24,73,-420,-560,-20,-1587.669,-1587.669,-1587.669,-1587.669,-9,-9,-9,-9,0,1,-19125000,-158.22,-158.22,44.03,,,,,-1420.449,-1420.449,-1420.449,-1420.449,53.97,62.67,59.4,69.22,false,false,2.2,7.87,主動ETF 5日轉為減碼；外資持股尚未完成5／10日可比核對或期間有非市場異動；此項不給分，不解讀為轉弱
6,2027,大成鋼,TWSE,鋼鐵工業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 46.10 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,78.3,79.4,71.3,85,100,完整,47.6,47.6,46.09,34.23,19.7,43.68,295.53,3.1,9.39,1.4,3.15,11,501,1685,1663,7786,25215,459,3530.642,5481.154,14509.466999999999,14744.531000000003,455,1501.755,7670.755,24119.755,3,2,71483538,707.121,-484.21000000000004,25.38,2101,3148,7282,,2145.473,3272.2780000000002,7322.9220000000005,-9737.518000000002,51.07,59.05,43.26,90.64,false,false,0.33,1.06,20日趨勢尚未上彎；ETF加碼金額或跨基金共識尚未同時成立
7,2605,新興,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 34.59 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,64.4,78.7,82.2,85,100,完整,36.5,36.5,58.75,38.72,33.49,26.88,212.23,3.67,7.45,1.11,2.74,1,0,0,0,0,0,0,-2257.774,-1143.1439999999998,9595.806,13524.294,0,0,-156,-179,0,0,0,1337.409,3044.787,49.38,-2934,-3284,5904,,-2115.337,-2480.553,6707.019,8763.880000000001,54.66,53.86,50.74,60.09,false,false,1.09,-1.75,單季稅前獲利對營業外貢獻依賴偏高
8,9945,潤泰新,TWSE,其他,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 27.73 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,77,78.7,75.1,85,100,完整,29.9,29.9,37.99,34.41,20.1,34.7,158.5,3.7,5.23,0.53,3.68,5,0,0,699,2180,508,0,-1001.067,3683.521,14067.930999999999,7029.266,0,699,2170,498,2,0,20900100,41.476000000000006,1464.708,8.61,-405,3563,10722,,-917.495,2943.045,10433.223,4800.564999999997,66.56,76.9,67.89,94.93,false,false,4.37,3.28,ETF加碼金額或跨基金共識尚未同時成立；單季稅前獲利對營業外貢獻依賴偏高
9,7749,意騰-KY,TWSE,半導體業,等待確認,正常持有,strong,強勢續抱；不追高,下一交易日收盤，確認是否守住20日EMA,價格仍在20／60日EMA之上且短線強勢；法人未同步轉弱。若收盤跌破20日EMA約 368.08 且法人續弱，再轉為保護持有。,價格強勢站上20／60日EMA；法人未同步轉弱,71.9,78.2,79.6,85,100,完整,395.5,395.5,60.5,60.27,36.17,17.76,499.02,7.57,27.35,4.97,2.28,1,20,20,20,20,26,0,-50.954,75.652,-67.077,-75.42700000000004,20,20.009,20.009,26.009,2,0,7913560,12.878000000000002,3.5630000000000006,22.41,-120,16,-127,,-69.96,42.765000000000015,-90.64899999999999,-99.68699999999998,63.96,80.8,72.95,96.51,false,false,7.45,10.47,ETF加碼金額或跨基金共識尚未同時成立
10,4967,十銓,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 266.05 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,63.3,77.8,72.5,85,100,完整,272.5,272.5,275.06,87.02,35.94,50.67,191.64,53.44,4.05,2.08,3.16,3,0,0,0,0,244,0,-237.891,151.567,21.624000000000024,2016.4210000000003,0,0.008,-0.392,243.608,1,0,2180,-44.819,-140.44099999999997,11.44,-131,-19,231,,-206.968,196.37800000000004,162.457,2132.4610000000002,50.77,42.19,39.22,48.14,true,true,-0.23,0.55,20日趨勢尚未上彎；當下除權息調整價未守20日EMA
