排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,持有判斷模式,今天動作,下一次確認,既有部位說明,主要原因,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,6531,愛普*,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 885.19 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,78.7,75.2,66.6,85,100,可用,958,958,144.57,102.88,29.44,24.47,373.6,8.33,53.46,12.03,0.75,19,0,430,730,458,387,744,406.213,1343.644,1729.324,3237.553,12,1270,-3929,-4582.3730000000005,4,1,1177290000,56.352,-128.179,33.75,417,26,6585,,415.214,17.292000000000012,5786.503,7979.225999999999,58.1,79.11,67.72,101.88,false,false,8.23,9.36,
2,3260,威剛,TPEX,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 404.00 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,73.9,83.3,71.1,85,100,可用,412,412,331.29,206.73,38.98,62.91,181.44,62.46,5.35,3.4,4.11,14,-1,-46,421,227,145,171,611.506,611.506,8818.506,12556.506,-1,-1,-268,-219,0,1,-413500,108.924,-373.076,24.22,,,,,503.582,503.582,9460.582,13185.582,52.12,42.57,48.3,31.11,false,false,0.7,-1.55,ETF 1/3日已轉為減碼；外資持股趨勢資料不足或期間有非市場異動
3,2637,慧洋-KY,TWSE,航運業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 84.69，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,投信5/10日持續且具金額意義地賣超,69.5,80.5,70.6,85,100,可用,95.6,95.6,56.22,35.67,33.36,41.18,92.13,4.1,10.47,1.42,3.72,8,-2,-14,-9,213,-574,0,448.511,-1779.4519999999998,4897.615,6368.362999999999,-2,-6294.269,-11435.969000000001,-9851.969000000001,1,4,-592290713,-32.913,8.647999999999996,27.6,428,3652,21242,,412.11,4547.73,16324.936,16184.438999999998,59.99,35.92,45.27,17.23,false,false,5.01,0.1,ETF 1/3日已轉為減碼；投信5/10日持續且具金額意義的賣超
4,2027,大成鋼,TWSE,鋼鐵工業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 45.02 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,71.4,78.7,71.5,85,100,完整,49.8,49.8,46.12,32.56,19.7,43.68,295.53,3.1,9.63,1.44,3.07,9,4030,3706,3674,1694,-4299,0,973.298,-3536.3489999999993,7234.267000000001,46841.50000000001,4088,4061.83,2045.83,-11784.319999999998,1,2,198217304,-981.0110000000001,-3500.761,25.61,-2203,-6298,100551,,-3053.02,-6617.168,8689.198,63620.11800000001,60.11,36.14,44.64,19.14,false,false,3.07,-1.58,ETF加碼金額或跨基金共識不足
5,2855,統一證,TWSE,金融保險業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 46.06 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,75.3,78.6,71.6,85,100,可用,50,50,19.6,252.71,,87.34,112.56,6.96,5.15,1.65,4.26,11,418,427,1604,5750,11807,0,987.174,4594.162,4025.6010000000006,4645.212,418,1605.74,5734.74,12023.74,3,2,79564417,0,0,7.02,491,4280,-9855,,569.174,2988.422,-1709.1390000000001,-7378.528,65.18,84.26,72.04,108.69,false,false,5.98,8.23,ETF加碼金額或跨基金共識不足
6,8271,宇瞻,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 216.12 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,61.6,77.5,69.4,85,100,完整,226,226,164.99,235.51,34.73,55.84,184.73,35.51,5.66,3.1,1.96,5,0,0,0,-80,141,0,-725.189,-500.1809999999999,2042.5059999999999,3414.7179999999994,0,-0.4,-80.4,-77.4,0,1,-91000,-129.93099999999998,-106.57499999999999,11.19,-682,-285,4179,,-693.155,-369.8499999999997,2229.4810000000007,3805.532000000001,50.95,39.58,48.32,22.12,false,true,-0.52,-1.74,當下除權息調整價未守20日EMA
7,5289,宜鼎,TPEX,電腦及週邊設備業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 1,460.49 且法人籌碼轉弱，先減碼三分之一。",未觸發明確減碼訊號,63.8,76.2,77.1,85,100,可用,1450,1450,636.53,548.79,56.13,48.99,233.33,166.45,8.05,6,1.17,10,0,25,46,126,193,4,-280.797,-280.797,231.20299999999997,915.203,0,0,-6,-14,0,0,0,-128.121,-108.12100000000001,26.7,,,,,-152.676,-152.676,344.32400000000007,1051.324,49.25,32.05,42.12,11.93,false,false,-0.67,-2.06,外資持股趨勢資料不足或期間有非市場異動；當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識不足
8,2605,新興,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 33.12 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,62.5,75.9,80.4,85,100,完整,34.75,34.75,36.27,35.12,33.49,26.88,212.23,3.67,7.21,1.07,2.83,1,0,0,0,-2,-2,0,-499.679,-8237.287,-11182.28,-10163.444,0,1,-8,15,1,0,35350,-1192.642,-2092.0120000000006,48.5,-543,-6525,23,,-542.897,-7045.6449999999995,-9081.268,-6815.385000000002,54.48,27.83,43.44,-3.41,false,false,1.07,-5.31,借券賣出與借券賣出餘額壓力升高；單季稅前獲利對營業外貢獻依賴偏高
9,6691,洋基工程,TWSE,其他電子業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 630.69，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,68.4,75,55.8,85,100,完整,631,631,177.06,98.1,16.22,72.04,135.24,17.46,18.4,10,3.58,10,0,-4,-3,837,950,0,-65.42,-514.684,-3055.791,-4407.508,0,14,328,376,2,1,8610000,-13.383000000000001,6.0390000000000015,10.04,-30,-430,-4348,,-62.565,-515.301,-3388.83,-4769.400999999999,49.85,49.58,39.97,68.8,false,false,0.26,2.44,20日累積後5日轉為調節；外資持股5/10日下降，且外資5日賣超
10,6670,復盛應用,TWSE,運動休閒,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 266.30 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,73,74.9,68,85,100,完整,277.5,277.5,25.09,11.6,15.25,40.17,200.45,13.1,11.74,2.58,5.57,6,0,19,18,17,-212,0,336.703,702.039,932.64,885.6239999999999,0,56.393,54.393,62.393,2,1,16212988,19.205000000000002,15.674000000000003,24.96,277,655,1630,,335.248,626.441,861.573,858.851,57.53,67.97,62.83,78.23,false,false,3.09,5.11,ETF加碼金額或跨基金共識不足
