排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,持有判斷模式,今天動作,下一次確認,既有部位說明,主要原因,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2637,慧洋-KY,TWSE,航運業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 96.77 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,78.8,82.2,69.2,85,100,可用,101,102.25,34.96,35.38,33.36,41.18,92.13,4.1,10.78,1.46,3.61,9,531,1443,1437,1979,2307,939,-567.677,4659.258,6560.9169999999995,11735.563000000002,636,3903.44,4651.609,-6669.901,4,1,378243336,19.853999999999985,7.457999999999983,27.95,-1113,675,1568,,-1114.492,735.9640000000002,1901.8500000000004,18317.341,61.42,50.31,54.76,41.42,false,true,4.37,0.5,
2,3034,聯詠,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 539.94 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,77.8,68.9,57.5,85,100,可用,546,544.5,26.33,4.11,20.26,42.09,222.47,16.59,18.88,4.77,4.25,49,216,328,294,206,1448,37,-453.001,4648.233,5910.040000000001,17243.283000000003,85.5,163.25,160.06300000000002,1573.189,3,2,88318250,51.193,-32.83200000000001,44.3,-663,2363,3015,,-472.872,4433.79,5782.808999999999,15606.334999999997,53.95,61.2,56.86,69.87,false,false,1.12,0.55,
3,4967,十銓,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 263.77 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,68.5,82.2,72.2,85,100,完整,273.5,275.25,275.06,87.02,35.94,50.67,191.64,53.44,3.95,2.03,3.24,3,0,0,0,142,235,0,-765.526,-1665.3539999999998,634.0390000000002,1792.6080000000004,0,0,142,234.6,0,0,0,-177.625,-280.871,10.45,-798,-1530,1185,,-702.526,-1487.7290000000003,772.9099999999997,1948.221999999999,52.27,29.91,37.71,14.3,false,true,0.28,-2.84,
4,2855,統一證,TWSE,金融保險業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 47.75，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,73,79.5,73.4,85,100,可用,51.3,51.85,109.88,217.4,,87.34,112.56,6.96,5.35,1.72,4.1,12,1452,3769,7300,11196,18299,1171,-1815.267,3185.684,6550.8,10216.262,1457.9,7307.229,11414.394999999999,18502.807999999997,5,0,376322294,0,0,6.85,-2601,-3781,-1869,,-3273.167,-4121.545,-4863.595000000001,-8286.546000000002,60.11,61.62,77.12,30.63,false,false,2.29,-1.54,外資持股5/10日下降，且外資5日賣超
5,2605,新興,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 34.03 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,65.1,78.9,82.2,85,100,完整,35.9,36.33,58.75,38.72,33.49,26.88,212.23,3.67,7.15,1.06,2.85,1,0,0,0,0,0,0,-1384.381,-1218.8709999999996,3572.916,-10627.654999999999,-112,-128,-135,-141,1,2,-4486400,-402.50100000000003,655.299,48.53,-700,-688,1110,,-699.992,-688.3700000000005,3052.6169999999997,-6914.167999999999,55.1,31.51,40.41,13.73,false,true,1.21,-2.84,單季稅前獲利對營業外貢獻依賴偏高
6,3006,晶豪科,TWSE,半導體業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 252.97，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,65.5,78.8,74.8,85,100,可用,278,279.75,605.24,324.38,44.44,36.84,267.13,27.58,8.33,3.95,0.38,6,1,1,-19,79,143,0,-1770.76,-7619.252,-6299.837,-8079.911999999999,-6,20,115,182,2,2,5280000,-382.903,-26.133000000000038,40,-1332,-6689,-5820,,-1601.44,-7256.349,-6388.704,-8256.746,52.07,31.49,46.18,2.09,false,false,0.2,-9.3,20日累積後5日轉為調節；外資持股5/10日下降，且外資5日賣超
7,2603,長榮,TWSE,航運業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 221.92，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,77.1,76.9,67.4,85,100,可用,237.5,237.75,48.64,9.78,14.77,39.75,138.81,11.24,9.26,0.9,6.85,32,1862,4631,5876,8364,9350,1175,-1411.212,4860.192,-708.5020000000004,51627.696,1435.8,8414.495,12340.291000000001,6800.800000000001,5,0,1964784583,-34.43799999999999,-928.009,26.17,-2703,-5298,-15692,,-2746.255,-3519.8649999999993,-12120.783999999998,47797.905,57.29,60.84,51.95,78.61,false,false,2.09,1.5,外資持股5/10日下降，且外資5日賣超
8,6206,飛捷,TWSE,電腦及週邊設備業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 135.15 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,74.2,76.2,78.8,85,100,完整,137,136.75,62.18,30.08,29.65,29.6,275.95,5.93,15.14,3.73,4.01,7,0,28,310,302,293,314,-62.897,900.4839999999999,634.433,-300.4199999999999,0,567.848,559.127,550.42,4,0,77795176,-25.167,-82.397,19.71,-65,339,285,,-64.702,357.80300000000005,157.7030000000001,-627.6879999999999,49.12,48.35,42.83,59.39,false,false,-0.49,-0.36,20日趨勢尚未上彎；當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識不足
9,2347,聯強,TWSE,電子通路業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 88.34 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,74.3,74.5,55.4,85,100,可用,89.1,88.9,122.02,89.66,2.49,70.33,142.57,4.12,12.11,1.71,4.75,23,1476,2396,3028,4078,4752,604,86.837,1273.5629999999996,5511.370999999999,2631.476999999999,1163.3,1992.6789999999996,3078.906,3501.551,4,1,176352091,50.007000000000005,42.303000000000004,29.8,-1109,-776,1700,,-1077.766,-769.123,2390.162,-238.33600000000007,52.4,70.68,71.34,69.36,false,true,0.7,0.56,
10,2606,裕民,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 69.93 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,70.1,74.5,68.4,85,100,可用,75.1,75.7,18.16,25.1,28.58,55.87,161.86,3.51,11,1.56,3.75,7,361,361,358,223,-930,0,-61.334,1973.0299999999997,3709.808,26587.477999999996,388,486,547,-933,2,0,36255600,-447.39099999999996,-348.008,24.65,-313,1826,3303,,-317.229,1934.421,3510.8160000000003,28163.325999999997,53.99,31.1,48.65,-4.01,false,false,0.43,-5.77,ETF加碼金額或跨基金共識不足
