排名,代號,名稱,市場,產業,新部位建議,既有部位建議,既有部位說明,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2357,華碩,TWSE,電腦及週邊設備業,可開始承接,續抱／回測可加碼,已有部位可續抱；回測20日EMA約 744.55 且ETF、外資與投信未轉弱時，才考慮下一批。,74.1,88,786,801.5,55.63,38.85,,,,,14.47,2.1,5.19,43,221,1437,2147,1623,313,0,4953.396,6958.226999999999,13938.023,28512.471999999998,156.926,1361.0610000000001,-279.8799999999999,-2760.9669999999996,5,0,1102459410,960.644,1484.081,37.11,3482,5071,12289,,4073.534,4636.522,12733.821999999998,28752.565000000002,58.44,76.39,75.23,78.72,true,false,5.57,3.42,
2,3231,緯創,TWSE,電腦及週邊設備業,可開始承接,續抱／回測可加碼,已有部位可續抱；回測20日EMA約 162.24 且ETF、外資與投信未轉弱時，才考慮下一批。,71.3,88,170.5,176.75,53.85,94.01,,,,,17.65,2.94,3.13,42,4001,8085,12038,13841,19102,4536,23062.488,41035.7,210490.685,181765.067,3193.621,12745.732,20024.481,18976.218,5,0,2243248832,532.4209999999998,7760.195999999999,31.8,14274,21952,189220,,18281.364,27757.547,182706.008,161152.09900000005,56.89,64.42,66.98,59.29,true,true,5.09,-3.67,
3,2603,長榮,TWSE,航運業,可開始承接,續抱／回測可加碼,已有部位可續抱；回測20日EMA約 200.69 且ETF、外資與投信未轉弱時，才考慮下一批。,67.9,88,203.5,206.25,30.01,-2.44,,,,,8.92,0.76,7.84,30,529,1922,2299,349,-493,0,1760.044,10043.369,28773.671,67877.417,146.069,517.473,-3865.795,-7141.518999999998,5,0,105564492,769.2949999999998,1660.8649999999998,21.56,1154,7009,24667,,1387.019,8756.601,30978.601,70818.496,54.05,52.29,55.72,45.43,false,false,1.4,0,
4,2451,創見,TWSE,半導體業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 273.00 且法人籌碼轉弱，先減碼三分之一。,75.8,100,282.5,291.75,381.55,422.17,73.7,28.68,309.01,46.63,5.1,3.29,4.02,18,193,167,177,-1737,-639,0,2936.444,622.5800000000004,-2636.7899999999995,-6094.51,196,188,-1668,-571,4,1,55084000,99.94399999999999,251.65499999999997,10.69,2590,1000,-359,,2646.913,334.63599999999974,-1220.4450000000004,-5717.8330000000005,56.25,83.21,78.12,93.39,false,false,6.88,3.86,
5,2347,聯強,TWSE,電子通路業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 87.09 且法人籌碼轉弱，先減碼三分之一。,72.9,88,90.8,92.35,135.45,77.39,,,,,16.3,1.99,4.48,23,253,792,1431,-4526,3371,0,5282.123,5711.6089999999995,14568.720999999998,13220.847999999998,75,700,-6839.124,-755.1140000000009,5,0,65590000,-1276.1810000000003,-747.6100000000001,29.77,7745,6744,22174,,7153.411,6287.789999999999,22155.454999999998,18126.293999999994,54.7,64.99,61.26,72.43,true,false,2.77,2.48,20日趨勢尚未上彎
6,2610,華航,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 20.94 且法人籌碼轉弱，先減碼三分之一。,72.4,88,22.4,22.53,28.82,16.09,,,,,8.75,1.33,3.62,16,363,832,5952,19080,33046,0,40122.579,126096.99500000001,125044.35100000001,133996.60799999998,389,6033.409,19184.842,-9342.182,5,0,135148362,2580.814,1836.341,16.98,37629,110957,98299,,37781.188,117482.77200000001,104023.16800000002,144278.578,59.86,77.06,64.65,101.9,false,false,3.89,5.41,20日趨勢尚未上彎
7,6214,精誠,TWSE,資訊服務業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 136.25 且法人籌碼轉弱，先減碼三分之一。,72.2,88,149,150.5,76.9,37,,,,,16.14,2.21,3.9,7,0,5,5,2,-10,0,2397.586,4216.197999999999,4735.120999999999,9441.243999999999,0,5.802,2.4589999999999996,215.76500000000001,1,0,893508,35.566,58.296,15.37,2484,3909,4435,,2405.913,4174.83,4674.366000000001,9158.878000000002,60.39,75.55,73.67,79.32,false,false,4.64,2.41,ETF加碼金額或跨基金共識不足
8,2027,大成鋼,TWSE,鋼鐵工業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 41.25 且法人籌碼轉弱，先減碼三分之一。,71.1,88,43.05,42.98,43.73,30.28,,,,,12.63,1.28,3.47,9,264,2052,2493,8291,16109,1545,-2474.43,6700.233000000001,39921.723,62630.401999999995,-29,6410.85,9921.094000000001,15296.316000000003,2,3,276948720,-88.53700000000003,1896.446,21.75,-1839,412,27689,,-1823.789,377.920000000001,28104.183,43290.561,54.82,54.45,61.84,39.67,false,false,1.69,-3.37,ETF加碼金額或跨基金共識不足
9,2615,萬海,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 81.12 且法人籌碼轉弱，先減碼三分之一。,70.1,87.2,84.5,85.45,32.7,6.39,,,,,7.82,0.83,3.54,11,-1,133,206,629,256,0,2291.11,7351.245000000002,38352.201,59448.58000000001,4,239.28900000000002,672.986,279.317,4,0,20267778,-389.14799999999997,35.93000000000003,44.61,2264,6657,37021,,2012.757,7501.103999999999,37643.285,59025.526,55.99,52.17,58.29,39.94,false,false,1.78,0.6,ETF加碼金額或跨基金共識不足
10,8271,宇瞻,TWSE,半導體業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 201.00 且法人籌碼轉弱，先減碼三分之一。,69.7,100,220,225.5,200.65,251.11,34.73,55.84,184.73,35.51,5.55,3.04,2,3,0,1,1,-103,497,0,2855.203,4608.2119999999995,3193.4489999999996,992.4509999999993,1,3,-101,499,2,0,669000,-78.83900000000001,83.07799999999999,10.04,2594,4719,3766,,2752.953,4684.0509999999995,3211.370999999999,357.97099999999904,57.64,75.99,75.1,77.77,true,true,7.66,0.92,
