排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,持有判斷模式,今天動作,下一次確認,既有部位說明,主要原因,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2637,慧洋-KY,TWSE,航運業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 96.27 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,77.5,80.8,68.2,85,100,可用,101,103,34.96,35.38,33.36,41.18,92.13,4.1,11.23,1.52,3.47,9,26,912,1005,1557,1770,907,421.971,5153.9220000000005,8651.581000000002,10022.000000000002,1026,3366.44,4032.0679999999998,-7239.901,4,1,340010440,87.28599999999999,219.271,28.1,-684,1393,19469,,-589.939,1700.1960000000001,4400.242,17215.74,65.25,65.36,61.75,72.57,false,false,4.92,1.81,
2,6531,愛普*,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 933.61 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,80.5,74.9,65.5,85,100,可用,962,950,150.82,109.13,29.44,24.47,373.6,8.33,55.48,12.49,0.73,19,-7,454,639,689,1147,668,300.905,2245.59,1901.2650000000006,3092.823,-6,1516.932,2053.163,-2161.056,3,2,1459288584,0.2860000000000049,-11.525999999999993,33.47,374,723,3339,,353.401,728.3720000000001,-140.372,5255.782999999999,54.37,56.97,64.92,41.09,false,true,3.04,0.21,
3,3034,聯詠,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 539.12 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,80.2,70.4,57.4,85,100,可用,556,556,26.33,4.11,20.26,42.09,222.47,16.59,19.4,4.91,4.14,49,8,99,229,540,1681,28,1970.675,4909.650000000001,8768.045000000002,15967.592000000002,6,236.382,1357.779,2049.503,3,2,131428392,64.581,-29.587999999999997,44.41,818,2837,12880,,1861.407,4608.687,7439.853999999999,13792.375999999998,59.07,63.3,52.21,85.46,false,false,3.13,2.96,
4,4967,十銓,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 263.36 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,71.2,81.6,72.2,85,100,完整,273.5,272,275.06,87.02,35.94,50.67,191.64,53.44,4.06,2.09,3.15,3,0,0,0,244,235,0,-981.645,1242.402,1874.324,-2639.6589999999997,0,0,244,234.6,0,0,0,-122.978,-216.255,11.39,-611,1560,3767,,-893.859,1365.38,1846.579,-2351.84,52.38,41.13,48.71,25.96,true,true,0.05,-1.44,當下除權息調整價未守20日EMA
5,2605,新興,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 33.93 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,66.7,78.1,82,85,100,完整,36.15,36.95,58.75,38.72,33.49,26.88,212.23,3.67,7.38,1.09,2.77,1,0,0,0,0,-2,0,-2610.734,1356.8590000000002,1401.6229999999996,-7696.325999999999,0,-16,-24,-32,1,1,-578400,336.736,1243.415,48.65,-2425,1036,-7686,,-2425.291,1036.1229999999998,182.20799999999974,-7579.413999999998,57.84,47.55,50.55,41.56,false,true,1.93,-0.55,單季稅前獲利對營業外貢獻依賴偏高
6,2603,長榮,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 220.98 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,77.4,77.7,67.4,85,100,可用,237,245.5,48.64,9.78,14.77,39.75,138.81,11.24,9.4,0.91,6.75,32,1929,4024,4013,7561,7331,1175,250.509,5082.927000000001,6939.486,96719.25300000001,4197.6,6996.497000000001,9790.472000000002,4677.778000000001,5,0,1658169789,-331.142,-423.727,26.29,-3414,-3532,40537,,-3593.482,-1582.4279999999997,-2427.2590000000005,93019.98199999999,57.63,54.63,44.39,75.13,true,true,2.16,1.72,
7,2855,統一證,TWSE,金融保險業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 47.50，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超；KD高檔死亡交叉（僅屬時機警示）,70.3,77.3,73.3,85,100,可用,52.9,53.9,109.88,217.4,,87.34,112.56,6.96,5.49,1.76,3.99,12,1185,3618,7272,11706,17456,1171,3042.887,6091.092000000001,9524.310000000001,11376.755000000001,1188.3,7278.0289999999995,11233.168,17108.908,5,0,385007734,0,0,7.01,1820,-1260,-305,,1854.587,-1186.9370000000001,-1708.8580000000002,-5732.153000000001,71.63,88.5,89.91,85.67,false,true,6.06,1.73,外資持股5/10日下降，且外資5日賣超；KD高檔死亡交叉，等待動能確認
8,2615,萬海,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 98.39 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,63.9,77.2,79.8,85,100,可用,113,114.5,65.59,19.2,22.16,33.53,299.27,6.84,7.76,1.1,2.65,12,-110,-282,-301,217,1781,0,817.329,-9002.633999999998,-7042.985999999999,69927.644,-110,-299.655,207.823,899.1469999999999,0,5,-33861015,-2092.255,-2212.624,48.16,1154,-3126,47703,,1088.143,-6610.724,-5038.1849999999995,67956.146,57.73,46.76,42.7,54.88,false,false,2.46,-1.31,20日累積後5日轉為調節；ETF 1/3日已轉為減碼；投信20日買超後近5日轉賣
9,3006,晶豪科,TWSE,半導體業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 251.72，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,60.4,75.8,74.8,85,100,可用,270.5,270.5,605.24,324.38,44.44,36.84,267.13,27.58,8.53,4.05,0.37,6,0,0,-60,175,141,0,-3342.509,-8472.272999999997,-8610.757999999998,-9251.059999999998,0,-14,220,183,2,2,-3787000,-328.4530000000001,-422.08600000000007,40.44,-2772,-8013,-6046,,-3097.002,-8129.82,-8408.671999999999,-8267.514999999998,49.27,49.86,63.38,22.83,false,true,-2.98,-8.92,20日累積後5日轉為調節；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
10,3260,威剛,TPEX,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 405.97 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,61.6,75.5,70.7,85,100,可用,398,394,279.81,218.14,38.98,62.91,181.44,62.46,5.14,3.27,4.27,15,101,423,418,652,879,28,-1672.485,-1672.485,-1672.485,-1672.485,100.6,100.6,100.6,100.6,1,0,40038800,-24.985,-24.985,23.08,,,,,-1748.1,-1748.1,-1748.1,-1748.1,45.23,35.79,41.76,23.85,false,true,-2.26,-3.4,外資持股趨勢資料不足或期間有非市場異動；當下除權息調整價未守20日EMA
