排名,代號,名稱,市場,產業,新部位建議,既有部位建議,既有部位說明,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,8271,宇瞻,TWSE,半導體業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 200.98 且法人籌碼轉弱，先減碼三分之一。,75.2,100,219.5,219.5,200.65,251.11,34.73,55.84,184.73,35.51,5.55,3.04,2,4,140,141,141,47,487,140,-1577.546,2895.957,2092.053,-514.2220000000002,140,143,49,489,3,0,31388500,-59.12600000000001,28.927999999999987,10.04,2594,4719,3373,,-1714.822,2812.0830000000005,2014.1250000000005,-1137.1129999999996,57.39,75.53,74.95,76.68,true,true,7.44,0.69,主動ETF當日持股未完整（21/22）；ETF加碼金額或跨基金共識不足
2,2347,聯強,TWSE,電子通路業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 87.12 且法人籌碼轉弱，先減碼三分之一。,74,88,91.7,91.7,135.45,77.39,,,,,16.3,1.99,4.48,23,30,554,1431,-3736,-888,13,-289.349,5463.074999999999,12461.661,13113.876,-106.501,551.499,-5359.845,-4858.719000000001,4,1,50572458,-1405.2670000000003,-1368.9130000000002,29.77,7745,6744,42452,,-121.466,6316.842999999999,19190.418999999998,22293.370999999992,56.55,67.64,62.15,78.62,true,false,3.69,3.5,主動ETF當日持股未完整（21/22）；20日趨勢尚未上彎
3,2451,創見,TWSE,半導體業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 272.95 且法人籌碼轉弱，先減碼三分之一。,73.7,100,281,281,381.55,422.17,73.7,28.68,309.01,46.63,5.1,3.29,4.02,18,-7,158,162,-1302,-1002,0,-4152.365,-2064.198,-6907.606,-10100.972,-4,175,-1229,-933,3,2,49175000,-45.008999999999986,176.53700000000003,10.69,2590,1000,-1493,,-4072.661,-2194.1890000000003,-5855.143000000001,-9264.701999999997,55.66,82.35,77.84,91.38,false,false,6.37,3.31,主動ETF當日持股未完整（21/22）
4,2027,大成鋼,TWSE,鋼鐵工業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 41.29 且法人籌碼轉弱，先減碼三分之一。,72.8,88,44.45,44.45,43.73,30.28,,,,,12.63,1.28,3.47,9,-2062,-1563,164,5125,13096,1246,3801.653,7774.372,44305.176,63671.67600000001,-5243.152,4072.6980000000003,4680.942000000001,9492.974000000002,2,3,181031426,-167.3649999999999,2042.5120000000002,21.75,-1839,412,44987,,8185.739,3869.0390000000007,37581.722,49349.62099999999,60.25,65.7,65.59,65.9,true,false,4.67,-0.22,主動ETF當日持股未完整（21/22）；ETF 1/3日已轉為減碼；ETF加碼金額或跨基金共識不足
5,2357,華碩,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 716.98 且法人籌碼轉弱，先減碼三分之一。,72.8,88,799,799,55.63,38.85,,,,,14.47,2.1,5.19,43,-177,907,1416,1241,745,-131,8.231,7013.579999999999,13476.087,27904.654,-96.679,710.5329999999999,-32.04599999999999,-2127.7609999999995,4,1,567715867,978.089,1114.83,37.11,3482,5071,18972,,121.633,5324.9580000000005,12393.303,27562.119000000002,61.15,80.36,76.55,87.97,true,false,7.14,5.13,主動ETF當日持股未完整（21/22）；主動ETF 5日轉為減碼；ETF加碼金額或跨基金共識不足
6,3702,大聯大,TWSE,電子通路業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 108.71 且法人籌碼轉弱，先減碼三分之一。,72.3,87.9,116,116,131.85,55.18,,,,,13.74,2.1,3.38,31,-1087,-496,142,12601,19642,-28,1754.723,3238.6870000000004,7803.2,-3981.8060000000014,-1214.06,-679.56,11083.335000000001,15579.596000000001,4,1,-78828960,1049.9509999999998,2109.785,34.87,1101,-605,-21217,,2877.315,2868.2960000000003,-5389.919999999999,-23911.443,54.78,49.7,45.51,58.1,true,false,3.55,0,主動ETF當日持股未完整（21/22）；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；ETF加碼，但外資持股5/10日同步下降；ETF加碼金額或跨基金共識不足
7,3706,神達,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 87.46 且法人籌碼轉弱，先減碼三分之一。,71.9,88,89.5,89.5,80.93,44.8,,,,,16.68,1.75,4.58,15,-15,24,1199,5443,17409,0,3390.333,2297.459,11487.7,8527.811,-8,1231,5484,17724,3,2,110174500,-517.5129999999999,-1124.349,7.83,487,-3607,2350,,3393.181,1583.9719999999998,7128.048999999999,-6108.490000000002,51.95,46.05,45.28,47.58,true,false,0.87,-1.86,主動ETF當日持股未完整（21/22）；20日趨勢尚未上彎
8,2615,萬海,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 81.17 且法人籌碼轉弱，先減碼三分之一。,71.5,87.2,86.1,86.1,32.7,6.39,,,,,7.82,0.83,3.54,11,-14,29,109,460,79,0,2696.471,11988.532,38353.858,51136.88100000001,-3.645,160.857,525.737,116.596,3,1,13849788,143.05700000000002,-43.930999999999926,44.61,2264,6657,46655,,2740.69,11684.618,37872.052,51408.701,59.86,61.21,61.31,61.03,false,false,3.52,2.5,主動ETF當日持股未完整（21/22）；ETF加碼金額或跨基金共識不足
9,2317,鴻海,TWSE,其他電子業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 245.94 且法人籌碼轉弱，先減碼三分之一。,71.5,85,253,253,52.11,34.99,,,,,17.79,1.97,2.86,44,806,10500,17703,24442,37370,742,9141.318,17969.769,83995.141,75628.85899999998,213.516,6315.245,10449.342,14712.664999999999,5,0,1597756985,6670.2,9484.148000000001,40.23,47631,-5864,55355,,10136.158,4984.3240000000005,64061.651000000005,43863.209,54.53,58.06,52.01,70.17,true,false,3.16,0,主動ETF當日持股未完整（21/22）；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；借券賣出與借券賣出餘額壓力升高
10,2637,慧洋-KY,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 77.93 且法人籌碼轉弱，先減碼三分之一。,71.3,87.7,83,83,57.92,32.32,,,,,11.01,1.16,4.47,8,-5,-8,-12,725,129,0,1252.21,2191.784,4499.509,18479.444000000003,847,1847,3938.866,5506.588000000001,5,0,153301000,3.3109999999999893,134.543,24.54,57,-2047,723,,443.989,341.473,426.1,12794.82,56.77,43.38,41.39,47.35,true,false,3.12,0.85,主動ETF當日持股未完整（21/22）；20日累積後5日轉為調節；ETF 1/3日已轉為減碼
