排名,代號,名稱,市場,產業,新部位建議,既有部位建議,既有部位說明,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2027,大成鋼,TWSE,鋼鐵工業,可開始承接,續抱／回測可加碼,已有部位可續抱；回測20日EMA約 41.33 且ETF、外資與投信未轉弱時，才考慮下一批。,79,100,44.4,44.4,43.73,30.28,18.07,41.61,366.04,1.17,12.79,1.3,3.43,9,4502,6457,7450,11854,48146,5984,29083.029,38276.903999999995,49095.690999999984,51929.86799999999,4112.319,5101.329,7853.392,43170.884,3,2,223183144,2671.016,3321.482,21.69,23944,2266,2757,,23949.074,30504.559,37920.817,4946.453999999995,66.95,78.88,70.03,96.59,false,false,7.42,8.29,
2,3706,神達,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 87.40 且法人籌碼轉弱，先減碼三分之一。,78.4,100,92,92,80.93,44.8,3.72,50.24,171.44,1.1,17.4,1.82,4.39,15,1400,4569,6150,6122,46518,539,2278.111,7605.671,3047.7580000000003,10931.77,1400,6145,6401,46796,4,1,560424000,-954.3779999999999,-254.47599999999989,8.01,1045,-17019,-30101,,1092.9,2415.0489999999995,-3098.7660000000005,-33677.816999999995,57.77,61.66,52.71,79.57,true,false,2.75,2.34,ETF加碼，但外資持股5/10日同步下降
3,2637,慧洋-KY,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 77.14 且法人籌碼轉弱，先減碼三分之一。,77,100,81.3,81.3,57.92,32.32,27.6,40.19,109.87,1.6,11.76,1.24,4.19,8,328,722,745,751,-545,719,1451.536,2119.5280000000002,11408.350000000002,15388.805000000004,477.866,962.653,2746.385,2000.0389999999998,5,0,80477791,-261.735,-14.878000000000029,24.81,361,12316,14493,,1000.655,1418.6100000000004,8676.843,13528.608,54.88,41.47,46.64,31.11,false,false,1.57,-1.45,ETF加碼金額或跨基金共識不足
4,3702,大聯大,TWSE,電子通路業,等待確認,暫停加碼／跌破減碼,已有部位暫停加碼；若收盤跌破60日EMA約 107.87，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,74.3,100,121.5,121.5,131.85,55.18,2.68,80.68,123.6,3.3,14.41,2.2,3.22,31,1640,5924,4970,6785,57964,850,327.909,-1099.6680000000001,-9062.35,-17396.396,1366.949,3144.9490000000005,3727.2100000000005,53670.43,4,1,371103982,2920.3230000000003,3053.3170000000005,35.17,-1519,-70993,-70114,,-1587.446,-7164.94,-15842.877,-70484.26299999999,61.97,62.99,52.24,84.5,true,false,8.21,7.05,外資持股5/10日下降，且外資5日賣超
5,2357,華碩,TWSE,電腦及週邊設備業,等待確認,暫停加碼／跌破減碼,已有部位暫停加碼；若收盤跌破60日EMA約 703.74，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,73.8,100,769,769,55.63,38.85,5.71,52.83,148.3,13.19,13.53,1.96,5.55,43,-413,-326,-554,113,-819,38,2002.619,6849.173,18042.470999999998,15016.173999999995,-614.145,-1773.6119999999999,-1877.224,-4289.885,0,5,-1342624284,1033.851,1643.834,36.3,2970,24052,15605,,2663.816,7588.934,18275.860999999997,19229.953,61.5,81.35,72.53,99,true,false,6.7,7.55,ETF 1/3日已轉為減碼；投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎
6,1590,亞德客-KY,TWSE,電機機械,等待確認,續抱觀察,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 1,331.53 且法人籌碼轉弱，先減碼三分之一。",73.6,100,1405,1405,44.88,30.08,33.2,17.79,280.31,13.35,31.3,5.62,2.04,16,90,333,428,472,712,47,300.238,311.855,705.5,1599.257,98,433.856,490.196,730.162,5,0,620414080,15.207,-3.6229999999999976,80.79,257,1061,1278,,202.954,-137.20800000000003,218.92699999999996,902.4689999999999,55.3,67.28,53.41,95.03,false,false,3.8,4.07,20日趨勢尚未上彎；2日內除權息，等待價格重置
7,6177,達麗,TWSE,建材營造,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 46.25 且法人籌碼轉弱，先減碼三分之一。,72.9,100,48.5,48.5,1322.16,667.77,43.14,72.12,139.8,3.53,6.47,1.79,6.21,2,0,0,0,-15,1891,0,655.147,2521.716,4053.919999999999,3926.571,0,379,551.81,2457.114,3,0,18305700,155.444,183.14999999999998,7.27,1589,1954,-464,,563.147,1987.272,3318.9599999999996,1272.7049999999995,63.75,76.41,70.04,89.16,false,false,3.67,1.04,
8,2376,技嘉,TWSE,電腦及週邊設備業,等待確認,暫停加碼／跌破減碼,已有部位暫停加碼；若收盤跌破60日EMA約 325.94，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,72.5,100,354.5,354.5,68.55,48.36,7.06,72.95,137.4,7.86,16.25,3.61,3.45,32,887,2865,2342,2832,13779,462,213.061,-2020.0549999999998,-111.02500000000009,697.1259999999997,775.495,1674.3300000000004,1695.5790000000002,11787.729,4,1,582666840,1192.856,1629.409,20.64,-712,-11584,-19510,,-784.802,-4887.241,-3436.0130000000004,-13050.172,59.3,80.06,65.69,108.81,true,false,4.58,5.19,外資持股5/10日下降，且外資5日賣超
9,6206,飛捷,TWSE,電腦及週邊設備業,等待確認,暫停加碼／跌破減碼,已有部位暫停加碼；若收盤跌破60日EMA約 125.48，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,72.2,100,130,130,26.29,24.61,28.09,19.03,419.58,2.51,17.74,3.26,4.35,7,-12,162,494,492,467,500,379.686,225.0049999999999,-896.292,-522.0889999999999,-11.33,494.45799999999997,491.89,467.10800000000006,3,1,62548937,-179.501,-202.76099999999997,15.18,443,-1053,-205,,563.362,-89.9520000000001,-1185.421,-749.0100000000001,53.09,52.32,39.1,78.77,true,false,2.33,4,外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；ETF加碼金額或跨基金共識不足
10,2059,川湖,TWSE,電子零組件業,等待確認,暫停加碼／跌破減碼,"已有部位暫停加碼；若收盤跌破60日EMA約 6,588.62，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。",71.8,100,8200,8200,220.52,98.95,67.06,20.2,547.07,36.58,71.62,24.56,0.63,32,5,44,43,196,354,26,-1.018,125.80000000000001,77.67100000000002,135.30800000000002,37.607,393.768,628.9049999999999,756.8409999999999,5,0,3199365000,26.147999999999996,32.649,23.77,-42,-889,-601,,-20.639,-294.116,-583.8829999999999,-664.566,59.92,47.53,49.82,42.94,false,false,4.62,-5.26,外資持股5/10日下降，且外資5日賣超
