排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,今天動作,下一次確認,既有部位說明,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,8271,宇瞻,TWSE,半導體業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 219.29 且ETF、外資與投信未轉弱時，才考慮下一批。,76.6,82.8,69.9,85,100,完整,232.5,232.25,164.99,235.51,34.73,55.84,184.73,35.51,5.83,3.2,1.9,5,1,16,133,362,240,132,31.095,2803.127,6914.744999999999,5545.057999999998,0.318,131.818,363.42,241.42000000000002,3,1,30911321,-202.47500000000002,-148.81600000000003,11.87,2,2621,6088,,60.51,2873.784,6700.1410000000005,5287.884999999999,58.84,67.16,73.4,54.66,false,true,6.02,2.42,
2,2603,長榮,TWSE,航運業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 205.85 且ETF、外資與投信未轉弱時，才考慮下一批。,78.6,74.9,69.4,85,91,可用,213.5,213.75,43.07,4.21,10.34,35.3,161.2,3.84,9.53,0.81,7.34,31,-160,1609,1345,2910,228,1194,7464.646,20368.974,30493.504,74929.95400000001,45.698,1773.291,1584.307,-4747.554999999999,3,2,386577438,82.06300000000002,376.547,22.48,5756,15589,25656,,7309.417,18513.620000000003,28532.65,76877.43400000001,60.91,78.48,77.71,80.02,false,false,3.72,4.15,
3,2347,聯強,TWSE,電子通路業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 90.79 且ETF、外資與投信未轉弱時，才考慮下一批。,75.1,74,56.9,85,100,可用,91.9,91.75,126.88,84.54,2.49,70.33,142.57,4.12,12.45,1.75,4.62,23,-36,1218,1216,2069,-9841,23,150.148,2056.616,7562.401999999999,22169.979,135.548,1554.412,1658.911,-12667.213,4,1,141451492,-751.8910000000001,-2611.92,29.85,148,1317,9151,,15.002,1254.095,8515.411,35247.515,53.25,53.04,63.1,32.92,false,true,1.22,-5.36,
4,3260,威剛,TPEX,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 400.19 且法人籌碼轉弱，先減碼三分之一。,64.9,80.9,71.4,85,100,可用,413,411.75,331.29,206.73,38.98,62.91,181.44,62.46,5.24,3.34,4.19,14,-7,-24,-44,242,317,-1,-429.164,-429.164,-429.164,-429.164,-16.3,-16.3,-16.3,-16.3,0,1,-6609650,29.242,29.242,19.73,,,,,-442.106,-442.106,-442.106,-442.106,54.57,62.17,68.2,50.12,false,true,3.22,4.29,20日累積後5日轉為調節；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；外資持股趨勢資料不足或期間有非市場異動
5,5289,宜鼎,TPEX,電腦及週邊設備業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 1,476.22 且法人籌碼轉弱，先減碼三分之一。",69.3,80.3,77.1,85,100,可用,1510,1527.5,636.53,548.79,56.13,48.99,233.33,166.45,8.17,6.08,1.16,11,0,11,26,112,104,27,-44.111,-44.111,-44.111,-44.111,-0.424,-0.424,-0.424,-0.424,0,1,-623280,-14.886,-14.886,26.31,,,,,-28.801,-28.801,-28.801,-28.801,53.84,65.3,68.51,58.87,false,true,5.18,3.07,外資持股趨勢資料不足或期間有非市場異動
6,2344,華邦電,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 159.02 且法人籌碼轉弱，先減碼三分之一。,75.6,79.7,65.2,85,100,可用,177.5,175.75,291.55,160.97,42.34,40.78,159.78,7.65,19.63,4.85,0.28,35,-505,-620,1083,7008,8210,1062,37855.253,14366.053999999993,51884.07399999999,-15300.613000000007,-238.815,9963.367999999999,1824.6589999999987,-26902.277000000006,2,3,1773479504,211.48000000000025,876.5420000000004,17.75,32931,-140,33444,,37871.893,4191.205999999989,49182.87299999999,6352.939999999993,56.1,83.45,76.84,96.67,false,false,8.59,5.03,ETF 1/3日已轉為減碼
7,2605,新興,TWSE,航運業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 31.73 且法人籌碼轉弱，先減碼三分之一。,69.6,78.4,78.7,85,71,可用,32.4,32.42,36.27,35.12,35.32,22.98,186.53,0.66,15.67,1.09,3.05,1,0,0,0,2,187,0,0.818,4434.794,6129.224,14967.080000000002,0,0,22,215,0,0,0,508.774,-15.67899999999996,49.97,3,3926,5618,,2.597,3926.0200000000004,6122.903,15391.586,56.34,72.04,68.16,79.8,false,false,2.23,1.25,
8,2408,南亞科,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 397.58 且法人籌碼轉弱，先減碼三分之一。,69.5,78.2,82.2,85,100,可用,485,481.25,719.61,660.87,69.08,16.78,691.01,23.38,18.98,5.23,0.28,36,-226,-1113,-676,2700,8953,-565,15315.236,67531.125,99194.959,59512.449,312.952,4006.5389999999998,4843.277,9044.734,3,2,1959197571,-744.886,-29.712000000000018,15.27,14840,56648,88589,,15172.885,64269.472,94381.394,48259.83100000001,59.2,86.16,79.07,100.33,false,false,11.28,8.99,20日累積後5日轉為調節；ETF 1/3日已轉為減碼
9,6691,洋基工程,TWSE,其他電子業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 693.85 且法人籌碼轉弱，先減碼三分之一。,80.1,77.8,51.9,85,91,可用,737,738.5,177.06,98.1,15.74,73.14,132.4,7.19,26.97,14.74,3.02,10,-1,-8,83,100,398,92,-62.553,565.797,185.098,-1201.966,-1.499,82.501,101.501,400.501,1,4,60060728,19.655000000000005,19.478000000000005,13.01,-44,472,100,,-53.554,463.6410000000001,64.11900000000007,-1610.202,57.27,79.07,70.94,95.33,false,false,4.47,5.59,ETF 1/3日已轉為減碼；ETF加碼金額或跨基金共識不足
10,2027,大成鋼,TWSE,鋼鐵工業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 42.27 且法人籌碼轉弱，先減碼三分之一。,76.4,77.2,70,85,91,可用,46.95,46.98,46.12,32.56,18.07,41.61,366.04,1.17,13.58,1.38,3.23,9,-260,188,784,155,9469,1275,-2535.114,25666.780000000002,36083.75,85436.501,-29.648,5983.2880000000005,8346.986,9199.913000000002,3,2,277923728,-2163.149,-1933.9419999999993,23.07,-2020,22694,30432,,-2101.655,21846.641,29670.706000000002,75450.75899999999,65.67,82.2,79.22,88.17,false,false,5.89,5.86,ETF加碼金額或跨基金共識不足
