排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,RSI14,距20EMA%,5日報酬%,淘汰原因
216,2371,大同,TWSE,電機機械,等待轉強,56.7,100,27.25,27.1,16.64,4.03,3.77,62.06,193.93,-0.05,,1.21,,5,-15,59,152,1259,742,174,577,5109,13359,6.43,-697,2259,4880,-5089,625,4844,11958,43.86,-1.79,-0.18,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
217,4915,致伸,TWSE,電子零組件業,等待轉強,56.7,100,67.5,66.9,27.58,12.84,4.34,58.7,137.38,1.3,12.81,1.46,6.77,12,0,158,-70,5697,11504,-334,-366,81,2234,26.65,598,1435,-49,-23044,-364,124,-3632,38.64,-3.15,0,中期趨勢仍向下；20日累積後5日轉為調節；主動ETF 5日轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
218,2880,華南金,TWSE,金融保險業,觀察,56.7,92,38.85,39.4,,,,94.52,,0.55,18.77,2.22,3.73,21,7788,13268,17366,20510,137918,650,3505,19676,28024,14.51,448,2641,-3621,-72958,836,5313,9852,58.88,2.83,-0.26,
219,6206,飛捷,TWSE,電腦及週邊設備業,等待轉強,56.6,100,126,125,26.29,24.61,28.09,19.03,419.58,2.51,17.67,3.25,4.37,6,0,0,-2,-14,-40,0,-154,-1120,-663,15.26,-157,-1486,-1014,-1,-157,-1096,-633,43.98,-3.07,-3.82,中期趨勢仍向下；ETF短中期同步減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
220,8210,勤誠,TWSE,電腦及週邊設備業,等待轉強,56.6,100,1145,1175,98.03,55.56,25.03,51.74,177.09,10.73,33.95,11.37,1.22,19,-2,-224,-225,-933,-1914,-223,153,355,-851,8.9,156,751,619,241,132,768,500,37.65,-8.11,-2.55,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
221,2305,全友,TWSE,電腦及週邊設備業,等待轉強,56.5,100,35.05,34.4,142.33,79.62,7.52,21.16,492.74,0.16,129.81,3.02,,1,0,0,-1,-2,-5,0,-1624,-3099,-2918,5.88,-1617,-2715,-2524,-1605,-1624,-2975,-2775,53.1,-0.27,-8.72,ETF短中期同步減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
222,2412,中華電,TWSE,通信網路業,等待轉強,56.4,100,133,136,11.4,7.83,21.85,24.9,164.38,1.3,26.44,2.6,3.91,34,-496,1518,2638,20723,35510,1063,-1296,-19174,-45802,15.7,895,-12591,-56902,-94776,-382,-9386,-54014,24.87,-4.29,-5.67,中期趨勢仍向下；三大法人5/10日同步賣超；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
223,4938,和碩,TWSE,電腦及週邊設備業,等待轉強,56.1,100,82.7,83.2,15.89,-3.93,1.16,60.1,131.03,0.58,19.01,1.09,4.85,27,902,764,1216,-11992,-29272,57,1052,4527,9661,29.08,-2161,-2373,11190,43175,995,3866,22113,46.1,-1.31,0.49,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
224,2609,陽明,TWSE,航運業,等待轉強,55.8,100,50.2,50.2,20.18,0.49,1.94,28.34,441.4,0.41,16.3,0.53,3.98,13,-19,202,335,502,-245,0,11305,-12408,-16357,17.69,9249,-14342,-24838,-16478,11205,-11078,-16392,46.54,-1.74,-1.76,中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
225,4949,有成精密,TWSE,光電業,等待轉強,55.8,100,78.9,76.7,68.69,40.95,12.45,32.85,291.02,1.19,29.33,3.23,1.77,1,0,0,-1,-2,-6,0,-57,-322,-30,2.87,-28,-334,-10,54,-55,-321,-34,43.85,-3.11,8.98,中期趨勢仍向下；ETF短中期同步減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
