排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,RSI14,距20EMA%,5日報酬%,淘汰原因
261,3042,晶技,TWSE,電子零組件業,等待轉強,50.5,100,189.5,186.5,19.98,7.73,15.08,32.91,231.24,1.32,36.16,4.26,2.53,9,-3,-3,176,309,-5783,180,-2284,-3334,-6471,18.08,-1425,-3553,-5198,-4749,-1292,-1695,-7023,45.23,-6.72,-9.76,中期趨勢仍向下；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
262,1722,台肥,TWSE,化學工業,等待轉強,50.4,100,48.05,47.8,-10.47,6.42,-1.3,34.15,398.51,0.19,46.2,0.86,4.16,4,0,-2,-5,-8,-28,0,462,-93,4080,8.74,490,-9,2197,4614,489,-88,4075,53.29,0.49,-0.21,ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
263,2485,兆赫,TWSE,通信網路業,等待轉強,50.4,100,49.4,47.3,80.93,82.02,9.39,19.84,327.9,0.41,1235,2.97,,1,0,0,-4,-11,-32,0,-11,4214,4684,3.25,-1128,2529,3080,5907,-646,3626,4304,34.81,-9,-1.2,中期趨勢仍向下；ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
264,3030,德律,TWSE,其他電子業,等待轉強,50.4,100,302,310,0.43,24.77,38.16,21.99,343.54,3.5,26.15,6.82,2.32,6,-3,-1,-1,1,297,0,169,-1157,-5207,10.39,100,-527,-3366,-3583,135,-1109,-5142,41.37,-5.31,2.03,中期趨勢仍向下；20日累積後5日轉為調節；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
265,6781,AES-KY,TWSE,電子零組件業,等待轉強,50.3,100,1040,1045,25.58,26.01,24.16,32.21,291.85,10.64,26.58,4.91,1.84,5,0,0,0,0,16,0,-149,-857,-598,67.72,-51,-612,-492,68,-144,-793,-514,37.73,-9.16,-11.49,中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
266,6919,康霈*,TWSE,生技醫療業,觀察,50.1,100,109.5,113.5,,-70.78,-12291550,1.82,4520.84,-0.07,,18.19,,4,0,0,2,2,-24599,0,14,4250,3909,13.96,-22,3760,3139,20132,-22,4296,3780,58.52,5.9,-0.45,
267,2455,全新,TWSE,通信網路業,等待轉強,50.1,98.5,315.5,313,23.55,27.65,23.63,32.02,359.31,1.06,99.53,15.91,0.83,13,-32,-5,13,-93,294,0,-403,1608,-3569,27.05,44,1833,-978,2076,317,2581,-1984,39.71,-9.45,-0.94,中期趨勢仍向下；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；估值高且成長不足以支撐
268,3014,聯陽,TWSE,半導體業,等待轉強,50,100,134,131.5,-1.12,-2.09,28.74,37.14,205.88,2.85,14.49,3.59,6.34,11,-28,566,682,3116,3499,72,-756,-1168,-2541,19.89,-380,-801,-5263,-3768,-543,-1249,-5335,33.69,-10.26,-12.42,累計營收負成長且當月改善不足；中期趨勢仍向下；三大法人5/10日同步賣超；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
269,2489,瑞軒,TWSE,光電業,等待轉強,50,93.8,36.6,35.2,23.43,12.6,1.07,40.71,197.42,0.15,33.58,1.72,3.28,3,0,11,11,11,48,0,181,2728,-6833,5.07,-1437,4803,5507,-2079,-46,2911,-6490,34.27,-11.13,-6.27,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
270,2312,金寶,TWSE,其他電子業,等待轉強,49.8,100,34.6,33.6,32.7,-5.29,2.47,70.62,122.81,0.35,33.27,2.32,1.73,4,-100,-100,-100,-103,-74,0,6761,4296,2183,7.51,5205,7965,9380,-15371,5224,3426,1594,50.22,-0.17,1.47,ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
271,6515,穎崴,TWSE,半導體業,等待轉強,49.7,100,7255,6735,287.9,70.27,26.06,54.61,230.87,19.54,148.67,40.24,0.68,32,-2,-14,-6,-43,-47,-12,-5,3,-120,19.88,-3,44,-190,-342,11,113,-204,37.56,-13.01,-9.6,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；2日內除權息，等待價格重置
272,6805,富世達,TWSE,電子零組件業,等待轉強,49.3,100,1395,1415,32.66,62.64,26.78,54.2,183.93,13.38,35.6,12.88,0.9,14,55,74,-110,-138,-225,-110,-56,370,-157,19.15,55,1883,1746,751,72,1923,1667,35.65,-11.87,-6.38,中期趨勢仍向下；ETF短中期同步減碼；主動ETF 5日轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
273,2049,上銀,TWSE,電機機械,等待轉強,49.2,100,321.5,332,31.62,18.05,9.88,31.29,229.46,1.64,70.04,3.03,0.62,11,1,-26,-14,-519,-1118,-13,133,374,894,36.4,117,659,1211,916,43,605,1511,43.59,-4.33,-6.68,中期趨勢仍向下；ETF短中期同步減碼；主動ETF 5日轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
274,2329,華泰,TWSE,半導體業,等待轉強,48.9,100,51.4,48.95,3.62,10.66,5.61,49.35,135.61,0.33,23.26,2.96,1.95,3,0,0,0,0,6,0,1486,-5423,-9018,9.75,1531,-1534,-3360,-2318,1195,-5245,-8621,44.31,-2.96,-0.58,中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
275,2891,中信金,TWSE,金融保險業,等待轉強,48.6,89,63.5,63,,,,93.83,,1.18,15.3,2.27,3.94,39,4548,10462,26151,46328,42889,791,-4470,42395,22582,34.41,-43865,-4736,-58138,-25037,-1518,39351,-4746,37.36,-6.97,-9.54,中期趨勢仍向下；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
276,6278,台表科,TWSE,光電業,等待轉強,48.5,100,177,177.5,9.24,3.13,5.77,58.08,140.83,2.17,20.21,2.3,3.14,8,-94,-83,1314,5960,558,12,-680,-5196,-12685,15.45,677,-2928,-14384,-12176,580,-3673,-15393,38.95,-10.12,-9.23,中期趨勢仍向下；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
277,2353,宏碁,TWSE,電腦及週邊設備業,等待轉強,48.4,100,31.05,30.75,-3.02,23.35,1.11,64.82,129.54,0.23,23.52,1.28,4.19,16,992,473,-2194,-41832,-60790,0,14737,32498,17352,12.05,9733,24595,54728,86197,13345,34144,59901,41.12,-5.29,-2.97,中期趨勢仍向下；ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
278,4755,三福化,TWSE,化學工業,等待轉強,48.4,100,137,135.5,15.63,-1.64,9.51,33.58,142.21,1.01,37.95,2.47,2.7,1,0,0,0,0,0,0,71,-25,-364,23.87,94,179,-288,-886,80,-21,-359,50.58,0.08,1.86,中期趨勢仍向下；三大法人5/10日同步賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
279,1597,直得,TWSE,電機機械,等待轉強,48.1,100,138,138.5,45.25,44.32,13.25,41.35,230.7,0.43,115.97,5.03,0.51,1,0,0,-1,-3,-9,0,419,715,-1260,6.7,238,423,-1114,-266,234,550,-1490,43.04,-5.69,-0.72,中期趨勢仍向下；ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
280,6282,康舒,TWSE,電子零組件業,等待轉強,48.1,100,56.2,53,28.28,24.91,2.93,56.18,135.55,0.27,112.4,2.14,1.42,4,0,500,1400,3534,3462,0,2208,-8783,-6306,14.57,1109,-8169,-7335,-31051,848,-11658,-10003,46.84,-2.78,0,中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
281,2495,普安,TWSE,電腦及週邊設備業,等待轉強,48,100,45.05,42.6,40.29,43.44,12.57,37.27,246.88,0.33,39.87,2.63,1.78,2,0,0,0,-1,11,0,-701,-3214,357,6.73,-863,-3663,-928,-1133,-812,-3085,633,39.49,-8.85,-11.14,中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
282,2867,三商壽,TWSE,金融保險業,觀察,48,92,8.85,8.91,,,,95.07,,-0.03,63.21,0.67,,1,0,0,0,0,0,0,6318,30538,45195,20.68,4726,66813,78412,54381,4778,28263,40215,66.84,3.04,1.37,
283,3443,創意,TWSE,半導體業,等待轉強,47.7,100,4120,4185,103.72,93.05,15.93,58.49,158.41,12.28,123.95,37.86,0.49,39,10,-139,-20,221,2340,21,-202,-551,-442,26.2,-54,-76,-39,-3310,-61,-53,-25,41.1,-9.13,-8.04,中期趨勢仍向下；20日累積後5日轉為調節；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
284,4919,新唐,TWSE,半導體業,等待轉強,47.7,100,168.5,156.5,1.16,-1.55,-1.4,56.76,203.24,0.02,,5.35,,8,-31,20,68,179,663,42,615,1264,-6865,2.01,-849,102,-2894,-14340,-844,-26,-4407,47.81,-2.22,2.74,累計營收負成長且當月改善不足；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
285,2727,王品,TWSE,觀光餐旅,等待轉強,47.5,100,233.5,215,16.59,12.08,8.25,76.35,99.96,5.04,14.03,5.05,6.9,2,-1,-1,-1,-135,-140,0,-444,-1498,-1672,27.97,-439,-1450,-1448,-981,-437,-1475,-1526,33.89,-3.43,-4.69,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；2日內除權息，等待價格重置
286,9904,寶成,TWSE,運動休閒,等待轉強,47.5,100,24.3,24.6,-3.26,-2.86,3.16,37.44,149.28,0.76,6.69,0.47,5.35,12,811,1112,1849,-32832,-74226,0,1999,-7785,-45750,27.87,2446,-3950,-3683,-91235,2460,-8455,-9897,33.78,-2.43,-0.21,累計營收負成長且當月改善不足；中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
287,1504,東元,TWSE,電機機械,等待轉強,47.4,100,69,69.9,0.15,5.92,8.28,36.63,211.34,0.51,30.67,1.92,2.9,9,-5,-8,-20,-68,-1069,0,7592,-14645,-5655,6.92,7588,-7418,1471,-1452,6739,-14296,-5573,48.68,-0.6,-2.68,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；20日趨勢尚未上彎
288,1605,華新,TWSE,電器電纜,等待轉強,47.4,100,35,34.75,29.34,-0.44,1.33,43.02,149.83,0.81,25.55,0.94,1.43,6,0,3,5,-99,-426,0,7504,-8759,-31825,15.31,7022,-3127,-25110,-48298,6809,-8966,-29488,46.32,-2.23,-0.14,中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
289,1319,東陽,TWSE,汽車工業,等待轉強,47.2,100,75.6,75.6,3.04,-14.34,15.76,22.37,232.66,1.62,13.57,1.53,6.61,9,-4,-4,-7,-650,-28220,0,-654,-1028,-3724,9.06,-220,-863,-3041,15397,-292,-1568,-3734,37.48,-5.69,-2.58,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
290,2548,華固,TWSE,建材營造,等待轉強,47.1,100,101.5,103,-88.82,181.43,20.69,61.16,207.99,2.28,7.92,1.58,8.37,2,-4,-3,-3,-184,-1515,0,266,-2566,-2888,16.09,323,-2188,-2344,-1779,459,-2338,-2326,42.09,-1.29,0,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎
291,2327,國巨*,TWSE,電子零組件業,等待轉強,47,100,798,776,38.91,29.35,25.19,57.9,116.8,3.9,62.83,9.83,0.75,45,423,-792,-250,-10226,-6697,-918,-7795,-13103,-9314,48.71,-5483,1604,18678,-13505,-7987,-1581,16508,41.36,-12.82,-11.82,ETF短中期同步減碼；三大法人5/10日同步賣超；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
292,2439,美律,TWSE,通信網路業,等待轉強,47,100,86.1,85.8,0.15,11.89,1.88,55.01,162.61,1.03,17.5,1.29,4.65,6,-2,-2,-4,-1897,-2982,0,-531,-2648,-3463,11.26,-199,-1522,-934,-2104,-479,-2425,-1357,36.71,-3.61,-3.69,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
293,2636,台驊控股,TWSE,航運業,等待轉強,47,100,64.3,64.1,25.18,1.59,2.6,56.89,162.19,1.1,9.41,0.93,7.78,1,-2,-2,-2,-1,0,0,-370,-1006,-579,9.02,-102,-657,-566,-1348,-30,-671,-258,27.64,-7.39,-9.05,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
294,5234,達興材料,TWSE,光電業,等待轉強,46.8,100,376,364,21.77,10.01,20.1,41.63,176.52,2.21,48.83,12.51,1.73,4,-1,-1,-1,-3,-9,0,28,-344,-253,9.52,-1,-211,-281,-384,21,-285,-245,43.31,-2.71,-0.92,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
295,3661,世芯-KY,TWSE,半導體業,等待轉強,45.9,100,3735,3770,15.39,-39.74,32.66,27.06,344.81,17.55,54.74,7.06,0.91,25,4,36,53,115,98,1,-214,-1185,-2314,52.21,-210,-1456,1179,835,-14,-885,-2124,39.69,-10.52,-7.43,中期趨勢仍向下；三大法人5/10日同步賣超；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
296,2515,中工,TWSE,建材營造,等待轉強,45.8,100,13.9,13,-14.32,32.15,4.95,64.22,235.82,0.16,28.96,0.97,3.6,1,-17,-17,-17,-17,-19,0,3873,-4958,10044,8.69,3112,-1772,11213,15303,3070,-5672,8907,56.59,2.61,-0.71,ETF短中期同步減碼；ETF 1/3日已轉為減碼；當下除權息調整價未守20日EMA；2日內除權息，等待價格重置
297,3406,玉晶光,TWSE,光電業,等待轉強,45.4,100,554,557,4.51,17.17,19.55,41.75,231.81,7.9,16.79,2.39,3.07,7,-58,-55,-53,-34,-1955,0,-680,-725,-1583,42,-348,-674,-1314,-2292,-321,-698,-1418,34.55,-13.06,-9.03,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
298,9907,統一實,TWSE,其他,等待轉強,45.4,100,15.3,15.3,-6.1,-12.63,3.84,32.66,229.48,0.17,13.78,1.09,7.71,5,-18,-349,-891,2228,-26076,0,2805,3986,8669,15.05,2946,4077,7344,21018,2846,4794,6389,42.2,-1.32,-0.65,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
299,6962,奕力-KY,TWSE,半導體業,等待轉強,45.1,100,35.05,34.3,-0.33,-5.7,3.76,20.83,263.36,0.58,24.01,0.85,2.85,1,0,2,2,7,52,0,419,-4428,-2492,39.42,-87,-3248,-1755,4617,415,-4430,-2569,42.1,-5.17,-7.64,累計營收負成長且當月改善不足；中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
300,2355,敬鵬,TWSE,電子零組件業,等待轉強,44.6,100,47.7,46.6,4.44,4.61,4.8,27.67,241.35,0.62,28.22,1.07,2.1,2,0,0,-4,-13,-42,0,-774,2252,631,15.29,-567,2045,-1136,-3076,-767,2631,1336,34.71,-9.11,-6.29,中期趨勢仍向下；ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
301,8996,高力,TWSE,電機機械,等待轉強,44.4,100,1185,1125,37.56,128.96,20.71,47.81,160.65,6.54,84.52,23.73,0.38,16,0,7,-84,-747,-1759,-83,-79,-186,-839,37.72,-170,48,320,2556,-170,41,312,41.25,-10.17,-11.24,ETF短中期同步減碼；主動ETF 5日轉為減碼；三大法人5/10日同步賣超；當下除權息調整價未守20日EMA
302,1514,亞力,TWSE,電機機械,等待轉強,44.1,100,110.5,106.5,39.69,16.03,8.36,50.13,195.66,0.73,32.22,4.58,1.99,2,0,0,0,-1,-5,0,-791,-5299,-3253,14.1,-445,-2842,-2124,-587,-768,-5084,-3164,37.55,-8.26,-8.68,中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
303,2328,廣宇,TWSE,電子零組件業,等待轉強,44,100,50.1,49.35,-0.74,-15.92,-0.34,26.95,285.15,-0.16,51.12,1.73,1.8,2,0,0,0,0,7,0,2087,1608,-4437,8.45,1923,4233,4181,-1232,1520,1393,-4449,48.11,-0.53,2.24,累計營收負成長且當月改善不足；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
304,6592,和潤企業,TWSE,其他,等待轉強,42.7,100,60.4,61.9,-6.2,-4.3,19.17,87.19,105.79,0.76,12.28,1.17,5.46,3,-7,-7,-7,-345,-318,0,184,-276,-402,26.38,418,1340,1711,-236,194,-289,-67,42.75,-1.85,-1.31,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；三大法人5/10日同步賣超；20日趨勢尚未上彎
305,1802,台玻,TWSE,玻璃陶瓷,等待轉強,42.6,100,63.2,61.7,27,11.68,7.88,42.7,141.11,0.2,486.15,3.7,,6,0,-189,-189,-1330,975,-189,-762,-19583,-77333,5.25,-8025,-23015,-78582,21165,-8603,-26339,-79146,42.5,-5.46,-2.17,ETF短中期同步減碼；20日累積後5日轉為調節；主動ETF 5日轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
306,2002,中鋼,TWSE,鋼鐵工業,等待轉強,42.5,100,18.65,18.8,9.61,-0.16,-0.78,50.93,117.78,-0.16,,0.96,0.8,8,0,1,-16,-247,-285515,0,8849,-16493,-51476,13.28,9443,-12925,-81127,151291,9275,-15855,-50126,46.39,-0.62,0.27,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎
307,1503,士電,TWSE,電機機械,等待轉強,42,100,209.5,204,-10.58,10.27,16.05,35.72,150.79,2.79,31.22,2.87,2.39,7,0,0,8,7,92,0,-256,-1084,-703,30.23,-267,-591,-292,-2304,-302,-822,-338,38.48,-7.57,-8.91,中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
308,3645,達邁,TWSE,電子零組件業,等待轉強,41.8,100,77.7,75.4,2.7,3.97,18.83,31.97,192.99,0.67,40.89,3.13,1.54,1,0,0,-1,-4,-13,0,-19,1487,1651,12.95,-317,472,248,-1178,-19,1596,1819,32,-11.31,-9.12,中期趨勢仍向下；ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
309,6412,群電,TWSE,電子零組件業,等待轉強,40.8,100,85.7,83.5,-0.77,-7.65,4.29,57.97,135.6,1.01,16.48,2.37,4.32,5,0,0,0,-75,-127,0,-308,-1706,-1889,5.65,16,-924,-813,-8594,-293,-1487,-1495,39.51,-5.77,-4.35,累計營收負成長且當月改善不足；中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
310,8163,達方,TWSE,電腦及週邊設備業,等待轉強,40.2,100,35.85,35.35,1.08,9.33,1.31,61.59,135.35,0.2,70.29,0.97,1.39,1,0,0,0,0,0,0,72,450,-1830,9.66,265,886,-470,463,67,590,-1673,39.96,-8.66,-6.76,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
311,6890,來億-KY,TWSE,運動休閒,等待轉強,40.1,100,176,172.5,-3.2,-14.77,2.55,26.79,524.31,0.75,17.41,1.78,5.1,3,21,124,132,119,329,23,14,304,108,85.98,45,195,-157,-322,16,298,80,37.37,-14.2,-17.95,累計營收負成長且當月改善不足；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
312,6451,訊芯-KY,TWSE,半導體業,等待轉強,39.7,100,491,477,40.55,-5.21,-5.18,59.67,166.56,-1.45,,7.44,0.04,3,0,0,0,-143,-143,0,470,751,713,64.13,443,815,948,-1321,415,855,966,43.61,-7.41,-1.11,中期趨勢仍向下；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
313,9910,豐泰,TWSE,運動休閒,等待轉強,39.5,100,66.8,67.8,-3.9,-3.67,4,45.25,167.9,0.68,14.46,2.46,6.14,10,13,146,228,-3718,-4246,0,-17,-556,-4652,5.02,-42,-820,-737,-2724,-18,-865,-1050,38.74,-4.79,-2.2,累計營收負成長且當月改善不足；中期趨勢仍向下；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
314,2338,光罩,TWSE,半導體業,等待轉強,38.8,100,48.1,48,0.08,-5.14,0.93,66.11,77.74,0.52,,2.6,,1,0,0,0,0,0,0,-667,-3709,-2731,5.81,-536,-2589,-1898,-1526,-655,-3572,-2576,44.95,-3.16,-0.1,累計營收負成長且當月改善不足；中期趨勢仍向下；三大法人5/10日同步賣超；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
315,1582,信錦,TWSE,電子零組件業,等待轉強,38.1,100,78.2,76.6,-9.5,-6.27,5.27,40.68,201.5,0.35,28.44,1.5,3.84,2,0,0,-1,-62,-187,0,-66,-154,-1116,4.19,-69,207,-231,378,-47,53,-778,34.49,-7.2,-1.14,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；三大法人5/10日同步賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
316,3715,定穎投控,TWSE,電子零組件業,等待轉強,38.1,100,142.5,137,45.48,36.23,2.32,72.15,133.12,-0.74,146.91,3.76,0.76,3,0,0,-2,-9,-29,0,-692,-6303,-17134,10.36,-335,-1489,-9612,1622,-698,-5481,-15956,32.93,-11.65,-8.36,中期趨勢仍向下；ETF短中期同步減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
317,2367,燿華,TWSE,電子零組件業,等待轉強,37.8,100,51.6,48.4,-4.14,-7.37,-7.71,50.74,95.51,-0.4,,2.87,0.39,2,0,0,0,0,0,0,150,6893,4393,7.28,-1237,6265,2897,3741,-982,6278,4088,39.96,-5.76,1.18,累計營收負成長且當月改善不足；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
318,4977,眾達-KY,TWSE,通信網路業,等待轉強,36.8,100,149,144,8.08,-20.79,-3.99,21.49,315.77,-1.18,33.04,3.07,1.46,1,0,0,-1,-3,-10,0,35,646,781,16.22,-835,-248,-463,279,30,650,843,33.29,-9.65,-0.67,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
319,4906,正文,TWSE,通信網路業,等待轉強,35,100,38.8,37.75,-5.24,-28.21,-6.58,43.62,153.18,-0.32,,1.54,1.21,2,0,0,-5,-16,-48,0,-445,222,-5445,9.27,-374,1143,-4280,-11995,-483,372,-4917,41.4,-6.31,-3.24,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
320,2399,映泰,TWSE,電腦及週邊設備業,等待轉強,31.9,100,41.7,40.65,-10.32,1.3,-8.74,20.52,418.65,1.48,26.73,3.02,,1,0,0,-2,-6,-19,0,-807,-6326,-10505,3.86,-704,-6367,-9506,-10260,-765,-6219,-10479,39.46,-12.71,-15.76,中期趨勢仍向下；ETF短中期同步減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
321,3376,新日興,TWSE,電子零組件業,等待轉強,30.3,100,199.5,194.5,-4.76,-13.25,-0.44,22.67,276.74,0.15,293.38,2.24,2.01,3,-359,-359,-359,-429,-429,-359,-205,-1146,-5351,13.89,-472,-1279,-6209,-13744,-488,-973,-4732,48.87,-0.11,2.57,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；估值高且成長不足以支撐
322,6715,嘉基,TWSE,電子零組件業,等待轉強,22.5,100,374,411,-9.2,-0.12,15.89,19.28,332.23,1.02,177.25,6.87,0.52,2,0,-16,-92,-93,-95,-92,-31,-1045,-1146,2.62,-24,-767,-851,-443,-26,-771,-877,39.24,-12.93,-17.26,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；主動ETF 5日轉為減碼；三大法人5/10日同步賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；估值高且成長不足以支撐
323,8499,鼎炫-KY,TWSE,其他電子業,排除,70.8,100,302,292,116.29,87,18.33,24.71,357.1,2.61,30.26,1.45,2.65,1,0,0,0,0,5,0,48,48,100,72.38,52,28,85,207,50,50,103,50.87,0.51,1,"單日成交金額低於5,000萬元；當下除權息調整價未守20日EMA"
324,2897,王道銀行,TWSE,金融保險業,排除,68.8,100,10.5,10.55,14.1,30.36,,90.87,,0.28,15.44,0.71,4.95,2,13,148,320,2505,2505,320,123,-3367,2839,8.13,216,-3634,37,4552,137,-3712,357,53.05,0.21,-0.47,"單日成交金額低於5,000萬元；ETF加碼金額或跨基金共識不足"
