排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,持有判斷模式,今天動作,下一次確認,既有部位說明,主要原因,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
92,8110,華東,TWSE,半導體業,等待確認,正常持有,strong,強勢續抱；不追高,今日收盤確認是否守住20日EMA,價格仍在20／60日EMA之上且短線強勢；外資偏弱先觀察，不因分歧減碼。若收盤跌破20日EMA約 44.99 且法人續弱，再轉為保護持有。,價格強勢站上20／60日EMA；外資偏弱，先觀察,61.1,64.2,68.2,85,100,完整,48.95,,24.85,15.54,2.74,18.15,273.44,2.59,8.98,1.31,3.04,2,0,0,0,0,0,0,-3846.438,-5008.615,-5365.345000000001,-3646.4500000000007,0,0,0,0,0,0,0,437.3450000000001,352.6910000000001,1.51,-2480,-2829,-2382,,-3788.5,-5445.959999999999,-5718.035999999999,-3879.0989999999993,60.5,68.02,51.35,101.35,false,false,8.81,20.86,外資持股5/10日下降，且外資5日賣超；短線過熱或乖離過大；單季稅前獲利對營業外貢獻依賴偏高
93,3529,力旺,TPEX,半導體業,等待確認,正常持有,strong,強勢續抱；不追高,今日收盤確認是否守住20日EMA,"價格仍在20／60日EMA之上且短線強勢；法人未同步轉弱。若收盤跌破20日EMA約 2,680.10 且法人續弱，再轉為保護持有。",價格強勢站上20／60日EMA；法人未同步轉弱,67.3,64.2,52.5,85,98.7,可用,3110,,42.77,21.9,60.64,43.12,194.99,15.75,104.33,66.6,0.66,14,7,6,9,75,-53,8,174.802,174.802,174.802,-1012.1979999999999,170,170,170,103,1,0,528700000,30.243,30.243,60.75,,,,,-25.441,-25.441,-25.441,-1191.441,65.03,81.44,73.32,97.68,true,false,16.04,18.48,外資持股尚未完成5／10日可比核對或期間有非市場異動；此項不給分，不解讀為轉弱；短線過熱或乖離過大；高波動且5日漲幅過大
94,6438,迅得,TWSE,其他電子業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 150.14 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,66,64.1,56.5,85,100,完整,152.5,,15.54,11.5,11.24,42.36,182.26,3.79,26.43,1.98,3.28,1,0,0,0,0,0,0,193.567,344.74600000000004,142.34500000000003,1368.111,0,0,0,0,0,0,0,154.12199999999999,119.80799999999998,7.18,125,187,-59,,123.317,190.62399999999997,22.53699999999997,1215.657,55.87,43.83,30.98,69.52,true,false,2.46,7.02,
95,4961,天鈺,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 168.77 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,62.8,63.9,67.5,85,100,完整,180.5,,50.15,10.63,7.97,20.7,391.38,5.07,20.28,1.25,4.28,4,0,0,0,0,-4,0,558.992,1890.299,3030.325,4306.557,0,0,0,-4,0,0,0,-37.473,72.53399999999999,25.54,556,1592,2360,,577.28,1927.772,2957.791,4172.802,60.99,76.11,78.2,71.91,false,true,3.47,1.12,
96,2353,宏碁,TWSE,電腦及週邊設備業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 31.36 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,67.5,63.8,46.5,85,100,完整,31.4,,38.41,25.08,1.64,67.67,121.95,0.96,18.69,1.22,4.14,16,102,158,1391,2973,10357,0,-9650.507,10915.274,19202.028,15735.608999999999,102.782,2005.3020000000001,3016.649,11586.112000000001,5,0,62966483,4498.667,3099.642,13.96,-9751,14344,27574,,-9622.669,4411.305,13085.737000000001,2216.1800000000003,49.29,48.36,48.19,48.7,false,false,-0.57,1.62,當下除權息調整價未守20日EMA；單季稅前獲利對營業外貢獻依賴偏高
97,4915,致伸,TWSE,電子零組件業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 64.15 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,65.6,63.5,51.8,85,100,完整,64.9,,20.38,13.33,4.03,62.65,127.13,2.55,13.11,1.5,7.04,11,0,-2,749,1746,1877,0,600.849,562.0490000000003,99.29000000000045,-2959.3509999999997,0,748.817,1746.449,1880.449,1,1,48598223,-220.267,-530.757,25.09,747,1025,1653,,589.067,33.499000000000024,-1116.402,-4114.282,60.46,74.75,76.36,71.54,true,true,2.96,-1.07,
98,6739,竹陞科技,TPEX,其他電子業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 1,106.65 且法人籌碼轉弱，先減碼三分之一。",未觸發明確減碼訊號,50.9,63.5,64.9,85,100,可用,1080,,96.73,97.06,58.57,38.6,181.02,13.31,45.74,24.43,1.2,1,0,0,0,0,0,0,20.17,20.17,20.17,2.1700000000000017,0,0,0,0,0,0,0,-2.249,-2.249,2.94,,,,,22.419,22.419,22.419,-16.581000000000003,48.17,17.41,25.94,0.35,false,false,-2.74,1.41,外資持股尚未完成5／10日可比核對或期間有非市場異動；此項不給分，不解讀為轉弱；當下除權息調整價未守20日EMA
99,6271,同欣電,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 213.45 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,66.7,63.2,61.6,85,100,完整,228,,23.09,6.76,16.16,24.15,259.54,4.37,25.65,1.75,1.32,4,0,0,0,340,339,0,664.128,1796.104,3205.991,4725.848,0,210,1259,858,1,0,47880000,-9.918999999999997,25.809000000000005,31.65,621,1590,2021,,649.248,1596.023,1921.1819999999996,3909.6459999999997,57.28,62.87,52.79,83.01,true,false,3.13,3.17,
100,3693,營邦,TPEX,電腦及週邊設備業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 586.33 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,60.9,63.1,52.2,85,100,可用,700,,171.01,25.27,10.27,46.95,164.12,8.66,45.4,5.73,1.14,1,0,0,0,0,0,0,-32.117,-32.117,-32.117,2890.883,-10,-10,-10,-10,0,1,-7000000,-56.667,-56.667,20.44,,,,,34.55,34.55,34.55,2778.55,66.72,66.88,67.03,66.58,true,true,7.03,5.11,外資持股尚未完成5／10日可比核對或期間有非市場異動；此項不給分，不解讀為轉弱
101,2464,盟立,TWSE,其他電子業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 175.84 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,69.9,62.9,37.1,85,100,可用,190.5,,73.71,31.44,4.36,55.35,126.78,0.66,501.32,7.24,0.25,4,0,14,34,0,202,0,-1876.472,-921.8849999999995,-5027.754999999999,-5300.001999999999,0,34,120,738,4,0,6477000,245.027,-156.93800000000005,14.52,-1900,1302,-736,,-1900.409,-1200.9120000000003,-4990.817,-6199.201000000001,51.68,47.41,38.17,65.89,true,false,0.83,8.24,借券賣出與借券賣出餘額壓力升高
