排名,代號,名稱,市場,產業,新部位建議,既有部位建議,既有部位說明,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,6669,緯穎,TWSE,電腦及週邊設備業,可開始承接,續抱／回測可加碼,"已有部位可續抱；回測20日EMA約 5,205.52 且ETF、外資與投信未轉弱時，才考慮下一批。",68.1,100,5460,5340,29.79,41.71,6.31,67.6,153.41,75.95,17.82,7.05,3.09,39,87,377,34,5,1504,150,81.377,1589.472,1963.082,3004.746,140.119,1207.48,1359.7199999999998,4769.209,4,1,6417756200,105.74199999999999,173.344,28.16,-54,159,325,,-57.627,276.25,430.01800000000003,-1959.214,56.57,71.69,70.25,74.58,false,false,4.89,-0.73,
2,2027,大成鋼,TWSE,鋼鐵工業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 41.06 且法人籌碼轉弱，先減碼三分之一。,77.2,100,42.8,42.7,43.73,30.28,18.07,41.61,366.04,1.17,12.34,1.25,3.55,9,174,-179,4284,9314,45432,4809,-3598.647,28306.809999999998,49352.751000000004,50036.141,-1864,-1404.7559999999994,852.9270000000006,35297.927,2,3,-59280703,972.828,2719.771,21.89,-806,28981,45727,,-871.75,28738.738,45780.05300000001,10338.972000000009,54.8,60.95,68.26,46.34,false,true,2.02,-2.17,投信20日買超後近5日轉賣
3,2637,慧洋-KY,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 77.84 且法人籌碼轉弱，先減碼三分之一。,76.5,100,83.2,82.2,57.92,32.32,27.6,40.19,109.87,1.6,11.52,1.21,4.27,8,-3,6,354,752,-496,356,504.781,2378.5150000000003,3413.1250000000005,16728.007,497,2208.866,2754.653,3525.6530000000002,5,0,180906125,102.17200000000001,-105.39799999999997,24.56,-963,-1558,-879,,24.057,67.47700000000009,763.8700000000001,13098.470000000001,57.63,64.42,56.61,80.02,false,false,2.79,-0.48,ETF加碼，但外資持股5/10日同步下降；ETF加碼金額或跨基金共識不足
4,2357,華碩,TWSE,電腦及週邊設備業,等待確認,暫停加碼／跌破減碼,已有部位暫停加碼；若收盤跌破60日EMA約 710.51，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,76.1,100,771,760,55.63,38.85,5.71,52.83,148.3,13.19,13.13,1.9,5.71,43,156,716,99,165,-290,3,1054.888,4920.297,10895.309000000001,22446.717,43.124,-212.39099999999996,-1611.3769999999997,-3034.843,2,3,-156107385,171.97899999999998,1320.76,36.46,734,4174,10174,,782.38,4960.709,11185.926000000001,25397.812,59.11,78,76.82,80.36,true,true,5.13,1.85,投信5/10日持續且具金額意義的賣超；ETF加碼金額或跨基金共識不足
5,2615,萬海,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 80.76 且法人籌碼轉弱，先減碼三分之一。,73.8,100,84.8,85.7,32.7,6.39,17.32,31.69,396.45,2.73,7.72,0.82,3.59,11,2,154,221,-338,498,0,1787.5,13721.257,37120.889,51174.727000000006,0,233.122,-336.05999999999995,496.36100000000005,4,0,19488999,-639.966,-269.066,44.34,1375,13134,37247,,1863.065,14128.101000000002,37726.015,50809.582,57.25,62.33,64.46,58.05,false,true,2.82,-0.35,
6,9945,潤泰新,TWSE,其他,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 25.90 且法人籌碼轉弱，先減碼三分之一。,72.8,100,26.3,26.15,29.57,40.43,17.71,41.18,181.95,0.99,7.3,0.65,4.23,5,0,35,30,30,333,0,1877.497,7443.691999999999,17284.346999999998,1352.5409999999974,0,30,30,333,2,1,780000,-101.432,-69.10399999999997,7.28,1878,6514,16602,,1897.222,7515.124,17323.451,1072.9809999999998,51.91,39.4,47.84,22.52,false,false,0.3,-0.38,20日趨勢尚未上彎；當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識不足；單季稅前獲利對營業外貢獻依賴偏高
7,3706,神達,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 87.65 且法人籌碼轉弱，先減碼三分之一。,72.7,100,89,87.95,80.93,44.8,3.72,50.24,171.44,1.1,16.83,1.76,4.54,15,1138,1186,3990,8708,41535,0,-1531.124,2520.089,8811.445000000002,7583.129000000001,1139,4000,8712,41827,5,0,352800000,-1319.1100000000001,-1138.903,7.81,-3316,-1592,2136,,-2285.792,-160.80099999999993,1238.3479999999995,-31375.768,49.13,56.9,60.23,50.23,false,true,-0.69,-2.41,當下除權息調整價未守20日EMA
8,2610,華航,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 20.83 且法人籌碼轉弱，先減碼三分之一。,72.6,100,22.2,22.17,28.82,16.09,11.29,70.94,74.06,0.85,8.5,1.29,3.72,16,661,5462,9351,24904,94467,0,54438.705,53207.38100000001,85634.986,69181.823,664,9383.433,-2534.192000000001,52020.808,5,0,204089668,339.2149999999999,-531.9649999999999,16.13,47575,38601,85662,,52784.372,43484.733,88701.14300000001,20538.99500000001,57.92,65.21,50.41,94.81,true,false,3.8,3.98,20日趨勢尚未上彎
9,3702,大聯大,TWSE,電子通路業,等待確認,暫停加碼／跌破減碼,已有部位暫停加碼；若收盤跌破60日EMA約 108.59，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,72.3,100,110.5,108.5,131.85,55.18,2.68,80.68,123.6,3.3,13.43,2.05,3.45,31,181,6424,10760,14655,65159,133,-827.726,2966.909,-4815.94,-12037.307,61,10433.895,12196.895,61379.756,5,0,1147728450,967.675,3212.009,34.78,-1063,-7948,-20501,,-1101.292,-8434.661,-20224.843999999997,-75656.845,48.01,45.68,53.06,30.91,false,true,-1.84,-6.36,外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
10,2812,台中銀,TWSE,金融保險業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 20.10 且法人籌碼轉弱，先減碼三分之一。,71.4,100,20.75,20.78,16.56,22.61,,90.8,,0.4,13.39,1.34,5.11,7,17,60,58,2909,2827,0,5150.817,26260.922,67918.154,103913.931,17,57.42399999999999,2897.906,2884.906,4,1,1191548,135.254,312.622,9.59,231,19737,59116,,5088.817,26068.244,64707.626,101063.40299999999,63.93,78.11,66.63,101.08,false,false,1.57,1.47,ETF加碼金額或跨基金共識不足
11,6206,飛捷,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 125.68 且法人籌碼轉弱，先減碼三分之一。,69.7,100,127.5,125.75,26.29,24.61,28.09,19.03,419.58,2.51,17.46,3.21,4.42,7,0,0,-12,494,478,0,24.274,1425.0539999999999,1115.9339999999997,737.7009999999998,0,-11.33,494.45799999999997,476.45799999999997,0,1,-1410585,-190.705,-195.792,15.65,85,1122,414,,9.821,1627.089,817.2679999999998,468.5519999999998,49.92,55.07,52.68,59.86,false,false,0.3,0.79,20日累積後5日轉為調節；當下除權息調整價未守20日EMA
12,2605,新興,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 31.68 且法人籌碼轉弱，先減碼三分之一。,68.5,85,31.4,31.67,51.62,32.98,35.32,22.98,186.53,0.66,14.88,1.03,3.22,1,0,4,4,185,185,0,1316.124,3212.06,8837.856,13247.776,1,16,193,192,4,0,497600,-723.7069999999999,-623.8269999999998,49.01,1527,3921,9270,,1527.173,3919.767,9268.683,13372.877,51.49,49.89,58.31,33.07,false,true,0.67,-0.16,ETF加碼金額或跨基金共識不足
13,2059,川湖,TWSE,電子零組件業,等待確認,續抱觀察,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 6,726.09 且法人籌碼轉弱，先減碼三分之一。",68.4,100,7545,7450,220.52,98.95,67.06,20.2,547.07,36.58,65.67,22.52,0.68,32,19,56,43,112,310,17,-29.104,198.304,280.499,104.055,75.01,201.095,639.48,928.714,4,1,1498157750,-38.802,-13.211,23.84,-114,30,-360,,-118.981,36.010999999999996,-345.77,-831.391,48.73,26.04,36.37,5.38,false,false,-3.31,-7.14,當下除權息調整價未守20日EMA
14,2412,中華電,TWSE,通信網路業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 138.96 且法人籌碼轉弱，先減碼三分之一。,67.5,100,141.5,141.5,11.4,7.83,21.85,24.9,164.38,1.3,28.03,2.76,3.69,35,388,1275,1507,4210,29574,809,10616.756,40037.434,89525.881,37954.003,63.7,637.412,1249.371,25108.760000000002,3,2,89875092,2910.456,4711.608,16.98,8994,45804,99561,,9689.548,36489.566000000006,83564.902,18911.854999999996,59.53,87.56,79.53,103.61,false,false,1.75,2.17,20日趨勢尚未上彎
15,3665,貿聯-KY,TWSE,其他電子業,等待確認,續抱觀察,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 2,063.76 且法人籌碼轉弱，先減碼三分之一。",67,100,2250,2212.5,63.79,33.97,14.9,45.52,223.16,11.66,44.7,9.26,0.69,37,345,583,1657,2345,2401,1259,395.674,2156.9,2483.546,3587.504,904.033,4095.856,6244.732,6758.322,5,0,9072321040,6.979999999999997,89.31200000000001,52.81,-437,-1184,-1417,,-558.839,-1945.936,-3850.498,-3245.075,59.81,78.86,72.77,91.04,false,false,9.39,6.38,外資持股趨勢資料不足或期間有非市場異動；借券賣出與借券賣出餘額壓力升高
16,3231,緯創,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 153.95 且法人籌碼轉弱，先減碼三分之一。,66.9,100,177,174.75,53.85,94.01,3.44,81.27,120.01,3.06,17.05,2.84,3.24,41,3544,7728,5188,-1837,30979,6243,6341.325,163455.51400000002,182972.316,151768.182,4658.554,18251.747,2716.3720000000003,33378.479,4,1,3102796990,4068.9080000000004,7571.4220000000005,31.19,-639,148587,190977,,1838.944,141134.859,172684.52199999997,116604.08099999998,64.27,78.68,72.24,91.56,false,false,10.27,7.93,外資持股趨勢資料不足或期間有非市場異動
17,2006,東和鋼鐵,TWSE,鋼鐵工業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 69.71 且法人籌碼轉弱，先減碼三分之一。,66.7,100,72.6,72.2,9.01,-1.3,10.22,37.35,152.88,1.66,10.94,1.63,5.93,11,159,943,939,2282,2547,7,625.549,4048.067,10661.058,11838.838000000002,160,945.595,2245.56,2507.56,3,1,68555638,-38.306,-35.929,25.27,544,3293,8617,,455.589,3140.778,8451.427,9377.557,62.41,79.33,73.99,90,false,false,2.36,2.11,累計營收負成長且當月改善不足
18,2845,遠東銀,TWSE,金融保險業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 12.93 且法人籌碼轉弱，先減碼三分之一。,66.5,100,13.35,13.33,20.15,17.21,,92.01,,0.25,15.11,0.91,4.74,7,1556,2065,2053,2592,14714,0,4898,9468.443,23431.091,47194.936,1556,2053,2579,14690,2,1,27304900,39.232,132.232,9.33,2951,5276,13450,,3319,7376.211,20719.859,32145.595,56.04,44.5,48.65,36.18,false,false,0.67,0,
19,2207,和泰車,TWSE,汽車工業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 485.12 且法人籌碼轉弱，先減碼三分之一。,66.4,100,513,514,48.36,13.06,,77.85,100.73,7.95,14.65,3.52,4,15,0,63,60,-208,-30,0,340.444,431.55600000000004,1133.048,1290.621,0,63.22699999999999,-206.92500000000004,-30.92500000000004,2,2,31613500,-16.743000000000002,-3.2150000000000034,22.25,379,295,1139,,341.444,385.07200000000006,1343.1879999999999,1287.0439999999999,70.87,70.87,64.72,83.19,true,false,4.91,4.27,
20,3005,神基,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 107.65 且法人籌碼轉弱，先減碼三分之一。,66.2,100,111,109.25,28.59,7.54,13.51,48.07,174.1,1.74,13.5,2.93,6.17,15,-11,-4,48,-789,-7870,5,237.336,1006.2130000000001,2472.035,14741.777,-59.349,-84.287,-1623.438,-9197.438,2,3,-9271570,-308.265,487.5690000000001,13.73,398,977,2095,,330.529,1398.7649999999999,3607.9039999999995,22282.205,52.54,29.37,39.58,8.96,false,false,0.31,-3.06,ETF 1/3日已轉為減碼；當下除權息調整價未守20日EMA
21,2376,技嘉,TWSE,電腦及週邊設備業,等待確認,暫停加碼／跌破減碼,已有部位暫停加碼；若收盤跌破60日EMA約 327.80，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,66,100,334.5,331,68.55,48.36,7.06,72.95,137.4,7.86,15.27,3.39,3.67,31,-170,683,2465,4040,11270,-612,-1010.838,-2258.735,-4032.0770000000007,-3031.7670000000007,-1761,789.122,1577.1140000000003,8352.396,4,1,258042894,371.924,1685.3870000000002,20.22,444,-3512,-6331,,1054.457,-3419.781,-7294.5779999999995,-13412.059,47.79,55.75,65.94,35.37,false,true,-1.45,-3.88,外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
22,2884,玉山金,TWSE,金融保險業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 34.30 且法人籌碼轉弱，先減碼三分之一。,66,100,36.5,36.67,25.3,24.84,,93.91,,0.62,16.48,2.06,3.86,28,2742,4277,7340,30398,70330,-95,7629.761,28353.148,156589.29299999998,253608.70599999998,730.788,1843.4040000000002,5095.867,32621.516,4,1,66823395,5942.812000000001,18380.2,31.74,4034,9623,126020,,2149.936,20566.932,133113.22600000002,191883.55400000003,63.09,69.62,68.94,70.96,true,false,3.01,1.25,主動ETF 5日轉為減碼
