排名,代號,名稱,市場,產業,新部位建議,既有部位建議,既有部位說明,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,3706,神達,TWSE,電腦及週邊設備業,可開始承接,續抱／回測可加碼,已有部位可續抱；回測20日EMA約 89.70 且ETF、外資與投信未轉弱時，才考慮下一批。,79.4,100,91.3,91.3,80.93,44.8,3.72,50.24,171.44,1.1,17.42,1.82,4.38,15,0,2804,5973,7526,47921,312,642.75,12298.279,10412.055,18210.725000000002,9,5980,7816,48208,5,0,545974000,-465.453,-527.7359999999998,8.11,1002,7254,5957,,943.064,6783.732,3123.791,-27466.463,55.66,68.05,57.82,88.5,false,false,1.78,3.4,
2,2027,大成鋼,TWSE,鋼鐵工業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 40.78 且法人籌碼轉弱，先減碼三分之一。,79.9,100,43.55,43.55,43.73,30.28,18.07,41.61,366.04,1.17,12.73,1.29,3.44,9,-620,3843,5798,10523,47516,4016,-474.766,33221.49,55402.043999999994,50379.65599999999,-767,3510.2440000000006,7009.513000000001,42452.309,3,2,152871126,1984.983,3593.845,21.74,531,27277,44575,,512.778,27726.263000000003,44798.68600000001,4028.6880000000037,61.37,77.02,72.36,86.33,false,false,4.83,7.13,ETF加碼金額或跨基金共識不足
3,2637,慧洋-KY,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 77.37 且法人籌碼轉弱，先減碼三分之一。,77.4,93,83.8,83.8,57.92,32.32,27.6,40.19,109.87,1.6,11.79,1.24,4.18,8,0,348,742,769,-437,0,937.841,2871.6949999999997,5843.214,15101.461999999998,302,1494.653,2569.6530000000002,2713.0389999999998,5,0,125251921,-6.6580000000000155,-52.162000000000006,24.82,515,717,2771,,514.946,1383.7000000000003,3325.723,12386.836,59.9,50.61,47.97,55.89,true,false,4.23,5.54,ETF加碼金額或跨基金共識不足
4,2615,萬海,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 80.42 且法人籌碼轉弱，先減碼三分之一。,76.9,100,87,87,32.7,6.39,17.32,31.69,396.45,2.73,8.03,0.85,3.45,11,81,148,427,-391,273,0,9425.017,31000.956,37870.35400000001,50682.626000000004,90.576,433.697,-398.246,262.303,5,0,37731639,425.07800000000003,184.93100000000004,44.38,9311,30364,39998,,8900.254,30142.181,38083.66900000001,50046.083000000006,64.45,75.98,66.73,94.47,false,false,6.25,9.43,
5,8112,至上,TWSE,電子通路業,等待確認,暫停加碼／跌破減碼,已有部位暫停加碼；若收盤跌破60日EMA約 87.91，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,74.2,93,88.3,88.3,231.17,153.98,3.1,81.61,145.57,3.91,10.64,2.52,4.3,7,0,1439,1203,-530,21472,0,7264.052,26758.282,23366.354000000003,-3726.5029999999965,0,-616.485,-2349.485,19652.948,0,4,-54435625,-106.90900000000002,-920.581,17.24,5392,25160,26950,,7405.633,27481.676,26636.420000000002,-21641.025999999998,50.23,54.74,41.78,80.67,false,false,0.69,7.81,投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎
6,2605,新興,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 31.71 且法人籌碼轉弱，先減碼三分之一。,74.1,85,32.3,32.3,51.62,32.98,35.32,22.98,186.53,0.66,15.45,1.07,3.1,1,0,0,13,181,181,0,963.524,2622.794,8788.199,8976.651000000002,6,23,185,184,3,0,742900,23.212000000000018,-96.41499999999999,48.68,1063,2578,8701,,1063.069,2576.582,8699.614,8864.873,57.7,71.42,68.55,77.17,true,false,3.76,4.19,ETF加碼金額或跨基金共識不足
7,6206,飛捷,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 125.76 且法人籌碼轉弱，先減碼三分之一。,73.8,100,134,134,26.29,24.61,28.09,19.03,419.58,2.51,18.79,3.45,4.1,7,0,-12,162,494,474,172,583.762,1655.6819999999998,398.7409999999998,772.1899999999997,0,162.458,494.45799999999997,474.2680000000001,1,1,21769372,-153.94,-208.50199999999998,15.67,529,1248,-362,,582.578,1647.164,112.78499999999985,502.8349999999998,57.56,63.86,47.35,96.89,true,false,4.93,12.61,20日趨勢尚未上彎；ETF加碼金額或跨基金共識不足
8,1590,亞德客-KY,TWSE,電機機械,等待確認,續抱觀察,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 1,334.30 且法人籌碼轉弱，先減碼三分之一。",73.2,100,1425,1425,44.88,30.08,33.2,17.79,280.31,13.35,31.2,5.6,2.04,16,0,189,432,546,680,34,60.173,219.94700000000003,775.4380000000001,1508.8020000000001,1,439,565.692,698.898,5,0,625575000,49.205,28.994999999999997,80.69,-71,-391,135,,51.789,-268.25800000000004,180.75099999999995,793.2879999999999,57.04,72.76,59.86,98.57,false,false,4.75,12.65,
9,3702,大聯大,TWSE,電子通路業,等待確認,暫停加碼／跌破減碼,已有部位暫停加碼；若收盤跌破60日EMA約 108.18，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,72.9,100,117.5,117.5,131.85,55.18,2.68,80.68,123.6,3.3,14.35,2.19,3.23,31,6210,10546,14830,15090,66640,-6532,306.318,4636.489,-3534.1540000000005,-10541.569000000001,6226,13348.949,13376.810000000001,62402.485,5,0,1568501508,1289.0949999999998,3393.7690000000002,34.91,-5361,-9562,-20612,,-5787.284,-10001.555,-20304.733000000004,-73882.97600000001,56.45,65.14,56.54,82.35,true,false,4.18,7.31,主動ETF 5日轉為減碼；外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識不足
10,2317,鴻海,TWSE,其他電子業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 246.64 且法人籌碼轉弱，先減碼三分之一。,71.2,100,252.5,252.5,52.11,34.99,3.57,61.98,145.13,3.56,17.93,1.99,2.84,41,451,2035,9649,11791,27567,835,-5973.223,68031.907,72696.95499999999,-40062.45800000001,75.698,3846.188,2521.718,11727.026999999998,5,0,971162470,5569.987,10466.355999999998,40.27,-8259,54134,61219,,-5514.932,58615.732,59708.88100000001,-60131.53199999999,54.24,73.65,61.9,97.14,false,false,2.47,7.91,外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎
