排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,持有判斷模式,今天動作,下一次確認,既有部位說明,主要原因,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,6770,力積電,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 70.75 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,83.1,79.4,67.9,85,100,可用,72.7,,76.19,47.08,58.03,34.6,495.94,4.08,24.23,2.66,,13,13,3803,4236,4180,4027,0,-23697.433,72017.66399999999,68656.937,411057.877,87.092,4352.101000000001,4295.101000000001,11626.206,4,1,316397743,10782.483999999999,7653.748,16.24,-26349,73267,189429,,-24016.466,56884.079,56709.087999999996,382029.41599999997,54.44,63.22,53.41,82.84,true,false,2.76,2.83,
2,3653,健策,TWSE,電子零組件業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,"已有部位可續抱；回測20日EMA約 5,482.51 且ETF、外資與投信未轉弱時，才考慮下一批。",未觸發明確減碼訊號,83.5,75.6,64.4,85,100,可用,5790,,90.9,42.93,35.34,28.69,256.61,25.33,130.67,36.03,0.38,39,1,29,14,105,63,7,62.539,267.67,683.1129999999999,678.733,37.984,52.235000000000014,264.15500000000003,-410.313,3,2,302440650,5.570999999999998,-63.119,26.51,43,260,1984,,25.502,209.86399999999998,481.077,943.526,59.36,47.88,38.79,66.07,true,false,5.61,-0.52,
3,2851,中再保,TWSE,金融保險業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 45.55 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,74.7,70.6,67.1,85,100,完整,48.15,,-31.48,75.57,,59.8,,7.91,4.56,1.47,4.57,4,0,0,208,1471,2302,208,2146.101,3213.4880000000003,8344.871000000001,10924.916000000001,0,208,1471,1945,1,0,10015200,-224.243,-422.434,10.94,2241,3318,13634,,2268.653,3230.731,7296.304999999999,9157.993,66.79,75.94,68.34,91.14,false,false,5.71,1.37,ETF加碼金額或跨基金共識尚未同時成立
4,6196,帆宣,TWSE,其他電子業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 516.19 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,75.7,70.1,43.8,85,100,完整,535,,83.89,51.72,8.65,72.75,122.81,13.26,24.23,6.6,1.21,12,0,0,4,43,-263,0,-221.161,153.935,1390.8690000000001,3074.919,0,1.55,40.55,-754.681,3,1,829250,38.06399999999999,59.204999999999984,19.61,-138,166,3174,,-139.288,114.32099999999998,1290.114,3755.2569999999996,57.38,68.54,65.25,75.1,true,false,3.64,2.88,ETF加碼金額或跨基金共識尚未同時成立
5,3014,聯陽,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 132.53 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,71.9,69.5,67.2,85,100,可用,139.5,,5.33,0.16,28.48,33.51,218.05,5.88,14.09,3.15,6.09,11,50,103,129,191,218,0,679.359,2017.5990000000002,2455.047,516.059,50.553,129.083,190.563,205.646,5,0,18007079,46.013999999999996,38.266,20.18,582,1654,1178,,596.01,1842.502,2225.2180000000003,284.8970000000004,67.8,76.01,68.04,91.95,false,false,5.26,6.9,ETF加碼金額或跨基金共識尚未同時成立
6,4967,十銓,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 265.49 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,73.9,84.5,72.5,85,100,完整,276.5,,275.06,87.02,35.94,50.67,191.64,53.44,4.11,2.11,3.12,3,0,0,0,0,235,0,141.923,645.1999999999998,1887.0169999999998,-140.762,0,-0.4,-0.4,111.6,0,1,-110600,-20.00699999999999,-142.846,12.44,174,893,884,,133.751,665.607,2031.263,122.23799999999989,54.04,41.03,37.53,48.03,true,false,1.12,1.1,
7,2408,南亞科,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 464.28 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,83.3,84.1,81.8,85,100,可用,516,,560.85,638.19,69.08,16.78,691.01,23.38,20.02,5.52,0.26,38,-8,3853,4952,4520,1214,2108,-4305.996,34223.479,34558.303,89854.991,-38.146,3791.428,-283.8950000000001,-1922.472000000001,3,2,1956376848,2073.116,839.364,16.71,-2435,29749,59290,,-4122.631,28358.934999999998,34002.833999999995,90194.245,54.17,53.92,40.88,80,true,false,2.91,9.09,20日趨勢尚未上彎；借券賣出與借券賣出餘額壓力升高
8,3006,晶豪科,TWSE,半導體業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 256.09，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,76.1,83.6,75.1,85,100,可用,285,,605.24,324.38,44.44,36.84,267.13,27.58,8.99,4.27,0.35,8,0,482,513,453,669,0,-3514.441,-723.127,-9196.109999999999,1163.320000000001,1,509,495,620.285,3,1,145065000,422.876,93.79999999999995,40.38,-2995,-190,-4087,,-3468.233,-1654.0030000000004,-9783.910000000002,205.75399999999854,53.83,38.17,39.59,35.31,false,false,1.92,5.36,外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識尚未同時成立；借券賣出與借券賣出餘額壓力升高
9,8299,群聯,TPEX,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 2,060.72 且法人籌碼轉弱，先減碼三分之一。",未觸發明確減碼訊號,75.3,82.3,72.9,85,100,可用,2150,,376.52,278.99,37.86,47.31,257.91,187.43,9.85,4.66,1.08,20,1,258,374,-413,-551,0,576.778,383.778,504.778,1549.778,1.618,1.618,-23.381999999999998,-227.382,1,0,3478700,20.003,-64.997,43.8,,,,,456.157,362.157,593.1569999999999,1816.157,57.71,60.85,43.95,94.66,true,false,5.06,11.11,外資持股尚未完成5／10日可比核對或期間有非市場異動；此項不給分，不解讀為轉弱；20日趨勢尚未上彎
10,2605,新興,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 34.32 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,69.6,80.1,82.2,85,100,完整,37.3,,58.75,38.72,33.49,26.88,212.23,3.67,7.61,1.13,2.68,1,0,0,0,0,0,0,3002.34,10796.952000000001,12153.196000000002,17621.335,0,-156,-172,-179,0,2,-5818800,3242.7390000000005,3580.0700000000006,49.97,2377,7719,11,,2376.791,7710.213,8747.126,12837.782,59.9,47.5,42.83,56.82,true,true,4.07,3.18,20日趨勢尚未上彎；單季稅前獲利對營業外貢獻依賴偏高
