排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,今天動作,下一次確認,既有部位說明,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2603,長榮,TWSE,航運業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 210.15 且ETF、外資與投信未轉弱時，才考慮下一批。,75.2,73.7,67.4,85,100,可用,230.5,231.5,43.07,4.21,14.77,39.75,138.81,11.24,8.68,0.85,7.31,31,-652,1277,1734,2272,2614,602,8069.637,25487.915,31344.137000000002,60117.80800000001,7.781,2713.878,3269.5650000000005,-596.2299999999997,5,0,594339282,340.362,-153.74899999999997,22.64,5783,18469,23294,,7906.374,22433.675,28228.321,59206.922000000006,74.25,87.54,82.63,97.36,false,false,9.68,7.71,
2,8271,宇瞻,TWSE,半導體業,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 210.19，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,71.4,81,69.6,85,100,完整,228.5,227.5,164.99,235.51,34.73,55.84,184.73,35.51,5.79,3.17,1.91,5,0,0,16,361,258,15,-1306.779,-3994.7740000000003,129.7339999999997,3323.182999999999,0,15.318,360.42,259.42,2,0,3569094,-122.914,-238.05400000000003,9.99,-1159,-3864,-56,,-1245.55,-3887.1779999999994,7.368000000000848,3218.7390000000005,55.78,46.97,59.06,22.79,false,false,2.88,-2.97,外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識不足
3,2605,新興,TWSE,航運業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 31.81 且法人籌碼轉弱，先減碼三分之一。,70.4,80.4,81.3,85,100,完整,32.9,32.8,36.27,35.12,33.49,26.88,212.23,3.67,6.6,0.98,3.09,1,0,0,0,0,19,0,2919.595,1538.9409999999996,6074.503,9655.133,0,0,4,50,0,0,0,176.54400000000004,75.32000000000008,49.97,2594,1278,5911,,2594.254,1362.3969999999997,5995.183,10720.647999999997,59.59,62.57,65.48,56.76,false,true,3.06,-0.6,單季稅前獲利對營業外貢獻依賴偏高
4,5289,宜鼎,TPEX,電腦及週邊設備業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 1,479.88 且法人籌碼轉弱，先減碼三分之一。",68.2,80,76.8,85,100,可用,1525,1530,636.53,548.79,56.13,48.99,233.33,166.45,8.19,6.1,1.15,11,-1,-2,3,110,98,2,-487.902,-487.902,-487.902,-487.902,-2.6,-2.6,-2.6,-2.6,0,1,-3835000,-30.261,-30.261,26.51,,,,,-455.041,-455.041,-455.041,-455.041,54.18,50.73,59.46,33.27,false,false,4.74,4.1,ETF 1/3日已轉為減碼；外資持股趨勢資料不足或期間有非市場異動；ETF加碼金額或跨基金共識不足
5,2330,台積電,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 2,339.22 且法人籌碼轉弱，先減碼三分之一。",76.7,75.7,68.5,85,100,可用,2415,2395,44.69,37.01,59.29,30.94,245.76,49.33,27.76,9.66,0.92,68,-355,-337,45,1062,44759,-896,-3777.766,8358.434,-9665.081000000002,-9249.127000000004,-380.548,1476.9679999999998,1072.2689999999998,14770.142000000002,4,1,3537338360,-310.654,-4664.451999999999,69.17,-1995,8885,-1774,,-3024.347,7192.119999999999,-6072.898000000001,-39268.248999999996,53.48,74.62,77.38,69.09,false,true,1.4,1.47,ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；ETF加碼金額或跨基金共識不足
6,2360,致茂,TWSE,其他電子業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 2,073.91 且法人籌碼轉弱，先減碼三分之一。",75.7,75.3,60.7,85,100,可用,2375,2350,175.26,101.53,39.54,47.08,167.28,21.27,58.67,29.53,0.85,47,-3,126,151,-516,1877,128,134.259,739.832,-586.236,-2026.724,10.881,451.223,-3605.185,2703.831,4,1,1037812900,-3.649000000000008,-95.35799999999999,58.55,203,363,3142,,156.093,292.2580000000001,3114.307,-4820.178000000001,64.67,83.92,74.49,102.77,false,false,13.04,17,高波動且5日漲幅過大
7,2855,統一證,TWSE,金融保險業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 45.38 且法人籌碼轉弱，先減碼三分之一。,68.7,74.4,69.4,85,90.8,可用,46.65,46.65,19.6,252.71,,84.35,116.12,1.43,10.6,1.82,4.45,11,602,1795,3737,5675,10627,0,-34.658,3245.748,2822.173,1576.8689999999997,602,3737.061,5686.061,10689.591999999999,5,0,177136691,0,0,7.3,-509,261,-1851,,-636.658,-491.31300000000033,-2863.888000000001,-9112.723,52.89,73.94,78.15,65.52,false,true,1.74,1.74,
8,8112,至上,TWSE,電子通路業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 88.24 且法人籌碼轉弱，先減碼三分之一。,73.2,74.2,54.2,85,100,完整,93.4,93.1,333.48,180.42,3.16,85.96,127.95,9.45,7.25,2.36,3.97,7,1138,968,963,327,1525,0,-4532.957,30943.886999999995,59072.00299999999,66314.31499999997,390,602.102,-129.52700000000007,-751.0120000000001,2,1,57681372,-561.4570000000001,-599.6460000000001,22.53,-5443,25571,53481,,-4579.585,30903.242,59801.176,67952.04900000001,56.01,71.4,77.64,58.92,false,true,3.62,1.08,ETF加碼金額或跨基金共識不足
9,3213,茂訊,TPEX,電腦及週邊設備業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 126.87 且法人籌碼轉弱，先減碼三分之一。,61.6,74,82.2,85,100,可用,135,134,70.37,20.36,25.64,30.04,300.49,5.62,14.18,2.04,5.15,1,0,0,0,-2,-4,0,87.242,87.242,87.242,87.242,0,0,0,0,0,0,0,-5.484,-5.484,16.62,,,,,92.726,92.726,92.726,92.726,56.11,55.22,64.13,37.39,false,false,2.44,-2.17,外資持股趨勢資料不足或期間有非市場異動
10,2542,興富發,TWSE,建材營造,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 43.43 且法人籌碼轉弱，先減碼三分之一。,76.1,73.8,53.2,85,100,可用,46.8,46.65,196.59,404.28,24.76,77.72,140.2,2.45,10.69,1.97,8.66,10,451,2177,3142,4578,31912,0,-1152.616,8238.573,7768.726000000001,12630.207000000002,451,3142.051,4578.0509999999995,32411.650999999998,5,0,145162756,285.416,1774.8090000000002,8.11,-2769,2476,-1392,,-1661.516,4811.106,1415.8659999999995,-26568.230000000003,71,91.03,85.28,102.52,false,false,4.72,5.52,
11,6446,藥華藥,TWSE,生技醫療業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 1,119.65 且法人籌碼轉弱，先減碼三分之一。",76.4,73.6,68.9,85,100,可用,1430,1350,92.59,77.46,43.77,16.54,527.8,11.35,73.46,15.22,0.17,18,0,12,57,110,273,43,465.718,2999.0099999999998,2546.816,960.6249999999998,12.343,316.392,396.80199999999996,534.579,4,1,474588000,-25.703999999999997,-79.10599999999998,25.37,450,2134,1736,,448.037,2708.322,2229.12,425.9919999999994,61.95,76.54,76.62,76.37,false,true,10.02,7.52,外資持股趨勢資料不足或期間有非市場異動
12,2382,廣達,TWSE,電腦及週邊設備業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 333.02 且法人籌碼轉弱，先減碼三分之一。,76.9,73.1,48.7,85,100,可用,333.5,334,131.32,92.67,3.1,87.6,112.75,12.93,14.27,5.18,4.76,48,-485,1103,1291,444,16039,183,6238.337,6060.359,-8484.095000000001,-22310.442000000003,147.606,2433.493,1236.7939999999999,10697.198999999999,5,0,796968958,-53.295999999999935,-1666.2,23.16,1024,-17690,214136,,6634.021,3680.1619999999994,-8054.689000000001,-33453.823000000004,54.52,82.47,74.12,99.17,false,false,3.7,6.38,外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎
13,6491,晶碩,TWSE,生技醫療業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 341.91 且法人籌碼轉弱，先減碼三分之一。,69.8,72.9,66.7,85,100,完整,364.5,363,17.42,23.1,28.18,31.22,147.7,13.13,15.39,2.45,2.71,2,0,-5,2,237,237,2,64.737,546.844,2131.6679999999997,2030.2349999999997,0,-68,107,104,0,2,-25092000,-10.045,37.864,21.97,80,576,1897,,79.038,624.889,1986.804,1997.516,55.23,54.96,69.29,26.29,false,true,1.15,-3.83,ETF加碼金額或跨基金共識不足
14,6139,亞翔,TWSE,其他電子業,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 789.84，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,71,72.2,53.6,85,100,完整,808,807,62.28,68.37,18.19,75.95,125.12,25.91,16.08,9.08,2.88,20,0,153,254,995,2220,250,-411.159,-1742.285,-1749.963,-7759.147999999999,0,444.179,909.539,2028.2659999999998,4,0,354454842,32.352000000000004,337.114,23.25,-389,-2264,-3247,,-370.744,-2218.8160000000003,-2996.616,-10061.913999999999,51.01,62.44,68.2,50.92,false,true,1.12,0,外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎
15,6691,洋基工程,TWSE,其他電子業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 697.17 且法人籌碼轉弱，先減碼三分之一。,63.2,72.1,53.4,85,100,完整,734,730,177.06,98.1,16.22,72.04,135.24,17.46,21.78,11.84,3.02,10,-2,-4,-11,81,325,-6,-101.363,-246.096,397.8179999999999,-1045.431,-2,-11.499,80.501,327.501,0,4,-8371272,-33.742,22.50400000000001,12.89,-96,-215,302,,-92.749,-200.85499999999996,294.81300000000005,-1367.352,56.63,74.1,73.78,74.75,false,false,3.15,0.27,20日累積後5日轉為調節；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼
16,3706,神達,TWSE,電腦及週邊設備業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 88.78 且法人籌碼轉弱，先減碼三分之一。,71,71.2,58.5,85,100,完整,92.6,92.1,49.73,45.52,3.96,56.75,189.14,2.58,16.55,1.61,4.31,15,1,-96,-103,409,7644,0,10066.516,19762.722999999998,42616.179,52734.13799999999,1,-103.497,415.503,7682.503,1,4,-9594172,472.04100000000005,779.941,10.4,9176,14908,34059,,9690.32,19394.179,41420.73499999999,45495.958999999995,55.77,72.52,73.31,70.95,false,true,1.94,-0.32,20日累積後5日轉為調節
17,5904,寶雅*,TPEX,居家生活,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 67.51 且法人籌碼轉弱，先減碼三分之一。,72.7,71,51.4,85,100,可用,76.4,77,19.22,14.47,16.38,78.94,111.99,17.45,23.24,1.16,3.22,9,91,1239,6822,9562,9429,6617,-5587.736,-5587.736,-5587.736,-5587.736,91,91,91,91,1,0,7189000,90.856,90.856,25.83,,,,,-5769.592,-5769.592,-5769.592,-5769.592,56.75,44.88,61.5,11.65,false,false,2.79,-3.54,外資持股趨勢資料不足或期間有非市場異動
18,5274,信驊,TPEX,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 15,141.82 且法人籌碼轉弱，先減碼三分之一。",73.8,70.8,53.9,85,100,可用,17400,16910,97.59,68.06,53.36,45.44,201.99,78.28,118,85.83,0.46,30,-1,56,72,145,357,75,55.436,55.436,55.436,55.436,32.926,32.926,32.926,32.926,1,0,582460940,-4.131,-4.131,52.43,,,,,26.641,26.641,26.641,26.641,62.25,73.16,79.3,60.87,false,true,8.81,5.2,外資持股趨勢資料不足或期間有非市場異動
19,8473,山林水,TWSE,綠能環保,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 44.00 且法人籌碼轉弱，先減碼三分之一。,61.9,70.7,67.9,85,85,完整,45.75,46.65,42.18,15.57,26.41,55.27,151.78,2.43,13.09,1.18,4.16,1,0,0,0,2,2,0,-173.203,26.899,-248.393,-162.05099999999993,0,0,0,0,0,0,0,-58.888,-75.698,4.42,-235,477,277,,-141.2,85.787,-172.695,-96.352,58.91,80.63,70.48,100.95,false,false,5.27,8.16,20日趨勢尚未上彎
