排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,今天動作,下一次確認,既有部位說明,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
278,2402,毅嘉,TWSE,電子零組件業,暫不承接,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 61.09，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,44,48.9,46.2,85,91,可用,54.9,54.9,21.7,16.07,2.87,55.67,145.67,0.07,27.69,2.34,3.7,2,0,0,0,0,61,0,-241.657,-11.11999999999999,-341.167,-3074.76,0,0,0,61,0,0,0,106.235,-280.293,4.9,-3,832,-104,,-233.327,-117.355,-60.87400000000003,-2258.621,41.98,51.23,38.01,77.67,false,false,-3.37,13.43,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
279,8261,富鼎,TWSE,半導體業,暫不承接,降低部位,停止加碼；反彈未站回恢復區時分批減碼,每個交易日收盤後，確認是否站回恢復區,已有部位先停止加碼。反彈若仍未站回 213.17，分批降低部位；只有站回且ETF／外資賣壓收斂後才重新評估。,37.4,48.5,68.5,85,100,完整,186.5,186.5,16.09,8.1,23.89,19.47,421.83,3.07,26.91,3.74,2.79,2,0,-275,-267,-213,-3,-275,-1207.306,-1764.779,907.7600000000001,4627.7880000000005,0,-267,-213,-3,2,2,-47926500,-75.9,-326.03499999999997,9.71,-1492,2174,4165,,-1197.433,-1421.879,1446.795,4998.646999999999,39.99,28.79,17.83,50.71,false,false,-12.51,18.04,中期趨勢仍向下；ETF短中期同步減碼；主動ETF 5日轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；高波動且5日漲幅過大
280,1102,亞泥,TWSE,水泥工業,暫不承接,降低部位,停止加碼；反彈未站回恢復區時分批減碼,每個交易日收盤後，確認是否站回恢復區,已有部位先停止加碼。反彈若仍未站回 34.21，分批降低部位；只有站回且ETF／外資賣壓收斂後才重新評估。,45,48.5,55.1,85,91,可用,32.95,32.95,-2.21,-7.24,7.99,39.06,129.35,0.56,10.94,0.65,7.06,17,34,-3648,-2873,-2209,2161,-3860,114.379,810.5059999999999,8028.507,-34805.911,99.736,-3773.588,-3641.179,-4855.6860000000015,3,2,-123018969,-361.832,593.324,12.58,1260,16377,39800,,215.822,4945.9259999999995,11076.362000000001,-25080.521,42.67,39.6,38.18,42.46,true,true,-1.2,-0.75,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；20日累積後5日轉為調節；主動ETF 5日轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
281,8150,南茂,TWSE,半導體業,暫不承接,降低部位,停止加碼；反彈未站回恢復區時分批減碼,每個交易日收盤後，確認是否站回恢復區,已有部位先停止加碼。反彈若仍未站回 91.71，分批降低部位；只有站回且ETF／外資賣壓收斂後才重新評估。,42.6,48.4,46,85,88,可用,86.9,86.9,37.23,27.07,7.49,45.11,243.73,0.72,73.31,2.46,1.42,6,0,200,-36,-36,-380,-36,-3045.413,-10360.662,-22546.059999999998,-53415.083,-165,-6227.847,-14786.847,-13569.847000000002,1,4,-538708765,-275.73799999999994,-2292.0989999999997,38.5,-4431,-3565,-46125,,-3364.093,-3857.0769999999998,-5467.114,-38488.183,46.27,53.06,32.71,93.76,false,false,-3.44,31.67,中期趨勢仍向下；ETF短中期同步減碼；投信5/10日持續且具金額意義的賣超；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；短線過熱或乖離過大；高波動且5日漲幅過大
282,1503,士電,TWSE,電機機械,暫不承接,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 210.50，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,49.8,47.7,50.5,85,91,可用,195.5,195.5,-10.58,10.27,16.05,35.72,150.79,2.79,29.43,2.71,2.53,8,-1,-2,-2,239,1202,0,329.746,513.384,-505.60499999999996,-2507.02,-1,5.853,252.853,1210.853,3,2,1155968,19.785,-18.94700000000001,30.19,1109,1083,122,,293.027,487.7460000000001,-739.5109999999999,-3134.48,41.44,48.57,41.52,62.67,false,false,-3.54,6.83,中期趨勢仍向下；20日累積後5日轉為調節；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
283,5285,界霖,TWSE,半導體業,暫不承接,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 81.22，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,43.1,47.5,46.9,85,91,可用,77.9,77.9,14.12,11.04,9.87,45.84,258.99,1,36.86,2.66,1.94,1,0,0,0,0,0,0,-22.127,-91.62899999999998,147.468,370.20899999999995,0,-120,-120,-120,0,1,-9288000,-28.036,-61.977,8.27,-89,468,594,,-22.026,56.407000000000025,329.44500000000005,534.402,45.67,66.35,43.49,112.06,false,false,-2.08,20.22,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；短線過熱或乖離過大；高波動且5日漲幅過大
284,6719,力智,TWSE,半導體業,暫不承接,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 230.41，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,47.4,47.3,65.4,85,91,可用,214.5,214.5,-3.56,-4.78,18.44,15.94,1465.57,2.1,30.08,1.59,2.13,2,0,0,10,11,11,0,-74.174,-90.34099999999998,-511.10299999999995,-758.2049999999999,0,11,14,14,2,0,2376000,59.043,-163.952,6.92,0,257,-71,,-97.491,-160.38399999999996,-361.15099999999995,-455.24900000000014,43.88,45.81,33.63,70.18,false,false,-4.39,14.1,累計營收負成長且當月改善不足；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
285,1409,新纖,TWSE,紡織纖維,暫不承接,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 23.20，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,54.7,47.3,30.8,85,88,可用,22.6,22.6,13.44,9.32,,77.76,102.04,0.39,16.74,0.87,3.98,2,0,221,221,213,510,226,123.687,-5474.503,-2509.736,-54886.249,0,251,268,548,4,0,5672600,78.92099999999999,-477.001,11.34,-12,2420,-1618,,-17.692,-5804.424,-2300.7349999999997,-54028.693,44.48,57.19,38.65,94.27,false,false,-2.96,11.88,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
286,3583,辛耘,TWSE,半導體業,暫不承接,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 756.78，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,57.6,47,31.3,85,91,可用,737,737,-2.67,6.79,12.95,70.99,109.29,4.14,47.66,7.4,0.82,8,39,41,123,-10,-415,123,-49.876,109.67999999999999,392.5,696.287,-76,22,-121,-642,2,2,15466000,82.259,0.9199999999999946,21.44,29,541,261,,15.725,5.421000000000021,512.5800000000002,1425.9450000000002,49.26,63.59,44.91,100.96,false,false,1.34,24.07,中期趨勢仍向下；20日趨勢尚未上彎；短線過熱或乖離過大；高波動且5日漲幅過大
287,9938,百和,TWSE,其他,暫不承接,降低部位,停止加碼；反彈未站回恢復區時分批減碼,每個交易日收盤後，確認是否站回恢復區,已有部位先停止加碼。反彈若仍未站回 45.43，分批降低部位；只有站回且ETF／外資賣壓收斂後才重新評估。,34,46.8,58.5,85,91,可用,42.25,42.25,21.21,0.03,12.89,53.72,118.79,0.87,12.35,0.98,7.06,4,-281,-771,-771,-806,-832,-748,-520.376,-3527.704,-5866.257999999999,-5480.731999999999,-280.967,-770.3969999999999,-805.5169999999999,-529.758,1,2,-32741872,-666.298,-97.52000000000007,7.69,-99,-2209,-4779,,-226,-2091.009,-4963.221,-5390.678,31.32,12.43,24.48,-11.68,false,false,-6.42,-6.73,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
288,4755,三福化,TWSE,化學工業,暫不承接,降低部位,停止加碼；反彈未站回恢復區時分批減碼,每個交易日收盤後，確認是否站回恢復區,已有部位先停止加碼。反彈若仍未站回 130.35，分批降低部位；只有站回且ETF／外資賣壓收斂後才重新評估。,45.6,46.8,47.5,85,90.6,可用,116,116,15.63,-1.64,9.51,33.58,142.21,1.01,32.13,2.1,3.19,2,0,3,3,3,3,0,93,-232.774,-1003.8629999999999,-1256.63,0,0,0,0,0,0,0,-24.000999999999998,-24.712999999999997,23.33,107,-301,-587,,91,-208.773,-979.15,-1225.8600000000004,43.14,62.72,42.06,104.04,false,false,-2.69,12.08,中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
289,6789,采鈺,TWSE,半導體業,暫不承接,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 479.01，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,54.8,46.7,51.5,85,91,可用,456.5,456.5,15.55,9.04,22.83,15.27,482.54,1.5,97.53,7.63,0.66,8,0,5,8,16,-123,0,96.993,336.29,1797.8029999999999,3058.316,0,13,25,-116,4,0,5895500,51.906,-117.39699999999999,4.69,79,1282,2639,,75.219,271.384,1890.2,3356.683,47.22,56.45,41.02,87.3,false,false,-0.82,18.57,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；高波動且5日漲幅過大；估值高且成長不足以支撐
290,1216,統一,TWSE,食品工業,暫不承接,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 75.38，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,51.3,46.6,35.9,85,91,可用,73,73,4.6,3.29,5.86,70.13,88.34,1.15,19.78,2.87,4.1,31,-161,-2708,860,15253,52968,-2652,2145.089,59799.886,69302.48700000001,91435.173,-64,-3335.6530000000002,8037.616,32777.08500000001,1,4,-244169800,-128.12800000000004,5331.377,31.95,2501,59369,35156,,2717.656,63263.667,55933.49399999999,42282.58499999999,35.54,14.76,21.32,1.65,false,false,-3.7,-3.44,中期趨勢仍向下；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；投信20日買超後近5日轉賣；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
291,2401,凌陽,TWSE,半導體業,暫不承接,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 28.13，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,51.3,46.6,44.9,85,91,可用,27.4,27.4,35.25,19.54,7.83,25.17,398.66,-0.02,,1.99,,2,0,0,60,76,101,0,718.177,1609.7240000000002,-4145.723,-3224.553,0,60,76,101,1,0,1665000,173.51399999999998,-476.471,18.56,545,2005,1862,,510.187,1376.21,-3745.252,-2054.8279999999995,47.35,59.76,42.78,93.73,false,false,-1.12,16.84,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
292,3481,群創,TWSE,光電業,暫不承接,降低部位,停止加碼；反彈未站回恢復區時分批減碼,每個交易日收盤後，確認是否站回恢復區,已有部位先停止加碼。反彈若仍未站回 50.54，分批降低部位；只有站回且ETF／外資賣壓收斂後才重新評估。,45.5,46.6,44.9,85,90.2,可用,50,50,17.25,16.11,2.25,40.84,145.85,0.2,434.55,1.68,2.09,14,-104,-1185,-857,163,1627,-1078,-42405.203,-83141.63100000001,-8820.835000000001,-61105.27900000001,-104.392,-1138.4360000000001,-1182.9630000000002,-77174.101,2,3,-54417241,-5140.809,-8386.925000000001,21.37,-38665,-15754,14711,,-38794.875,-76862.386,749.0530000000008,33728.09200000001,46.86,62.28,41.24,104.37,false,false,-1.07,20.77,中期趨勢仍向下；20日累積後5日轉為調節；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；短線過熱或乖離過大；高波動且5日漲幅過大；估值高且成長不足以支撐
293,4968,立積,TWSE,半導體業,暫不承接,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 106.57，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,49.9,46.1,53.5,85,100,完整,97.5,97.5,-1.09,5.31,3.27,25.03,385.26,1,26.7,3.38,1.62,2,0,0,20,23,24,0,200.335,890.814,360.1669999999999,-1117.338,0,20,23,24,1,0,1976000,-2.357,-52.913,4.58,213,866,763,,196.14,873.1709999999999,390.0799999999999,-1008.024,44,70.5,56.31,98.9,false,false,-2.21,10.05,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
