排名,代號,名稱,市場,產業,新部位建議,既有部位建議,既有部位說明,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2027,大成鋼,TWSE,鋼鐵工業,可開始承接,續抱／回測可加碼,已有部位可續抱；回測20日EMA約 41.58 且ETF、外資與投信未轉弱時，才考慮下一批。,81.2,100,43.95,44.03,43.73,30.28,18.07,41.61,366.04,1.17,12.98,1.32,3.38,9,-39,5314,7666,11269,48149,6019,569.68,39447.42399999999,52381.25999999999,50351.75299999999,18.925,5463.917,7759.317000000001,43219.309,4,1,242597915,2824.532,3619.098,21.72,607,30682,42020,8000,454.016,31158.975,41002.845,3115.701999999998,63.87,78.84,72.97,90.6,false,false,5.7,8.12,
2,3706,神達,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 87.54 且法人籌碼轉弱，先減碼三分之一。,79.3,100,92,92.25,80.93,44.8,3.72,50.24,171.44,1.1,17.56,1.84,4.35,15,1404,4196,7560,7526,47920,463,2217.798,10340.433,6501.326000000001,13897.999000000002,1404,7558,7805,48198,5,0,695336000,-1006.587,-453.4699999999999,8.03,212,4956,-8755,-49763,988.326,3789.0199999999995,-850.2040000000002,-32008.237,57.77,71.25,58.89,95.96,false,false,2.49,4.19,
3,2637,慧洋-KY,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 77.33 且法人籌碼轉弱，先減碼三分之一。,77.4,100,82.6,83.5,57.92,32.32,27.6,40.19,109.87,1.6,11.43,1.2,4.31,8,20,728,741,766,-434,739,-135.817,1961.948,9437.583999999999,14716.626999999999,322,1261.653,3063.385,2414.0389999999998,5,0,102572389,-203.67700000000002,-48.783000000000044,24.75,-473,262,13658,24824,-473.2,903.9719999999999,6422.982,12387.89,57.64,46.16,46.48,45.52,false,false,2.88,4.03,ETF加碼金額或跨基金共識不足
4,3702,大聯大,TWSE,電子通路業,等待確認,暫停加碼／跌破減碼,已有部位暫停加碼；若收盤跌破60日EMA約 108.25，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,75.4,100,119.5,119.5,131.85,55.18,2.68,80.68,123.6,3.3,14.84,2.27,3.13,30,2696,6216,8775,8976,60776,674,3970.111,4347.043999999999,-3309.5050000000006,-12781.637,2736,7234.9490000000005,7144.81,56513.485,5,0,879046304,2603.755,3324.0510000000004,35.23,998,-5354,-23408,-58993,943.509,-5491.66,-13778.365999999998,-69134.19300000001,59.08,68.85,57.78,90.99,true,false,5.78,9.13,外資持股5/10日下降，且外資5日賣超
5,6206,飛捷,TWSE,電腦及週邊設備業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 125.76 且法人籌碼轉弱，先減碼三分之一。,74.7,100,134,132.25,26.29,24.61,28.09,19.03,419.58,2.51,18.23,3.35,4.23,7,0,-12,345,492,472,351,571.865,783.6999999999998,-454.2980000000002,165.7039999999999,0,345.45799999999997,491.89,472.2680000000001,2,1,44909540,-170.614,-209.09499999999997,15.3,168,264,-1070,-190,574.328,608.856,-737.0930000000001,-86.67100000000008,57.56,63.86,47.35,96.89,true,false,4.93,12.61,20日趨勢尚未上彎；ETF加碼金額或跨基金共識不足
6,1590,亞德客-KY,TWSE,電機機械,等待確認,續抱觀察,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 1,334.14 且法人籌碼轉弱，先減碼三分之一。",73.5,100,1420,1425,44.88,30.08,33.2,17.79,280.31,13.35,30.76,5.53,2.07,16,99,275,525,545,703,47,-29.354,249.90600000000003,704.198,1470.3550000000005,99,531,564.196,720.898,5,0,746055000,20.4,3.698999999999998,80.73,-114,-311,683,1299,-134.294,-301.494,136.303,762.8240000000001,56.62,71.99,59.6,96.76,false,false,4.42,12.25,
7,2605,新興,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 31.73 且法人籌碼轉弱，先減碼三分之一。,73.4,85,32.8,32.83,51.62,32.98,35.32,22.98,186.53,0.66,15.55,1.08,3.08,1,0,0,181,181,181,0,-1.344,2352.79,7335.247,5981.128000000003,5,185,178,178,3,0,6012500,-14.662000000000006,52.702,48.5,92,2183,10350,815,90.756,2182.4519999999998,7104.545000000001,6113.804,60.64,76.19,70.14,88.28,true,false,5.2,5.81,
8,2376,技嘉,TWSE,電腦及週邊設備業,等待確認,暫停加碼／跌破減碼,已有部位暫停加碼；若收盤跌破60日EMA約 326.96，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,72.9,100,355,353.75,68.55,48.36,7.06,72.95,137.4,7.86,16.56,3.68,3.39,32,895,2636,3970,3573,14051,467,151.821,-778.268,-993.6130000000003,-273.3780000000004,911.53,3342.4670000000006,2576.849000000001,12072.046000000002,5,0,1184904552,1108.326,1783.04,20.45,-1296,-5090,-7860,-20217,-957.224,-5229.061,-5353.502,-14438.359999999997,59.53,84.24,71.87,108.97,false,false,4.26,9.23,外資持股5/10日下降，且外資5日賣超
9,8112,至上,TWSE,電子通路業,等待確認,暫停加碼／跌破減碼,已有部位暫停加碼；若收盤跌破60日EMA約 87.96，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,72.3,100,90,90.65,231.17,153.98,3.1,81.61,145.57,3.91,10.6,2.51,4.32,7,-171,1268,507,-557,21427,-477,-1301.946,17746.076,13027.631,-13051.821,-171,-1312.4850000000001,-2376.485,19608.034,0,5,-115498680,-363.92600000000004,-676.7000000000002,16.21,-1281,19114,17008,-19246,-1114.286,19422.487,16080.816000000004,-30850.658999999996,53.07,59.35,43.31,91.42,false,false,2.44,9.89,主動ETF 5日轉為減碼；投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎
10,2812,台中銀,TWSE,金融保險業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 20.03 且法人籌碼轉弱，先減碼三分之一。,71.4,100,20.35,20.42,16.56,22.61,,90.8,,0.4,13.19,1.32,5.18,7,19,-2,2872,2806,2680,0,-6716.987,31800.124999999996,41119.977,83429.67,18.951,2868.417,2786.274,2730.746,2,2,58659128,83.80099999999999,318.16999999999996,9.17,-6979,28335,52639,94110,-6930.938,28847.907,38015.533,80607.736,53.93,44.93,47.74,39.32,false,false,0.21,-0.97,ETF加碼金額或跨基金共識不足
