排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,持有判斷模式,今天動作,下一次確認,既有部位說明,主要原因,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2395,研華,TWSE,電腦及週邊設備業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 669.03 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,79.6,74.2,59.6,85,100,可用,680,680,87.58,40.26,19.04,40.5,171.12,9.05,43.07,10.68,1.64,34,-143,8,246,778,2584,293,-1646.719,1246.8999999999999,1357.4650000000001,2797.9499999999994,-121,744.746,1338.563,3578.617,4,1,506427280,108.447,53.912000000000006,35.44,-1411,661,184,,-1495.197,393.7070000000002,-35.00999999999982,-524.5039999999999,55.05,54,58.15,45.69,true,true,1.64,0.44,
2,6442,光聖,TWSE,通信網路業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,"已有部位可續抱；回測20日EMA約 1,607.84 且ETF、外資與投信未轉弱時，才考慮下一批。",未觸發明確減碼訊號,76.9,71.1,63.8,85,100,完整,1700,1710,49.25,30.48,29.66,31.99,217.81,19.07,50.3,10.21,0.66,9,1,191,196,51,99,191,-211.406,742.587,688.762,428.68799999999993,4.5,541.5,151.5,1000.546,4,1,920550000,129.06799999999998,164.64999999999998,32.25,-194,12,261,,-207.18,72.01899999999995,372.61199999999997,-770.4190000000002,58.57,61.49,68.1,48.26,false,true,5.73,4.29,
3,4967,十銓,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 260.19 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,79.8,85,71.6,85,100,完整,277.5,283.5,98.75,71.29,35.94,50.67,191.64,53.44,4.12,2.12,3.11,3,0,142,244,235,225,249,562.203,633.2180000000001,177.76099999999997,-1255.2529999999997,0,244,234.6,224.6,3,0,67710000,-106.752,-293.393,9.55,673,751,630,,558.381,495.9699999999999,236.5540000000001,-1081.416,58.42,50.12,50.87,48.64,false,false,2.69,0.54,ETF加碼金額或跨基金共識不足
4,3260,威剛,TPEX,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 404.33 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,75.7,83.9,70.8,85,100,可用,412,418,331.29,206.73,38.98,62.91,181.44,62.46,5.33,3.39,4.13,15,0,146,234,655,519,165,2866.107,2866.107,2866.107,2866.107,0,0,0,0,0,0,0,323.878,323.878,23.32,,,,,2542.229,2542.229,2542.229,2542.229,52.35,38.32,34.65,45.65,true,false,1.03,-0.36,外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎
5,2451,創見,TWSE,半導體業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 284.31，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,65.7,82.4,88.8,85,100,可用,289.5,293.5,307.66,402.68,73.7,28.68,309.01,46.63,5.04,3.25,4.07,17,0,0,20,-24,-521,0,665.856,-1662.0370000000003,-6906.781000000001,3907.4129999999986,31,49.8,5.399999999999994,-493.942,3,2,14417100,-33.865,-151.284,11.41,788,-1832,-7793,,621.917,-1677.972,-6760.897000000001,4523.731000000001,50.27,26,29.17,19.67,false,false,-0.46,-1.7,外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎
6,2637,慧洋-KY,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 86.36 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,74.7,82.1,69.6,85,100,可用,99.2,99.2,56.22,35.67,33.36,41.18,92.13,4.1,11.03,1.49,3.53,8,439,443,552,543,738,0,-221.808,3258.326,1478.8740000000003,9067.741,437,757.6279999999999,-5536.641,-10704.508,5,0,75156698,89.044,56.130999999999986,27.91,-646,2384,6035,,-646.396,2411.6540000000005,6959.384,19698.455,63.75,54.29,47.81,67.24,true,false,5.96,5.42,ETF加碼金額或跨基金共識不足
7,3006,晶豪科,TWSE,半導體業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 243.13，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,74.1,81.6,74.7,85,100,可用,297,301.5,491.06,281.48,44.44,36.84,267.13,27.58,9.37,4.45,0.34,6,0,138,235,216,192,235,9683.221,-3995.474000000001,-1472.0610000000008,3531.9129999999986,-1,234,215,191.285,3,1,69498000,108.37899999999996,619.414,43.14,9347,-4057,-1857,,9409.456,-4337.852999999999,-2306.4749999999985,3642.062000000002,63.39,60.39,63.04,55.07,false,false,10.45,1.54,外資持股5/10日下降，且外資5日賣超；短線過熱或乖離過大；ETF加碼金額或跨基金共識不足；借券賣出與借券賣出餘額壓力升高
8,2605,新興,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 33.40 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,71.1,80,80.1,85,100,完整,36.35,36.75,36.27,35.12,33.49,26.88,212.23,3.67,7.42,1.1,2.75,1,0,0,0,0,-2,0,2276.645,2819.8439999999996,-5417.443000000001,-8300.369000000004,-3,-7,-6,-15,1,2,-254450,1056.8010000000002,-135.84099999999998,48.47,1961,-173,-6698,,1961.398,1770.043,-5275.602,-7191.585999999999,62.09,40.83,33.96,54.57,true,false,4.36,2.83,單季稅前獲利對營業外貢獻依賴偏高
9,2027,大成鋼,TWSE,鋼鐵工業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 45.62，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,70.9,77.7,71.3,85,100,完整,49.1,49.25,46.12,32.56,19.7,43.68,295.53,3.1,9.68,1.44,3.05,9,3081,7607,9790,13464,5066,-2084,-9408.85,-4304.081000000002,-7840.430000000001,35836.556,3092,10304,14365.83,-7890.818,5,0,505926400,951.0219999999999,-29.989000000000058,24.96,-13574,-16782,-23080,,-13276.789,-15559.102999999997,-22176.270999999997,47682.092000000004,54.9,47.57,45.71,51.3,true,false,0.64,0.61,主動ETF 5日轉為減碼；外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識不足
10,6177,達麗,TWSE,建材營造,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 47.25 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,70.2,76.7,65.2,85,100,完整,47.4,47.35,470.04,637.82,35.66,73.72,132.76,5.03,5.23,1.87,6.33,3,31,570,899,899,892,839,-1714.517,841.35,2238.463,1889.2800000000004,31.139,849.096,855.096,848.133,4,1,40247150,-148.649,45.806,7.07,-1128,835,2101,,-1746.387,140.903,1337.5610000000001,535.3380000000003,47.82,42.28,48.01,30.8,true,true,-0.95,0.64,20日趨勢尚未上彎；當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識不足
