排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,距20EMA%,5日報酬%,淘汰原因
256,3563,牧德,TWSE,光電業,等待轉強,51.1,100,701,654,15.62,8.47,38.68,29.36,306.97,4.61,44.76,8.6,2,4,-2,-2,-3,206,213,0,32,167,-204,-302,-2,-2,294,241,0,1,-1402000,-20,4,7.21,100,279,420,55,39,188,-502,-615,44.16,-3.41,-1.68,中期趨勢仍向下；20日累積後5日轉為調節；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
257,8081,致新,TWSE,半導體業,等待轉強,50.9,100,254,245.5,7.19,-1.3,17.55,29.64,259.16,4.62,14.46,3,6.3,11,64,231,367,722,1265,-45,838,127,1356,157,64,367,176,1310,4,1,93218000,-85,-575,18.33,751,-250,1843,-794,782,-155,1754,-753,34.53,-12.21,-14.04,累計營收負成長且當月改善不足；中期趨勢仍向下；主動ETF 5日轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
258,2385,群光,TWSE,電子零組件業,等待轉強,50.7,100,105.5,104,-5.48,-5.27,7.55,54.77,137,2,11.91,1.86,6.82,27,-902,-541,-523,-5174,-14797,31,500,3610,5119,-6131,-931,-948,-6021,-16601,2,3,-100014000,199,548,20.5,1928,3224,9337,10607,1564,4359,10593,10044,35.51,-4.16,-1.86,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；投信5/10日持續且具金額意義的賣超；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
259,2472,立隆電,TWSE,電子零組件業,等待轉強,50.6,100,320,289.75,36.2,18.17,18.68,21.92,353.68,1.6,36.99,5.48,1.09,9,-113,-108,-105,-246,-139,-97,-95,3352,2924,9450,-164,702,1881,8520,2,3,224640000,-82,-342,8.03,-79,1809,1735,1872,95,2734,1388,1098,42.97,-12.23,-8.83,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
260,6415,矽力*-KY,TWSE,半導體業,等待轉強,50.5,100,473,451.5,37.77,25.54,8.03,16.19,578.28,1.98,63.58,4.82,0.54,15,-12,22,28,36,767,13,-347,-736,-598,-1762,-1045,-2148,-2287,-515,2,3,-1016004000,-40,-73,80.07,735,1286,1162,-1183,710,1452,1763,-1071,37.71,-14.19,-14.16,中期趨勢仍向下；投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
261,3443,創意,TWSE,半導體業,等待轉強,49.6,100,4185,3900,103.72,93.05,15.93,58.49,158.41,12.28,125.9,38.45,0.48,40,7,-37,-70,184,2341,-34,-1,-381,-670,-970,3,-383,-426,2309,2,3,-1602855000,-53,-107,26.21,6,101,-148,-2945,-43,54,-136,-3000,42.55,-7.03,-4.89,中期趨勢仍向下；20日累積後5日轉為調節；投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
262,2388,威盛,TWSE,半導體業,等待轉強,49.5,100,72.6,67.75,34.01,34.24,-24.02,38.87,195.46,0.08,403.33,1.85,0.07,4,-21,-21,-28,-1,120,0,-1820,-2539,-3975,12489,-21,-28,-1,120,0,2,-2032800,755,702,15.06,-971,-810,-2022,11666,-1848,-3266,-4674,11542,49.69,-0.38,-2.29,ETF短中期同步減碼；20日累積後5日轉為調節；ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
263,2548,華固,TWSE,建材營造,等待轉強,49.3,100,103,101.75,-88.82,181.43,20.69,61.16,207.99,2.28,8.03,1.6,8.25,2,1,-2,-2,-37,-1514,0,677,-891,-1828,-4854,0,-4,-38,-1709,0,1,-412000,-238,-355,16.31,701,-503,-1645,-1063,693,-650,-1436,-1333,46.56,0.15,2.49,中期趨勢仍向下；ETF短中期同步減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
264,2727,王品,TWSE,觀光餐旅,等待轉強,49.2,100,215,218.75,16.59,12.08,8.25,76.35,99.96,5.04,12.92,4.65,7.5,2,1,0,0,0,-137,0,-392,-1771,-2016,-1502,1,0,-29,-165,1,1,0,-145,-129,27.64,-268,-1596,-1780,-1282,-271,-1624,-1856,-1357,19.58,-10.13,-10.97,中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
265,6805,富世達,TWSE,電子零組件業,等待轉強,49.2,100,1415,1405,32.66,62.64,26.78,54.2,183.93,13.38,36.12,13.07,0.88,13,-3,71,-50,-137,-161,-50,-33,8,-252,-1329,-31,-720,-1855,-2060,2,3,-1018800000,23,-6,19.04,-74,701,1570,729,-3,704,1608,728,37.18,-9.7,1.43,中期趨勢仍向下；ETF短中期同步減碼；主動ETF 5日轉為減碼；投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
266,2489,瑞軒,TWSE,光電業,等待轉強,48.8,93.8,35.2,32.73,23.43,12.6,1.07,40.71,197.42,0.15,32.29,1.66,3.41,3,0,8,8,8,45,0,480,2353,-1439,-9037,-1,5,7,43,1,3,176000,-34,-466,5.13,389,3574,6583,-7185,440,2382,-980,-7280,31.87,-13.32,-8.93,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
267,6472,保瑞,TWSE,生技醫療業,等待轉強,48.4,100,415.5,397.25,39.22,-1.14,10.18,63.32,138.18,0.21,32.92,3.63,2.41,2,0,-2,-2,-2,-20,0,-628,-91,-505,587,0,-2,-2,-20,0,1,-831000,-36,108,10.79,-532,108,-501,-176,-639,-55,-613,534,50.1,-0.78,-1.54,ETF短中期同步減碼；當下除權息調整價未守20日EMA
