排名,代號,名稱,市場,產業,行動,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,距20EMA%,5日報酬%,淘汰原因
289,1319,東陽,TWSE,汽車工業,等待轉強,46,100,75.6,74.6,3.04,-14.34,15.76,22.37,232.66,1.62,13.57,1.53,6.61,9,-340,-344,-347,-359,-28140,-341,-460,-1127,-2245,-14260,-342,-348,-356,-28642,1,3,-26308800,678,718,9.04,-118,-483,-2942,14743,-194,-1456,-2606,15455,37.53,-5.17,-0.79,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；投信5/10日持續且具金額意義的賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
290,2201,裕隆,TWSE,汽車工業,等待轉強,45.9,100,28.9,28.88,-8.06,-3.62,9.01,74.03,100.51,0.35,34,0.48,1.94,4,0,-11,-11,-13,-91,0,1589,1912,9060,5334,-3,-21,-20,-102,0,4,-606900,321,316,4.83,1398,828,6060,3314,1363,1611,8764,5077,58.39,2.8,1.4,累計營收負成長且當月改善不足；ETF短中期同步減碼
291,3090,日電貿,TWSE,電子零組件業,等待轉強,45.4,100,209,194.25,32.37,22.69,13.32,29.72,147.32,1.7,43.54,3.41,2.3,6,0,9,-181,-436,824,-181,77,-2632,-2235,3462,-2395,-9670,-10861,-3692,1,4,-2021030000,-452,-301,11.96,2314,7212,8524,6655,2525,7491,8929,7540,35.26,-23.19,-31.14,中期趨勢仍向下；ETF短中期同步減碼；20日累積後5日轉為調節；主動ETF 5日轉為減碼；投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
292,3042,晶技,TWSE,電子零組件業,等待轉強,45.3,100,186.5,170,19.98,7.73,15.08,32.91,231.24,1.32,35.59,4.19,2.57,9,-105,-108,-109,204,-5771,0,-5326,-4071,-13455,-18985,-105,-109,2975,-7024,0,3,-20328500,-2270,-3061,16.94,-3884,-1949,-10044,-3085,-5091,-1692,-13369,-7523,44.03,-7.49,-9.47,中期趨勢仍向下；ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
293,6592,和潤企業,TWSE,其他,等待轉強,45.3,100,61.9,61.45,-6.2,-4.3,19.17,87.19,105.79,0.76,12.58,1.2,5.33,3,0,-7,-7,-66,-318,0,499,729,446,-1631,0,-6,-65,-337,0,1,-371400,25,18,26.45,472,1999,2318,68,493,711,494,-1299,49.93,0.54,2.65,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
294,3059,華晶科,TWSE,光電業,等待轉強,45.2,100,44.25,42.18,3.02,7.47,4.96,37.56,187.36,0.26,35.98,1.36,2.26,2,0,0,0,-1,-3,0,-209,1085,4206,-2215,0,0,-1,-3,0,0,0,-608,-587,7.42,-230,1099,4228,-1041,-150,1693,4794,-1531,41.03,-5.7,-5.85,中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
295,2329,華泰,TWSE,半導體業,等待轉強,44.7,100,48.95,45.75,3.62,10.66,5.61,49.35,135.61,0.33,22.15,2.82,2.04,3,0,0,0,0,6,0,-2253,-6311,-11376,-12673,0,0,0,6,0,0,0,-664,-855,9.52,-1475,-2678,-5166,-2532,-1719,-5647,-10521,-11065,39.38,-6.91,-6.05,中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
296,3661,世芯-KY,TWSE,半導體業,等待轉強,44.2,100,3770,3532.5,15.39,-39.74,32.66,27.06,344.81,17.55,55.25,7.12,0.91,25,14,34,55,104,108,1,62,-797,-2430,-3334,11,-223,-119,-296,3,2,-840710000,-81,-114,52.14,-57,-1138,1008,754,21,-495,-2199,-3121,40.61,-8.85,-7.26,中期趨勢仍向下；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
297,1301,台塑,TWSE,塑膠工業,等待轉強,43.9,100,65.6,62.7,-2.69,-3.62,-3.1,34.25,182.85,0.51,,1.07,0.76,6,-11,-11,-11,-7,-106939,-1,6241,43924,34086,140472,-19,-36,-52,-107529,0,4,-2361600,3818,3646,34.03,5664,40960,37605,231648,4672,40142,30495,243480,66.48,14.08,13.1,累計營收負成長且當月改善不足；ETF短中期同步減碼；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；高波動且5日漲幅過大
298,5234,達興材料,TWSE,光電業,等待轉強,43.1,100,364,350.75,21.77,10.01,20.1,41.63,176.52,2.21,47.27,12.11,1.79,4,0,-1,-1,-3,-4,0,-158,-354,-508,-890,0,-1,-3,-68,0,1,-364000,-66,-19,9.31,-223,-329,-599,-630,-143,-287,-486,-788,38.64,-5.29,-4.21,中期趨勢仍向下；ETF短中期同步減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
299,1514,亞力,TWSE,電機機械,等待轉強,42.9,100,106.5,102.75,39.69,16.03,8.36,50.13,195.66,0.73,31.05,4.41,2.07,2,0,0,0,-1,-5,0,-329,-5293,-3949,-3013,0,-1,-2,-7,0,1,-106500,-127,-156,14.03,-213,-2805,-2739,-370,-307,-5166,-3790,-2846,34.35,-10.59,-12.35,中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
300,2328,廣宇,TWSE,電子零組件業,等待轉強,42.9,100,49.35,46.95,-0.74,-15.92,-0.34,26.95,285.15,-0.16,50.36,1.7,1.82,2,0,0,0,0,7,0,-186,1808,-5360,-5946,0,0,0,7,0,0,0,260,-381,8.42,-172,4326,4011,-963,-136,1548,-4980,-6722,45.9,-1.83,1.02,累計營收負成長且當月改善不足；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
301,2355,敬鵬,TWSE,電子零組件業,等待轉強,42.8,100,46.6,43.95,4.44,4.61,4.8,27.67,241.35,0.62,27.57,1.05,2.15,2,-16,-16,-20,-29,-58,0,-149,1630,1881,1020,-16,-20,-29,-58,0,2,-932000,-418,-630,15.35,251,2703,679,-2526,-72,2067,2540,2513,32.85,-10.24,-8.98,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
302,6658,聯策,TWSE,其他電子業,等待轉強,42.7,100,175,165,51.6,9.85,11.59,56.22,165.23,1.63,67.05,4.62,0.69,1,-1,-1,-1,-2,-4,0,-21,-169,-728,-505,-1,-1,-2,-4,0,1,-175000,0,-16,2.23,-6,-135,-694,-473,-20,-168,-709,-618,41.93,-9.14,-8.85,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
303,8996,高力,TWSE,電機機械,等待轉強,42.4,100,1125,1015,37.56,128.96,20.71,47.81,160.65,6.54,80.24,22.53,0.41,16,-4,3,-45,-730,-1763,-40,142,-312,-865,933,-86,-248,-1138,-1084,2,3,-279000000,-28,-45,37.94,204,-10,346,2469,184,-37,318,2241,38.15,-13.51,-14.77,中期趨勢仍向下；ETF短中期同步減碼；投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
304,9907,統一實,TWSE,其他,等待轉強,41.3,100,15.3,15.1,-6.1,-12.63,3.84,32.66,229.48,0.17,13.78,1.09,7.71,5,-1283,-1312,-1924,-3405,-25112,-1286,627,5027,6158,-4569,-1287,-1936,-3414,-25127,0,5,-29620800,112,71,15.18,2028,5705,9841,23799,1899,6851,9500,21331,42.2,-1.2,0,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；投信5/10日持續且具金額意義的賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
305,9910,豐泰,TWSE,運動休閒,等待轉強,41,100,67.8,68,-3.9,-3.67,4,45.25,167.9,0.68,14.68,2.5,6.05,10,42,212,237,-3600,-6489,0,180,-291,-4360,-13060,42,237,-3598,-6491,4,1,16068600,76,112,5.04,195,-479,-670,-4066,134,-604,-874,-6839,41.68,-3.05,-0.29,累計營收負成長且當月改善不足；中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
306,2498,宏達電,TWSE,通信網路業,等待轉強,40.4,93,43.35,41.83,-8.53,-9.73,-86.23,30.58,223.07,-0.29,20.94,1.34,1.15,4,0,-17,-17,-15,-53,0,-551,174,450,-3517,0,-17,-15,-53,0,1,-736950,-271,-512,8.25,-705,160,1594,301,-558,462,977,-2351,46.46,-2.44,-3.56,累計營收負成長且當月改善不足；ETF短中期同步減碼；當下除權息調整價未守20日EMA
307,1802,台玻,TWSE,玻璃陶瓷,等待轉強,40.3,100,61.7,57.95,27,11.68,7.88,42.7,141.11,0.2,474.62,3.61,,6,0,0,-189,-891,-789,-189,-5868,-25539,-73126,18476,-5,-976,-1672,-826,0,5,-60219200,7385,5948,5.02,-6433,-28311,-75974,6697,-5937,-31945,-77400,13527,40.49,-7.01,-6.52,中期趨勢仍向下；ETF短中期同步減碼；主動ETF 5日轉為減碼；投信5/10日持續且具金額意義的賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
308,3583,辛耘,TWSE,半導體業,等待轉強,40.3,100,830,748.5,-2.67,6.79,12.95,70.99,109.29,4.14,56.27,8.73,0.72,7,-422,-416,-417,-426,-439,-413,-19,493,-438,1429,-538,-533,-618,-716,1,2,-442390000,-26,-128,21.11,524,1101,360,2173,524,1052,306,2137,48.92,-0.55,5.73,ETF短中期同步減碼；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；當下除權息調整價未守20日EMA
309,4919,新唐,TWSE,半導體業,等待轉強,40,100,156.5,141.25,1.16,-1.55,-1.4,56.76,203.24,0.02,,4.97,,8,8,7,54,170,659,28,-1081,194,-7088,-17456,8,54,-2795,-4368,4,1,8451000,1446,312,1.75,-1087,-1500,-3482,-10914,-976,-1305,-4604,-12771,42.76,-8.4,-1.26,累計營收負成長且當月改善不足；中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
310,6890,來億-KY,TWSE,運動休閒,等待轉強,39.9,100,172.5,171,-3.2,-14.77,2.55,26.79,524.31,0.75,17.06,1.74,5.2,3,0,33,128,127,329,18,19,382,144,68,0,124,123,325,3,0,21390000,-53,-126,85.98,6,280,-87,-309,18,312,147,-37,36.38,-14.6,-14.18,累計營收負成長且當月改善不足；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
311,3645,達邁,TWSE,電子零組件業,等待轉強,39.7,100,75.4,70.45,2.7,3.97,18.83,31.97,192.99,0.67,39.68,3.04,1.59,1,-5,-5,-6,-9,-18,0,220,1568,1659,2998,-5,-6,-9,-18,0,2,-452400,-80,-172,13.12,236,727,276,-411,233,1653,1839,3252,29.98,-12.78,-10.34,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
312,2338,光罩,TWSE,半導體業,等待轉強,39.4,100,48,43.6,0.08,-5.14,0.93,66.11,77.74,0.52,,2.6,,1,0,0,0,0,0,0,-388,-3634,-7136,-2533,0,0,0,0,0,0,0,-116,-221,5.75,-207,-2671,-6044,-2248,-370,-3520,-6917,-1935,44.81,-3.05,0,累計營收負成長且當月改善不足；中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
313,3545,敦泰,TWSE,半導體業,等待轉強,39.2,100,52,49.55,2.16,-13.49,-5.88,31.93,219.88,0.02,,1.29,1.54,2,0,0,0,5,39,0,-515,-1173,-500,567,0,0,5,39,0,0,0,-74,-29,14.56,-445,-879,-236,1109,-508,-1098,-474,649,38.8,-7.05,-10.65,累計營收負成長且當月改善不足；中期趨勢仍向下；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
314,2454,聯發科,TWSE,半導體業,等待轉強,39.1,100,3700,3422.5,2.8,-0.77,15.35,46.07,122.07,15.17,58.96,15.13,1.45,69,25,233,285,-363,-11166,172,-622,-2918,-7704,-18203,-70,-494,-663,-12009,1,4,-1827800000,753,463,55.54,-626,-3079,-7468,-6081,-626,-3174,-7501,-5954,40.82,-7.76,-7.38,累計營收負成長且當月改善不足；中期趨勢仍向下；投信5/10日持續且具金額意義的賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
315,6412,群電,TWSE,電子零組件業,等待轉強,39.1,100,83.5,80.55,-0.77,-7.65,4.29,57.97,135.6,1.01,16.06,2.31,4.43,5,0,0,0,-108,-126,0,-411,-1783,-2087,-8474,0,0,-108,-127,0,0,0,-246,-299,5.56,-332,-975,-930,-6770,-374,-1538,-1682,-8012,36.64,-7.47,-6.18,累計營收負成長且當月改善不足；中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
316,1503,士電,TWSE,電機機械,等待轉強,38.7,100,204,195.5,-10.58,10.27,16.05,35.72,150.79,2.79,30.4,2.8,2.45,7,0,0,-2,7,93,0,-452,-1262,-1457,-3398,-1,-6,4,89,0,3,-1224000,-171,-376,30.16,-347,-692,-909,-2266,-451,-1086,-1088,-2920,35.85,-9.13,-9.53,中期趨勢仍向下；20日累積後5日轉為調節；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
317,6451,訊芯-KY,TWSE,半導體業,等待轉強,36,100,477,429.5,40.55,-5.21,-5.18,59.67,166.56,-1.45,,7.22,0.05,3,-2,-2,-2,-92,-145,0,-277,425,945,-1389,-2,-2,-92,-145,0,1,-954000,-143,-157,63.9,-252,528,1137,-802,-219,569,1193,-837,41.98,-9.19,-9.14,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；外資持股趨勢資料不足或期間有非市場異動；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
318,3715,定穎投控,TWSE,電子零組件業,等待轉強,35.9,100,137,125.75,45.48,36.23,2.32,72.15,133.12,-0.74,141.24,3.61,0.79,3,-11,-11,-15,-20,-40,0,-170,-4411,-16988,-6254,-11,-15,-592,0,0,2,-2055000,-308,-633,10.31,-134,-1739,-9006,-406,-61,-4089,-15764,-5216,30.47,-13.82,-9.57,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
319,4977,眾達-KY,TWSE,通信網路業,等待轉強,34.6,100,144,131,8.08,-20.79,-3.99,21.49,315.77,-1.18,31.93,2.97,1.51,1,-3,-3,-4,-6,-13,0,148,720,722,1867,-3,-4,-6,-13,0,2,-576000,-25,-33,16.2,-13,-327,-620,383,156,749,762,2008,30.99,-11.62,-6.19,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
320,2367,燿華,TWSE,電子零組件業,等待轉強,32.7,100,48.4,45.08,-4.14,-7.37,-7.71,50.74,95.51,-0.4,,2.69,0.41,2,0,0,0,0,0,0,-4194,697,3176,2204,0,0,0,0,0,0,0,430,255,6.59,-4810,-27,2005,1719,-4004,266,2920,2742,35.26,-10.61,-7.63,累計營收負成長且當月改善不足；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
321,2399,映泰,TWSE,電腦及週邊設備業,等待轉強,31.9,100,40.65,37.88,-10.32,1.3,-8.74,20.52,418.65,1.48,26.06,2.94,,1,-7,-7,-9,-13,-26,0,355,-5154,-6494,-14405,-7,-9,-13,-26,0,2,-365850,-76,-20,4.02,286,-4906,-6132,-14199,362,-5070,-6462,-14164,37.91,-13.69,-16.44,中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
322,4906,正文,TWSE,通信網路業,等待轉強,31.4,100,37.75,35.98,-5.24,-28.21,-6.58,43.62,153.18,-0.32,,1.5,1.25,2,-17,-17,-23,-33,-65,0,-583,-858,-3938,-17800,-17,-23,-33,-65,0,2,-868250,-139,-431,8.88,-1671,-1616,-3199,-13673,-526,-697,-3475,-17317,39.01,-8.08,-5.74,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA
323,3376,新日興,TWSE,電子零組件業,等待轉強,29.3,100,194.5,189.75,-4.76,-13.25,-0.44,22.67,276.74,0.15,286.03,2.19,2.06,3,0,-359,-359,-359,-429,-359,-515,-1885,-3930,-12918,0,-590,-610,-274,0,3,-114755000,451,62,13.6,-569,-1922,-4899,-13341,-503,-1746,-3382,-12638,44.61,-2.38,-1.27,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；主動ETF 5日轉為減碼；投信5/10日持續且具金額意義的賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；估值高且成長不足以支撐
324,6715,嘉基,TWSE,電子零組件業,等待轉強,28.8,100,411,397.5,-9.2,-0.12,15.89,19.28,332.23,1.02,194.79,7.55,0.47,2,-1,-1,-93,-94,-96,-92,-90,-1068,-1236,-636,-1,-93,-93,-95,0,3,-38223000,-153,-163,2.48,-93,-808,-945,-550,-103,-822,-980,-402,46.07,-3.94,-5.52,累計營收負成長且當月改善不足；中期趨勢仍向下；ETF短中期同步減碼；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；投信5/10日持續且具金額意義的賣超；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA；估值高且成長不足以支撐
325,5288,豐祥-KY,TWSE,電機機械,排除,69.8,100,187.5,186.25,71.59,28.97,14.46,24.96,236.86,3.59,15.59,2.14,3.47,1,1,0,0,0,1,0,-25,9,65,-39,1,0,0,0,1,1,0,-9,27,59.74,-77,-32,-23,-154,-27,17,37,-60,57.23,2.39,0.81,"單日成交金額低於5,000萬元"
326,2897,王道銀行,TWSE,金融保險業,排除,67,100,10.55,10.48,14.1,30.36,,90.87,,0.28,15.51,0.72,4.93,2,0,131,214,1294,2505,214,703,-3206,3063,4789,0,214,1294,2505,4,0,2257700,164,143,8.15,575,-3497,1316,683,566,-3584,1627,2155,55.53,0.62,-0.47,"單日成交金額低於5,000萬元；當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識不足"
327,6782,視陽,TWSE,生技醫療業,排除,66.3,100,199,193.75,45.95,23.39,28.11,32.69,126.45,3.82,13.43,2.98,4.22,1,0,0,0,0,65,0,-49,28,572,843,0,0,0,65,0,0,0,58,82,8.61,-49,-111,442,636,-49,-31,489,696,50.21,-0.53,-3.86,"單日成交金額低於5,000萬元；當下除權息調整價未守20日EMA"
328,6277,宏正,TWSE,電腦及週邊設備業,排除,65.6,100,74.2,80.8,35.12,12.79,14.42,32.83,208.56,1.08,22.83,1.91,4.72,1,0,0,0,0,0,0,20,-37,15,146,0,0,0,0,0,0,0,1,0,9.41,17,-115,-147,29,17,-38,15,141,58.29,2.57,6,"單日成交金額低於5,000萬元；外資持股5/10日下降，且外資5日賣超"
329,2031,新光鋼,TWSE,鋼鐵工業,排除,65.1,100,40.45,39.7,7.82,-2.42,9.32,60.87,148.59,0.22,8.85,1.23,6.18,2,0,0,176,429,413,0,570,2749,3392,2581,0,176,426,408,2,0,7119200,18,19,8.18,526,2426,2992,2029,569,2555,2946,2268,58.95,3.05,5.89,"單日成交金額低於5,000萬元；累計營收負成長且當月改善不足；20日趨勢尚未上彎"
330,8499,鼎炫-KY,TWSE,其他電子業,排除,64.6,100,292,278,116.29,87,18.33,24.71,357.1,2.61,29.26,1.4,2.74,1,0,0,0,0,5,0,0,48,113,247,0,0,0,0,0,0,0,-2,-4,72.39,4,31,102,197,0,50,117,244,47.1,-2.56,-4.73,"單日成交金額低於5,000萬元；當下除權息調整價未守20日EMA"
331,4763,材料*-KY,TWSE,化學工業,排除,62.1,100,47.45,46.3,-10.11,-30.69,49.58,6.15,1311.55,1.13,9.18,2.17,6.43,7,438,431,420,440,641,436,716,-1378,-1963,-5886,436,415,436,635,1,3,19691750,-275,113,46.05,-922,1266,-2632,-7646,169,-1520,-2513,-7049,53.31,1.08,-2.97,營收動能同步衰退；累計營收負成長且當月改善不足；外資持股趨勢資料不足或期間有非市場異動；當下除權息調整價未守20日EMA
332,1608,華榮,TWSE,電器電纜,排除,62,100,33.25,32.53,13.35,15.81,12.15,35.31,187.04,0.37,6.03,1.45,6.02,3,0,0,145,616,910,0,-510,-3342,-2744,-6691,-2,139,610,900,2,3,4621750,-40,43,2.48,128,-1753,-2963,-7158,-510,-3441,-3399,-7711,45.37,-2,-2.06,"單日成交金額低於5,000萬元；中期趨勢仍向下；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
333,2707,晶華,TWSE,觀光餐旅,排除,62,100,179.5,178.25,13.94,5.11,28.9,65.43,123.74,5.73,12.82,6.46,5.99,1,0,-1,-1,-1,0,0,55,210,749,1070,0,-1,-2,-1,1,1,-179500,-4,-4,6.77,16,76,492,794,53,215,755,1044,51.81,0.09,0,"單日成交金額低於5,000萬元；ETF短中期同步減碼；當下除權息調整價未守20日EMA"
334,3708,上緯投控,TWSE,綠能環保,排除,62,100,101.5,97.6,61.7,-2.02,-37.61,20.7,182.77,0.13,2.48,0.54,6.4,3,1,0,100,261,279,0,-22,-364,165,-1602,1,100,111,-21,4,1,10150000,-49,59,7.52,-93,-188,599,-558,-28,-415,-5,-1382,36.82,-6.82,-4.25,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
335,1720,生達,TWSE,生技醫療業,排除,61.9,100,64.5,63.9,9.11,1.64,20.8,25.03,204.52,1.3,11.94,1.91,4.65,1,0,-2,-2,-1,0,0,28,191,333,355,0,-2,-1,0,0,1,-129000,3,1,5.53,95,233,331,297,26,190,333,346,66.2,1.52,1.42,"單日成交金額低於5,000萬元；ETF短中期同步減碼"
336,2607,榮運,TWSE,航運業,排除,61.5,100,47.3,46.53,25.41,2.45,11.71,28.48,338.24,1.04,10,0.8,5.71,1,0,0,0,0,0,0,125,696,-100,-1236,0,0,0,0,0,0,0,36,-174,8.02,125,790,544,-837,120,660,74,-1065,47.22,-0.28,1.94,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
337,4137,麗豐-KY,TWSE,生技醫療業,排除,61.3,100,96.7,96,22.6,8.62,15.53,43.21,206.97,1.41,12.3,1.43,10.34,2,0,-1,-3,-2,278,0,36,49,-821,-1225,0,-3,-2,278,0,2,-290100,9,-121,54.5,16,118,-422,-1212,35,43,-698,-1465,36.4,-4.15,2,"單日成交金額低於5,000萬元；中期趨勢仍向下；ETF短中期同步減碼；20日累積後5日轉為調節；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
338,6024,群益期,TWSE,金融保險業,排除,60.9,100,65.2,64.6,124.15,-29.03,,87.11,113.58,1.76,10.92,1.5,5.32,1,1,-1,-1,0,1,0,61,-124,340,761,1,-1,0,1,2,1,-65200,3,4,4.8,-20,-189,294,668,58,-126,336,758,72.24,4.05,1.24,"單日成交金額低於5,000萬元；20日累積後5日轉為調節"
339,2923,鼎固-KY,TWSE,建材營造,排除,60.5,100,35.85,36,294.84,170.39,52.88,59.07,293.58,0.02,,1.36,0.33,1,0,0,0,0,0,0,53,680,838,944,0,0,0,0,0,0,0,35,36,99.48,50,645,797,920,50,645,802,918,75.16,26.85,25.35,"單日成交金額低於5,000萬元；短線過熱或乖離過大；高波動且5日漲幅過大"
340,6192,巨路,TWSE,其他電子業,排除,60.2,100,120.5,116.25,16.94,5.75,17.1,42.57,213.85,2.63,12.33,1.6,4.81,1,0,-1,-1,0,0,0,12,172,349,171,0,-1,-1,-1,0,1,-120500,1,4,24.92,10,175,336,233,10,171,345,219,48.02,-0.22,1.26,"單日成交金額低於5,000萬元；當下除權息調整價未守20日EMA"
341,6579,研揚,TWSE,電腦及週邊設備業,排除,60.2,100,159.5,153,47.1,28.75,8.7,22.94,253.99,3.81,29.27,2.59,2.35,1,0,0,0,0,0,0,-15,351,1372,1319,-1,-2,-2,-3,0,2,-319000,5,44,4.2,-5,365,1380,1301,-16,348,1331,1281,48.55,-1.73,-7.54,"單日成交金額低於5,000萬元；20日趨勢尚未上彎；當下除權息調整價未守20日EMA"
342,9911,櫻花,TWSE,居家生活,排除,60.2,100,84.2,84,6.72,6.3,16.6,44.5,144.79,1.87,13.24,2.97,5.94,2,0,-1,-1,0,-10,0,30,13,678,647,-1,-3,-1,-12,0,3,-252600,11,5,18.98,31,-177,730,412,28,5,674,664,54.02,0.55,1.08,"單日成交金額低於5,000萬元；20日趨勢尚未上彎"
343,2480,敦陽科,TWSE,資訊服務業,排除,59.1,100,161.5,157.75,14.66,14.96,12.41,64.43,134.91,2.63,19.25,5.75,4.83,4,0,0,-1,-5,17,0,0,197,1231,2497,0,-1,-4,19,0,1,-161500,5,15,10.61,-32,-560,745,1395,0,193,1221,2461,57.82,2.2,1.25,"單日成交金額低於5,000萬元；ETF短中期同步減碼；20日累積後5日轉為調節；當下除權息調整價未守20日EMA"
344,5515,建國,TWSE,建材營造,排除,59,100,41.9,41.58,24.55,27.59,13.33,50.62,177.24,1.96,7.02,1.48,7.88,1,0,-5,-85,-315,-373,0,0,254,288,-755,0,-85,-315,-364,0,4,-3561500,20,6,12.14,-32,340,635,-1138,0,319,596,-420,55.66,1.55,3.2,"單日成交金額低於5,000萬元；ETF短中期同步減碼；20日趨勢尚未上彎"
345,1537,廣隆,TWSE,電機機械,排除,58.7,100,126.5,126.25,14.05,0.69,11.36,22.65,520.51,2.11,16.64,2.25,5.69,1,0,0,0,0,0,0,0,-1,-9,12,0,0,0,0,0,0,0,1,1,15.78,-62,-94,-82,-81,0,-2,-10,12,52.69,0.3,0.8,"單日成交金額低於5,000萬元；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎"
346,5007,三星,TWSE,鋼鐵工業,排除,58.6,100,56.4,56.3,28.19,-0.57,19.59,22.55,340.47,0.91,18.55,2.52,5.32,1,0,0,0,0,0,0,0,170,170,169,0,0,0,0,0,0,0,4,4,3.46,-52,110,114,141,0,166,166,167,52.63,0.52,1.62,"單日成交金額低於5,000萬元；中期趨勢仍向下；20日趨勢尚未上彎"
