排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,持有判斷模式,今天動作,下一次確認,既有部位說明,主要原因,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,6770,力積電,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 71.06 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,82.6,78.9,68.1,85,100,可用,73.1,,76.19,47.08,58.03,34.6,495.94,4.08,24.37,2.67,,13,-12,48,3838,4240,4110,0,25104.592,136058.649,101375.14400000001,181573.14400000003,-11,3839.574,4282.5740000000005,11579.574,2,3,280672859,13159.697,11196.457,16.82,24087,121417,69179,,24015.432,119059.378,85896.113,158286.113,54.96,68.93,60.8,85.19,false,false,2.87,4.58,
2,6531,愛普*,TWSE,半導體業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 940.02 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,84,77.7,66,85,100,可用,987,,150.82,109.13,29.44,24.47,373.6,8.33,56.92,12.81,0.71,19,-6,61,56,496,1161,60,1216.19,1154.0550000000003,1730.7640000000001,3042.764,139.62,77.62,1124.62,2855.62,4,1,76610940,50.262,11.806999999999992,34.12,1256,1305,917,,1032.914,1026.1730000000002,594.3370000000002,184.33700000000044,55.72,47.61,40.45,61.94,true,false,5,4,
3,2376,技嘉,TWSE,電腦及週邊設備業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 355.67 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,82.3,76.3,52.6,85,100,可用,365,,98.43,55.23,6.23,74.46,144.47,17.73,13.66,3.68,3.29,30,26,12,1528,4797,7660,7,341.771,2498.828,-538.9900000000002,-3894.99,-13,1662.237,4492.4800000000005,5480.4800000000005,3,2,606716505,-154.517,0.07799999999999585,23.49,4912,8220,3385,,441.507,991.108,-5031.548000000001,-8527.548,57.48,62.09,51.21,83.86,false,false,2.62,4.29,
4,3005,神基,TWSE,電腦及週邊設備業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 116.39 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,70.4,68.8,64.4,85,100,完整,117.5,,18.39,9.96,15.34,44.17,195.75,4.27,13.95,2.88,5.78,14,-83,377,706,1169,894,0,-477.779,2970.163,3949.2360000000003,4751.236000000001,-120.191,799.8240000000001,1239.8700000000001,1220.8700000000001,4,1,93979320,181.659,83.77799999999999,15.25,-457,802,2042,,-364.758,1988.68,2625.588,3683.588,55,73.48,70.92,78.59,false,false,0.95,2.17,
5,2449,京元電子,TWSE,半導體業,可開始承接,正常持有,strong,強勢續抱；不追高,今日收盤確認是否守住20日EMA,價格仍在20／60日EMA之上且短線強勢；法人未同步轉弱。若收盤跌破20日EMA約 275.03 且法人續弱，再轉為保護持有。,價格強勢站上20／60日EMA；法人未同步轉弱,75.8,68.1,47.8,85,100,可用,304,,31.58,35.53,26.25,51.32,147.28,3.91,39.84,5.93,0.49,35,-125,1969,1326,1254,6963,1641,-4893.406,50204.223,49999.041999999994,39827.041999999994,-162,7227.477999999999,6721.580999999999,16699.581,2,3,2197153312,4699.048000000001,4224.899,30.65,-4307,36009,38862,,-3966.715,38277.69700000001,39052.562,18635.561999999998,63.98,70.6,63.68,84.44,false,false,10.53,16.25,
6,2408,南亞科,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 466.98 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,82.4,83.7,81.9,85,100,可用,515,,560.85,638.19,69.08,16.78,691.01,23.38,19.98,5.51,0.26,38,500,595,4456,5269,2979,1758,29607.502,39915.979,10467.832999999997,11390.832999999999,-180,4210.362,-469.2179999999999,-5029.218,2,3,2168336430,535.259,63.75300000000006,17.01,29416,40519,10611,,29196.171,35170.358,10873.298,19573.298000000003,53.64,58.78,49.2,77.92,false,false,2.52,4.57,20日趨勢尚未上彎；借券賣出與借券賣出餘額壓力升高
7,2605,新興,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 34.50 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,71.7,81.6,82,85,100,完整,37.05,,58.75,38.72,33.49,26.88,212.23,3.67,7.56,1.12,2.7,1,0,0,0,0,0,0,-561.517,8508.119999999999,9933.893999999998,13815.893999999998,0,0,-173,-178,0,0,0,2304.008,3135.3269999999998,49.88,-535,6220,6988,,-527.924,6204.112000000001,6971.567,8949.567,58.31,56.16,49.18,70.12,true,false,2.73,2.77,單季稅前獲利對營業外貢獻依賴偏高
8,8299,群聯,TPEX,半導體業,等待確認,正常持有,strong,強勢續抱；不追高,今日收盤確認是否守住20日EMA,"價格仍在20／60日EMA之上且短線強勢；法人未同步轉弱。若收盤跌破20日EMA約 2,074.48 且法人續弱，再轉為保護持有。",價格強勢站上20／60日EMA；法人未同步轉弱,70.8,81.6,72.8,85,100,可用,2215,,376.52,278.99,37.86,47.31,257.91,187.43,10.15,4.8,1.05,20,-15,-25,232,-421,-577,-19,-261.687,-261.687,-261.687,993.313,-15,-15,-15,-266,0,1,-33225000,-153.478,-153.478,44.55,,,,,-93.209,-93.209,-93.209,1500.791,61.53,69.01,57.76,91.5,false,false,6.77,11.59,ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；外資持股尚未完成5／10日可比核對或期間有非市場異動；此項不給分，不解讀為轉弱
9,3006,晶豪科,TWSE,半導體業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 257.39，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,70.1,79.8,75.6,85,100,可用,274,,605.24,324.38,44.44,36.84,267.13,27.58,8.64,4.1,0.36,8,-1,19,501,532,687,0,-1995.807,-6128.509,-15734.046999999999,-13323.046999999999,0,503,564,729,3,0,137822000,235.578,-429.141,38.7,-1983,-5922,-13939,,-1942.017,-6867.087,-15868.906000000003,-14469.906000000003,49.51,31.95,35.95,23.94,false,false,-1.79,-2.49,外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識尚未同時成立
10,4967,十銓,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 265.91 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,66,79.7,72.6,85,100,完整,272,,275.06,87.02,35.94,50.67,191.64,53.44,4.04,2.07,3.17,3,0,0,0,0,237,0,6.028,24.448000000000036,-570.8399999999999,3113.16,0.008,0.008,-0.392,236.608,1,0,2176,-68.91499999999999,-171.09499999999997,11.59,-362,-47,-283,,15.057,93.35500000000002,-399.35299999999995,3209.647,50.33,37.28,37.73,36.4,false,true,-0.43,-1.09,當下除權息調整價未守20日EMA
11,9945,潤泰新,TWSE,其他,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 27.66 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,75.7,77.9,75.1,85,100,完整,29.55,,37.99,34.41,20.1,34.7,158.5,3.7,5.17,0.52,3.72,5,0,10,1586,2180,508,0,3203.776,9967.563999999998,14376.438999999998,6231.4389999999985,0,1586,2170,498,3,0,46866300,1190.425,1522.074,8.63,3083,7293,10618,,3056.661,7191.139,10684.365000000002,3996.3650000000016,63.82,74.44,63.38,96.57,false,false,3.63,5.35,20日趨勢尚未上彎；ETF加碼金額或跨基金共識尚未同時成立；官方重大訊息出現高風險關鍵字，須查原文；單季稅前獲利對營業外貢獻依賴偏高
12,2606,裕民,TWSE,航運業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 71.02，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,74.5,77.2,68.2,85,100,可用,76.7,,18.16,25.1,28.58,55.87,161.86,3.51,11.31,1.61,3.65,8,446,386,720,1770,1574,446,115.034,791.8620000000001,1067.681,8611.681,447,722,1853,1631,3,1,55377400,227.28500000000003,-306.06899999999996,24.59,-283,-49,-482,,-346.401,-157.423,-479.2500000000001,7101.75,56.64,43.37,42.05,46,true,false,1.32,0.92,外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識尚未同時成立
13,2855,統一證,TWSE,金融保險業,等待確認,正常持有,strong,強勢續抱；不追高,今日收盤確認是否守住20日EMA,價格仍在20／60日EMA之上且短線強勢；法人未同步轉弱。若收盤跌破20日EMA約 52.40 且法人續弱，再轉為保護持有。,價格強勢站上20／60日EMA；法人未同步轉弱,70.5,76.6,71.4,85,100,可用,57.7,,109.88,217.4,,87.34,112.56,6.96,5.99,1.92,3.66,12,-41,-77,790,7436,15951,0,1241.583,14275.872,17234.297,24236.297,-28.9,806.9159999999999,7444.516,16177.516,3,2,46559053,0,0,7.64,615,13629,10940,,1270.483,13468.956,9789.780999999999,8059.780999999999,77.22,77.16,76.61,78.25,false,false,10.12,11.82,ETF 1/3日已轉為減碼；短線過熱或乖離過大；ETF加碼金額或跨基金共識尚未同時成立
14,2637,慧洋-KY,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 91.11 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,63.7,76.1,68.9,85,100,可用,100.5,,34.96,35.38,33.36,41.18,92.13,4.1,11.18,1.51,3.48,9,0,3,-724,448,1079,-25,148.616,764.0219999999999,6948.1669999999995,12496.167,2,-600.279,3036.721,3873.721,2,2,-60328039,54.102000000000004,-48.521,28.55,153,1334,3890,,136.944,1310.199,3959.9669999999996,8401.967,57.9,57.21,59.73,52.16,false,true,1.84,-1.95,20日累積後5日轉為調節；主動ETF 5日轉為減碼
15,2027,大成鋼,TWSE,鋼鐵工業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 46.05 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,71.8,75.8,71.6,85,100,完整,46.6,,46.09,34.23,19.7,43.68,295.53,3.1,9.19,1.37,3.22,11,1218,1157,2699,10227,24550,357,2402.083,5650.93,10421.096,8253.095999999998,1082,3031.755,9379.755000000001,23662.755,3,2,141279783,-72.394,-1743.698,25.3,1305,2545,2833,,1305.254,2691.569,2785.0390000000007,-14489.961,45.51,44.42,35.36,62.52,false,false,-1.74,0.11,20日趨勢尚未上彎；當下除權息調整價未守20日EMA
16,6670,復盛應用,TWSE,運動休閒,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 269.66 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,70.3,75.4,68.1,85,100,完整,273,,45.02,14.88,15.25,40.17,200.45,13.1,11.15,2.45,5.86,6,30,90,109,112,283,0,30.276,17.378999999999998,-68.004,630.996,30,109.39,98.39,307.39,4,0,29863470,-74.638,-127.757,24.95,85,125,93,,23.452,-17.373000000000005,-38.637,512.363,51.17,32.21,28.45,39.71,true,true,0.06,1.11,ETF加碼金額或跨基金共識尚未同時成立
17,1773,勝一,TWSE,化學工業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 162.78 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,70.8,74.4,58.1,85,100,完整,165,,44.62,23.96,23.46,37.93,104.11,4.38,20.57,4.33,2.42,2,0,0,0,0,0,0,14.119,-114.57900000000001,-509.06299999999993,-1908.0629999999999,1,2,40,1,2,0,330000,-2.7789999999999973,-36.91199999999999,6.77,39,398,-232,,11.2,-113.79999999999998,-512.151,-1883.1509999999998,55.69,64.51,51.24,91.04,false,false,2.18,3.77,
18,7749,意騰-KY,TWSE,半導體業,等待確認,正常持有,strong,強勢續抱；不追高,今日收盤確認是否守住20日EMA,價格仍在20／60日EMA之上且短線強勢；法人未同步轉弱。若收盤跌破20日EMA約 365.19 且法人續弱，再轉為保護持有。,價格強勢站上20／60日EMA；法人未同步轉弱,64.3,74.3,79.5,85,100,完整,402,,60.5,60.27,36.17,17.76,499.02,7.57,27.8,5.05,2.24,1,0,0,0,0,6,0,43.482,95.584,-17.12299999999999,-28.12299999999999,0.009,0.009,0.009,6.009,1,0,3618,13.850000000000001,1.5570000000000004,22.67,45,71,-1,,37.031,81.72500000000002,-18.68899999999997,-32.688999999999965,67.94,81.94,69.02,107.79,false,false,10.08,11.98,
19,3167,大量,TWSE,電機機械,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 762.57，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,76.2,74.2,50.7,85,100,完整,890,,152.98,135.15,24.48,64.49,143.75,9.26,62.41,18.55,0.44,4,0,0,150,300,277,150,-531.913,-1637.2019999999998,-3090.6119999999996,1210.3880000000004,0,343,520,712,3,1,305270000,15.878,41.077,10.32,-381,-604,-3331,,-541.25,-1996.08,-3651.689,709.3110000000001,60.14,56.95,44.6,81.66,true,false,9.31,8.01,外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識尚未同時成立；借券賣出與借券賣出餘額壓力升高
