排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,持有判斷模式,今天動作,下一次確認,既有部位說明,主要原因,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2603,長榮,TWSE,航運業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 230.62 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,75.7,74.7,66.5,85,100,可用,239,239,43.07,4.21,14.77,39.75,138.81,11.24,9.3,0.91,6.82,31,473,1478,1169,1458,4037,483,-2182.282,3685.4969999999994,42449.638,120751.364,537.402,-5286.213,-5008.089,-1063.2109999999998,3,2,-1239616948,-305.47999999999996,-1684.507,26.75,-3147,4896,42283,,-2235.153,9277.19,49142.234000000004,122640.28899999999,61.47,38.67,43.76,28.5,false,false,3.63,2.8,
2,2395,研華,TWSE,電腦及週邊設備業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 663.33 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,77.5,72.6,59.3,85,100,可用,674,674,87.58,40.26,19.04,40.5,171.12,9.05,43.83,10.87,1.61,34,-65,231,183,1045,2530,131,-73.969,1188.614,1374.0240000000001,5137.606,10.746,427.436,1291.3090000000002,3364.824,3,2,295785712,-52.30099999999999,-106.50199999999998,35.49,-58,905,119,,-26.397,813.4789999999999,189.21699999999976,2086.9569999999994,55.9,56.53,58.3,53.01,false,true,1.61,-0.15,
3,4967,十銓,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 259.19 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,77.5,83.8,71.8,85,100,完整,272.5,272.5,98.75,71.29,35.94,50.67,191.64,53.44,4.13,2.12,3.1,3,0,102,95,93,63,102,401.858,1819.0949999999998,1830.386,1907.5460000000003,0,95,92.6,62.599999999999994,1,1,26410000,-60.245000000000005,-85.14800000000002,9.65,508,1982,1895,,398.514,1784.3400000000001,1822.9340000000002,2053.231,55.15,44.82,52.66,29.16,false,true,1.38,-1.09,ETF加碼金額或跨基金共識不足
4,3006,晶豪科,TWSE,半導體業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 240.39，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,73.4,81.8,74.8,85,100,可用,277,277,491.06,281.48,44.44,36.84,267.13,27.58,8.88,4.22,0.36,6,0,97,77,79,69,97,943.16,-1867.343,246.68899999999962,14090.507,0,79,85,71.285,1,1,22238500,655.712,963.828,42.07,361,-2416,-548,,377.853,-2602.054999999999,-802.1389999999988,14117.289,57.23,62.57,69.48,48.75,false,true,4.68,1.09,外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識不足
5,2637,慧洋-KY,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 85.59 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,73.1,81.4,69.6,85,100,可用,99.8,99.8,56.22,35.67,33.36,41.18,92.13,4.1,10.71,1.45,3.63,8,0,107,95,128,280,0,209.178,2487.982,3408.543,9995.889,90,184.459,-11428.51,-11058.677,2,3,17763402,157.858,34.08399999999999,27.76,104,932,14918,,123.718,2145.6650000000004,14802.969000000001,20996.405000000006,65.12,41.89,42,41.68,false,false,8.1,5.5,ETF加碼金額或跨基金共識不足
6,2027,大成鋼,TWSE,鋼鐵工業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 45.33，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,74.1,80,71.6,85,100,完整,50.2,50.2,46.12,32.56,19.7,43.68,295.53,3.1,9.77,1.46,3.03,9,1468,6213,5889,6200,-2261,0,-973.743,-1572.9339999999997,4316.435,66782.14199999999,1501,6610,6889.83,-10469.583999999999,3,1,327525500,-339.61400000000003,-671.5500000000001,25.58,-2688,-7648,-1725,,-2237.265,-7843.32,-1901.844999999999,83605.71800000001,61.18,42.15,42.07,42.31,true,false,3.29,3.19,外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識不足
7,2605,新興,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 33.27 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,69.6,79,80.5,85,100,完整,35.5,35.5,36.27,35.12,33.49,26.88,212.23,3.67,7.15,1.06,2.85,1,0,0,0,0,-2,0,2275.401,802.9159999999997,-10065.532,-7462.5830000000005,1,2,2,-7,2,0,70100,702.498,-2404.513,48.65,1791,-44,-7483,,2081.061,98.41800000000035,-7663.018999999998,-6102.587999999999,58.11,23.93,32.54,6.71,false,false,2.76,3.2,單季稅前獲利對營業外貢獻依賴偏高
8,2542,興富發,TWSE,建材營造,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 44.98，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,78.5,76.3,53.5,85,100,可用,48.65,48.65,196.59,404.28,24.76,77.72,140.2,2.45,11.1,2.05,8.34,11,954,5078,5070,6771,14432,1477,1285.786,2333.37,13234.442,45981.052,954,5079,6623.3,14284.350999999999,4,1,243538050,740.523,710.4680000000001,8.57,497,-2045,-5166,,179.408,-3486.1530000000002,5900.673999999999,30689.637000000002,65.79,62.38,55.35,76.45,true,false,3.5,1.88,外資持股5/10日下降，且外資5日賣超
9,2855,統一證,TWSE,金融保險業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 46.32 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,70.1,76.2,71.6,85,100,可用,50.6,50.6,19.6,252.71,,87.34,112.56,6.96,5.15,1.65,4.25,11,1106,3490,3499,7209,14921,0,147.762,3601.05,4382.463000000002,4691.132000000002,1108,3503.473,7213.4130000000005,14908.474,4,1,173772261,0,0,6.75,-3350,-1342,-2774,,-960.238,97.577,-2830.9500000000003,-10217.342,66.17,88.64,80.41,105.1,false,false,6.05,5.86,ETF加碼，但外資持股5/10日同步下降
10,1808,潤隆,TWSE,建材營造,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 32.77，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,75.7,76,54.6,85,100,完整,35.8,35.8,3460.15,13488.27,22.07,73.55,166.02,2.52,8.38,2.29,4.23,2,0,479,479,479,465,479,679.003,293.3580000000002,1239.335,4229.8150000000005,0,479,479,465.038,1,0,16980550,258.52,486.52,4.58,821,-413,-13,,683.003,-444.1619999999999,273.81500000000005,2962.257,60.11,46.35,49.68,39.7,false,false,3.93,-0.42,外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識不足
11,2467,志聖,TWSE,電子零組件業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 557.68 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,75.5,75.2,57.8,85,100,完整,595,595,132.73,87.05,26.06,44,119.58,7.16,60.78,6.07,0.9,9,-42,8,6,17,-420,8,27.467,1272.5140000000001,1299.6290000000001,2208.2250000000004,-42,39.071,10.141999999999998,-472.236,2,3,23794239,13.780000000000001,12.055999999999997,21.74,27,1078,1075,,53.049,1219.663,1277.4310000000003,2673.614,55.86,72.72,69.97,78.24,false,false,3.97,1.71,ETF加碼金額或跨基金共識不足
12,2615,萬海,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 94.61 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,66.1,74.8,78,85,100,可用,115.5,115.5,50.13,12.83,22.16,33.53,299.27,6.84,7.69,1.09,2.68,12,-9,220,111,957,1725,160,-2726.31,-7952.493999999999,54504.438,109081.96200000001,-7.356,115.15899999999999,960.678,1704.4730000000002,1,3,12897808,206.93399999999997,1981.638,48.16,-2783,-12337,46499,,-2556.632,-8274.587,51562.122,101957.36200000001,65.3,32.17,44.86,6.77,false,false,7.53,1.76,ETF加碼金額或跨基金共識不足
