排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,今天動作,下一次確認,既有部位說明,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,8271,宇瞻,TWSE,半導體業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 219.24 且ETF、外資與投信未轉弱時，才考慮下一批。,76.2,82.8,69.8,85,100,完整,232,232,164.99,235.51,34.73,55.84,184.73,35.51,5.77,3.16,1.92,5,0,16,133,362,240,132,-672.551,1288.952,4072.8419999999996,4472.824999999999,0,132.318,363.42,241.42000000000002,3,0,30697776,-174.572,-210.282,11.37,-653,1002,5041,,-653.887,1331.2060000000001,3919.7039999999997,4247.842999999999,58.56,66.7,73.25,53.59,false,true,5.82,2.2,
2,2603,長榮,TWSE,航運業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 205.94 且ETF、外資與投信未轉弱時，才考慮下一批。,78.6,74.8,68.8,85,91,可用,214.5,216,43.07,4.21,10.34,35.3,161.2,3.84,9.38,0.8,7.46,31,1904,2361,3359,4081,1989,1269,-1327.742,20019.73,25264.106000000003,62637.892000000014,1991,3837.346,3428.108,-2111.801,4,1,823110717,134.909,136.165,22.35,-2806,15357,21995,,-3143.947,16047.475000000002,21699.833000000002,62302.98500000001,62.35,80.23,78.29,84.11,false,false,4.16,4.63,
3,5289,宜鼎,TPEX,電腦及週邊設備業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 1,476.55 且法人籌碼轉弱，先減碼三分之一。",72.8,81.6,77.1,85,100,可用,1520,1530,636.53,548.79,56.13,48.99,233.33,166.45,8.44,6.29,1.13,11,0,5,8,112,100,8,287.694,287.694,287.694,287.694,0,0,0,0,0,0,0,16.122,16.122,26.65,,,,,271.572,271.572,271.572,271.572,54.38,66.16,68.8,60.89,false,true,5.81,3.75,外資持股趨勢資料不足或期間有非市場異動；ETF加碼金額或跨基金共識不足
4,2605,新興,TWSE,航運業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 31.73 且法人籌碼轉弱，先減碼三分之一。,68.6,79.1,81.3,85,85,完整,32.55,31.75,36.27,35.12,33.49,26.88,212.23,3.67,6.64,0.99,3.07,1,0,0,0,2,187,0,-216.924,1946.7169999999999,4754.2,10399.061000000002,0,0,16,216,0,0,0,456.94499999999994,92.24799999999999,49.91,-333,1394,8356,,-237.248,1489.7720000000002,4645.952,11194.889,57.56,73.56,68.67,83.34,false,false,2.66,1.72,官方重大訊息出現高風險關鍵字，須查原文；單季稅前獲利對營業外貢獻依賴偏高
5,6691,洋基工程,TWSE,其他電子業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 693.71 且法人籌碼轉弱，先減碼三分之一。,79,77.6,54.5,85,100,完整,733,740.5,177.06,98.1,16.22,72.04,135.24,17.46,21.93,11.92,3,10,-2,-9,82,98,400,92,41.341,497.258,353.0659999999999,-1392.776,-2,81.501,98.501,402.501,1,4,59740233,-11.327,34.28600000000001,13.08,84,482,-678,,38.687,427.08400000000006,220.27900000000008,-1784.631,56.54,78.03,70.6,92.9,false,false,3.96,5.01,ETF 1/3日已轉為減碼；ETF加碼金額或跨基金共識不足
6,2408,南亞科,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 397.50 且法人籌碼轉弱，先減碼三分之一。,66.7,76.9,83.1,85,100,可用,482.5,496.75,719.61,660.87,69.08,16.78,691.01,23.38,18.72,5.16,0.28,35,-444,-1598,-1955,1543,6749,-2097,-15238.671,44143.320999999996,90164.757,31508.426999999978,49.624,139.228,6577.053000000001,3672.018000000002,3,2,67177510,1711.372,-498.8829999999998,14.6,-20792,28063,60111,,-14721.317,42292.721000000005,84086.58699999998,28688.331000000006,58.75,85.6,78.88,99.04,false,false,10.76,8.43,20日累積後5日轉為調節；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；短線過熱或乖離過大
7,6177,達麗,TWSE,建材營造,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 46.83，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,63.2,75.6,63.6,85,100,完整,47.7,47.73,470.04,637.82,35.66,73.72,132.76,5.03,6.39,1.77,6.29,2,0,0,0,-11,-97,0,-826.143,-1400.8650000000002,-3822.1110000000003,161.07099999999906,0,0,-11.154,281.18899999999996,0,0,0,242.204,181.00300000000004,6.64,-903,-1751,-2956,,-885.598,-1643.069,-3991.9599999999996,-599.2379999999998,52.82,53.21,55.83,47.98,false,true,0.2,-0.1,外資持股5/10日下降，且外資5日賣超
8,2330,台積電,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 2,331.27 且法人籌碼轉弱，先減碼三分之一。",76.1,74.9,66.5,85,90.9,可用,2415,2442.5,44.69,37.01,58.1,31.5,248.83,22.08,32.47,10.63,0.91,68,771,1153,-246,19489,49638,-263,2923.671,4603.178000000001,11499.378999999997,-52833.844,587.054,1100.1609999999998,8720.08,16431.591000000004,4,1,2656888815,628.5730000000001,-22.563000000000557,69.17,2867,4288,-43215,,2626.903,2874.4439999999986,2801.8619999999974,-88614.83300000001,54,83.31,75.07,99.8,false,false,1.89,0.42,20日累積後5日轉為調節；主動ETF 5日轉為減碼；20日趨勢尚未上彎
9,6446,藥華藥,TWSE,生技醫療業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 1,084.05 且法人籌碼轉弱，先減碼三分之一。",78.7,74.8,69.1,85,100,完整,1440,1447.5,92.59,77.46,43.77,16.54,527.8,11.35,70.52,14.61,0.18,18,10,55,67,115,191,44,105.206,2677.379,1781.8519999999999,201.17999999999972,234,310.279,394.135,474.04299999999995,3,2,446801760,-66.08699999999999,-51.58499999999999,25.37,-505,2070,12599,,-102.241,2433.187,1439.3019999999997,-211.7580000000006,65.51,80.14,71.8,96.81,false,false,15.72,7.87,短線過熱或乖離過大
10,6491,晶碩,TWSE,生技醫療業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 339.19 且法人籌碼轉弱，先減碼三分之一。,73.1,74.8,66.8,85,100,完整,378,375.5,17.42,23.1,28.18,31.22,147.7,13.13,15.76,2.51,2.65,2,-5,2,166,237,214,166,96.499,929.8100000000001,2071.265,2025.7359999999994,-5,96,107,81,1,2,36288000,-7.0009999999999994,57.494,21.77,99,797,1783,,97.299,840.8109999999999,1906.771,1994.7579999999998,65.14,85.04,79.63,95.86,false,false,5.65,-0.26,ETF加碼金額或跨基金共識不足
