排名,代號,名稱,市場,產業,新部位建議,既有部位建議,既有部位說明,分數,信心度,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2027,大成鋼,TWSE,鋼鐵工業,可開始承接,續抱／回測可加碼,已有部位可續抱；回測20日EMA約 42.00 且ETF、外資與投信未轉弱時，才考慮下一批。,77.3,100,43.25,,43.73,30.28,18.07,41.61,366.04,1.17,12.65,1.28,3.47,9,1553,1994,1335,8785,44489,1845,10198.306,9422.087000000001,47698.991,62142.447,6250,732.925,5834.254000000001,39108.926999999996,2,3,31699006,348.15999999999997,3019.176,22.03,3560,8597,46290,,3551.338,8341.002,38845.560999999994,18525.309999999998,56.46,63.7,69.17,52.76,false,true,2.98,-1.14,
2,2357,華碩,TWSE,電腦及週邊設備業,可開始承接,續抱／回測可加碼,已有部位可續抱；回測20日EMA約 732.40 且ETF、外資與投信未轉弱時，才考慮下一批。,76.8,100,761,,55.63,38.85,5.71,52.83,148.3,13.19,13.6,1.97,5.52,43,352,1062,864,310,37,1,1697.651,4615.329,11464.501999999999,25878.368,52.328,454.082,-1319.5299999999997,-2818.5149999999994,3,2,345556402,289.767,1323.6180000000002,36.68,1652,2857,22463,,1574.587,3871.48,11460.414,28447.399,57.3,74.38,75.61,71.9,false,true,3.91,0.53,
3,2884,玉山金,TWSE,金融保險業,可開始承接,續抱／回測可加碼,已有部位可續抱；回測20日EMA約 35.43 且ETF、外資與投信未轉弱時，才考慮下一批。,68.5,100,36.5,,25.3,24.84,,93.91,,0.62,16.59,2.07,3.84,29,6815,10325,11047,33203,52736,9,4273.801,31116.936000000005,157397.332,256432.50699999998,997.327,3074.025,6728.657,11261.843,5,0,112201913,9388.501,23107.541,31.75,1349,14497,161052,,123.355,18654.410000000003,127561.13400000002,211775.909,63.09,69.62,68.94,70.96,true,false,3.01,1.25,
4,2615,萬海,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 80.77 且法人籌碼轉弱，先減碼三分之一。,74.5,100,85,,32.7,6.39,17.32,31.69,396.45,2.73,7.85,0.83,3.53,11,90,163,295,-200,587,0,4870.774,14192.140000000001,36821.363000000005,56464.50100000001,96.247,316.921,-187.377,594.608,4,0,26938285,-293.245,-337.14899999999994,44.52,5027,13878,56007,,4724.215,14168.464000000002,37345.889,55957.797000000006,57.66,63.12,64.73,59.91,false,true,3.04,-0.12,
5,6214,精誠,TWSE,資訊服務業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 135.00 且法人籌碼轉弱，先減碼三分之一。,74.5,100,144,,76.9,37,4.94,47.39,168.59,2.64,15.09,2.06,4.17,7,0,0,2,-6,254,0,435.738,1267.4559999999997,2703.046,6580.704,0,1.242,-6.268,478.73199999999997,1,0,178848,52.769,76.613,14.33,85,906,4469,,429.982,1213.445,2632.7009999999996,6017.665999999999,58.1,73.01,66.32,86.4,false,false,2.8,1.77,官方重大訊息出現高風險關鍵字，須查原文
6,2637,慧洋-KY,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 77.75 且法人籌碼轉弱，先減碼三分之一。,72.9,100,80.4,,57.92,32.32,27.6,40.19,109.87,1.6,11.31,1.19,4.35,8,0,7,26,771,-670,20,406.971,1333.9499999999998,3453.478,17158.978,202,1933,2895.653,3552.6530000000002,5,0,155413200,54.385999999999996,-207.349,24.59,280,-1638,6541,,279.742,-653.4359999999999,765.174,13567.212,50.93,51.27,52.23,49.35,false,true,-0.34,-3.83,當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識不足
7,2610,華航,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 20.82 且法人籌碼轉弱，先減碼三分之一。,72.5,100,21.7,,28.82,16.09,11.29,70.94,74.06,0.85,8.48,1.29,3.73,16,480,5600,7977,25243,70935,0,13936.239,67487.16100000001,92893.78700000001,72570.062,509,8038.205,12837.258,28517.807999999997,5,0,174429049,-231.40800000000007,-800.027,16.35,13459,53546,113757,,14106.422,59680.36400000001,80856.55600000001,47877.417000000016,53.98,57.64,47.89,77.13,true,false,1.69,1.64,20日趨勢尚未上彎
8,2812,台中銀,TWSE,金融保險業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 20.10 且法人籌碼轉弱，先減碼三分之一。,70.7,100,20.65,,16.56,22.61,,90.8,,0.4,13.32,1.33,5.13,7,11,53,90,2935,2845,0,-3858.981,20020.573,66271.14,96378.95000000001,11,89.951,2925.913,2901.906,5,0,1857488,528.452,504.21200000000005,9.44,-8851,8947,53067,,-4059.981,19402.17,62841.015,93328.42199999999,60.22,73.67,65.15,90.71,false,false,1.13,0.98,ETF加碼金額或跨基金共識不足
9,9945,潤泰新,TWSE,其他,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 25.89 且法人籌碼轉弱，先減碼三分之一。,70,100,26.05,,29.57,40.43,17.71,41.18,181.95,0.99,7.32,0.65,4.22,5,0,9,35,30,-419,0,2753.667,7895.521999999999,17545.886,7238.207999999999,0,35,30,-419,2,0,911750,67.945,-129.665,7.41,3681,7731,24175,,2700.045,7792.576999999999,17645.551,7643.025999999998,48.93,38.01,47.38,19.28,false,false,-0.56,-1.33,20日趨勢尚未上彎；當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識不足；單季稅前獲利對營業外貢獻依賴偏高
10,2618,長榮航,TWSE,航運業,等待確認,續抱觀察,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 39.87 且法人籌碼轉弱，先減碼三分之一。,69.3,100,41.45,,26.58,16.36,18.64,63.19,112.11,1.53,7.87,1.65,4.83,29,882,3025,146,-23116,5540,1,10249.494,85377.13299999999,129553.60299999997,337873.797,-2887.721,-3517.968,-32359.837,-19023.665,3,2,-145819774,1399.7959999999998,4804.498999999999,29.27,13265,88588,369901,,12757.838,87495.30500000001,157108.94100000002,356517.539,50.71,49.36,50.31,47.45,true,true,-0.25,-1.54,20日趨勢尚未上彎；當下除權息調整價未守20日EMA
