排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,持有判斷模式,今天動作,下一次確認,既有部位說明,主要原因,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2542,興富發,TWSE,建材營造,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 47.12 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,81.3,76.6,53.2,85,100,可用,48.25,48.33,196.59,404.28,24.76,77.72,140.2,2.45,11.26,2.08,8.22,11,3213,7275,8291,9983,17151,3281,6319.256,8790.318,16691.101,37135.824,3213,8300,9835.3,31246.9,5,0,403795000,304.571,843.3530000000001,8.71,3070,1566,533,,3082.247,185.74699999999996,6012.447999999999,525.056999999998,62.03,67.51,59.4,83.74,true,false,2.39,2.66,
2,2395,研華,TWSE,電腦及週邊設備業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 668.25 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,82.6,76.1,59.4,85,100,可用,715,712.5,87.58,40.26,19.04,40.5,171.12,9.05,42.69,10.59,1.66,34,89,327,291,850,2657,239,-96.221,1523.085,1756.4160000000002,-276.7089999999998,91,528.605,1100.309,4456.2570000000005,4,1,356279770,37.635000000000005,-82.47,35.49,-45,1107,759,,-146.628,956.8450000000001,738.5770000000001,-5099.325,63.25,65.83,60.81,75.87,true,true,7,6.88,
3,2603,長榮,TWSE,航運業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 230.65 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,76.3,74,66.6,85,100,可用,231,231.25,43.07,4.21,14.77,39.75,138.81,11.24,9.48,0.92,6.69,31,1264,2796,2595,1746,5455,1085,4102.731,4541.790999999999,29508.776,91308.75799999999,1494.395,1528.9809999999998,-4242.674,-6678.431,4,1,365426459,-623.9849999999999,-1523.1979999999999,26.87,2750,254,29625,,2444.378,3636.7950000000005,35274.648,99986.36200000001,53.31,32.45,39.99,17.37,false,false,0.15,-0.22,
4,3706,神達,TWSE,電腦及週邊設備業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 91.95 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,76.9,72.5,57.9,85,100,完整,92.6,92.7,49.73,45.52,3.96,56.75,189.14,2.58,16.34,1.59,4.37,14,1647,2211,3632,4822,7062,1425,-2231.939,8649.309000000001,11339.118000000002,17772.887000000002,1647,3633.6,4824.6,12498.6,5,0,332474400,740.155,822.2249999999999,9.75,-2933,1169,3651,,-3061.107,4275.554,5692.293000000001,2958.8400000000006,53.04,52.94,59.81,39.2,false,true,0.71,0.54,
5,6442,光聖,TWSE,通信網路業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,"已有部位可續抱；回測20日EMA約 1,596.23 且ETF、外資與投信未轉弱時，才考慮下一批。",未觸發明確減碼訊號,76.8,69.9,63.2,85,100,完整,1735,1767.5,49.25,30.48,29.66,31.99,217.81,19.07,52.37,10.63,0.64,9,190,195,163,50,-10,159,883.927,1763.888,1371.58,48.375999999999806,535,544,252,532,3,2,962880000,103.484,147.96599999999995,33.12,411,1108,903,,432.07,1116.404,971.614,-739.257,61.59,71.43,70.96,72.38,false,false,8.69,7.43,
6,2356,英業達,TWSE,電腦及週邊設備業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 65.85 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,77.1,69.5,40.9,85,100,可用,67.5,67.6,65.73,40.78,1.78,83.6,108.21,1.76,20.97,3,3.08,22,-242,260,1527,646,-2135,0,-147.101,8453.195,13050.844,31301.012000000002,-29,2593.159,1956.7890000000007,-14181.376999999999,4,1,168555335,-802.459,-1031.6849999999997,18.97,333,4383,9993,,575.995,6662.495000000001,12125.74,47218.386,55.38,57.13,49.82,71.76,true,true,2.51,4.01,
7,6177,達麗,TWSE,建材營造,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 47.28 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,82.6,84.7,64.8,85,100,完整,49.7,49.38,470.04,637.82,35.66,73.72,132.76,5.03,5.37,1.92,6.15,3,430,759,759,759,752,770,1859.767,1561.0510000000002,4367.983,6767.424000000001,430.005,715.534,715.534,634.8770000000001,3,1,34882283,-16.924999999999997,228.065,7.19,1454,1059,3387,,1425.762,862.442,3424.384,5706.870000000001,62.28,62.33,52.54,81.91,true,false,3.65,4.52,ETF加碼金額或跨基金共識不足
8,4967,十銓,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 259.55 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,74.1,83.2,71.9,85,100,完整,275,275.25,98.75,71.29,35.94,50.67,191.64,53.44,4.05,2.08,3.16,3,121,223,223,214,184,228,-1566.963,-605.9369999999999,175.15699999999993,-202.728,121,223,213.6,214.6,2,0,60767500,-156.345,-151.07500000000005,7.77,-1594,-649,383,,-1587.562,-672.5919999999998,112.63200000000029,-222.4439999999996,56.81,46.55,50.62,38.41,false,false,2.09,0.55,ETF加碼金額或跨基金共識不足
9,2637,慧洋-KY,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 85.98 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,74.8,82.7,69.6,85,100,可用,99.3,99.25,56.22,35.67,33.36,41.18,92.13,4.1,11.1,1.5,3.51,8,-5,104,96,-280,276,0,2489.132,3214.3970000000004,6120.0740000000005,12198.996000000001,115.448,305.907,-11716.062,-8233.196,3,2,30529519,144.00600000000003,220.63800000000003,28.06,2300,2138,17337,,2307.931,2764.4840000000004,17615.498,20016.691999999995,64.06,48.59,44.2,57.39,true,false,6.79,7.82,
10,3006,晶豪科,TWSE,半導體業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 241.39，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,74.8,82.1,74.8,85,100,可用,274.5,274.75,491.06,281.48,44.44,36.84,267.13,27.58,8.74,4.15,0.36,6,118,215,215,196,187,215,-1559.585,-4600.598999999999,-869.3579999999995,-5378.737,118,217,202,-47,2,0,60109000,117.39599999999999,651.4780000000001,41.59,-1449,-4824,-1526,,-1392.754,-4934.994999999999,-1722.8359999999986,-5062.448999999997,56.13,51.47,63.47,27.47,false,true,3.37,1.86,外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識不足
