排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,今天動作,下一次確認,既有部位說明,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,3034,聯詠,TWSE,半導體業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 529.79 且ETF、外資與投信未轉弱時，才考慮下一批。,80.3,70.4,58,85,100,可用,556,557,26.8,1.15,20.26,42.09,222.47,16.59,19.36,4.9,4.14,50,4,-34,160,256,-135,91,2337.468,6369.596999999999,6464.873999999998,18741.858999999997,3.922,147.404,488.90599999999995,-1302.3280000000002,4,1,81809220,184.608,28.564000000000007,43.32,2358,6271,33430,,2285.053,6037.585,5947.404,21687.918,61.79,73.3,60.35,99.2,false,false,4.95,4.12,
2,3260,威剛,TPEX,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 402.54 且法人籌碼轉弱，先減碼三分之一。,74.5,84.4,70.9,85,100,可用,414.5,416,331.29,206.73,38.98,62.91,181.44,62.46,5.41,3.44,4.06,14,468,550,641,339,581,342,-5937.032,-5937.032,-5937.032,-5937.032,468,468,468,468,1,0,195858000,-271.382,-271.382,25.29,,,,,-6133.65,-6133.65,-6133.65,-6133.65,53.3,55.11,53.82,57.71,false,false,1.84,4.94,外資持股趨勢資料不足或期間有非市場異動
3,2637,慧洋-KY,TWSE,航運業,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 83.32，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,75.2,81.8,70.6,85,100,可用,90.7,91.2,56.22,35.67,33.36,41.18,92.13,4.1,10.62,1.44,3.66,8,0,-375,228,202,-574,411,-2849.1,2821.344,4731.701000000001,11677.253,-6285,-11420.7,-11446.7,-10180.867,2,3,-1090676850,32.307,12.584000000000003,27.61,3753,15794,21910,,3437.484,14209.737000000001,16165.817000000001,21996.909,54.52,54.13,69.04,24.31,false,true,1.4,-1.2,投信5/10日持續且具金額意義的賣超；借券賣出與借券賣出餘額壓力升高
4,5289,宜鼎,TPEX,電腦及週邊設備業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 1,487.94 且法人籌碼轉弱，先減碼三分之一。",71.5,81.6,76.7,85,100,可用,1505,1500,636.53,548.79,56.13,48.99,233.33,166.45,8.39,6.25,1.13,10,1,34,52,78,190,51,-864.447,-864.447,-864.447,-864.447,1,1,1,1,1,0,1510000,-70.487,-70.487,27.94,,,,,-794.96,-794.96,-794.96,-794.96,51.5,50.65,52.7,46.56,false,true,1.17,-0.66,外資持股趨勢資料不足或期間有非市場異動；2日內除權息，等待價格重置
5,4967,十銓,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 255.83 且法人籌碼轉弱，先減碼三分之一。,67.4,80.2,71.8,85,100,完整,272,272.5,98.75,71.29,35.94,50.67,191.64,53.44,4.05,2.08,3.16,2,0,0,0,0,-59,0,-1188.555,-50.58399999999983,-2325.2409999999995,2916.2910000000006,0,0,0,113.7,0,0,0,-40.53900000000001,-168.336,7.69,-954,623,1498,,-1058.859,-10.044999999999902,-2156.9049999999997,3097.57,56.91,56.46,54.67,60.02,false,false,3.25,4.62,
6,6177,達麗,TWSE,建材營造,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 47.12 且法人籌碼轉弱，先減碼三分之一。,68.9,78.3,65.4,85,100,完整,48.3,48.35,470.04,637.82,35.66,73.72,132.76,5.03,5.3,1.89,6.24,2,0,0,0,-7,-18,0,1353.758,4286.829000000001,1677.7170000000006,4567.892000000001,0,0,-6.963,225.781,0,0,0,183.97400000000002,497.00399999999996,6.9,1321,3669,1173,,1317.758,4102.8550000000005,1187.6760000000004,3554.924,54.73,54.33,51,60.99,true,false,1.04,-0.21,20日趨勢尚未上彎
7,2027,大成鋼,TWSE,鋼鐵工業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 44.47 且法人籌碼轉弱，先減碼三分之一。,73.9,77.3,70.9,85,100,完整,49.85,50,46.12,32.56,19.7,43.68,295.53,3.1,9.98,1.49,2.96,9,-24,-23,311,-8162,-8007,307,226.415,11145.862000000001,46438.515,94285.84900000002,-24.17,259.83,-22251.17,-12768.613,1,3,13147398,-2237.737,-3536.883,25.85,-40,12939,148106,,266.55,13123.769,72226.568,111145.63200000001,61.87,67.97,73.21,57.51,false,true,3.89,-0.3,ETF 1/3日已轉為減碼
8,2476,鉅祥,TWSE,電子零組件業,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 120.03，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,77.1,77,73.5,85,100,完整,125.5,125.5,54.4,39.61,19.32,27.64,314.36,2.98,19.59,2.9,2.46,3,8,9,831,1312,1517,830,372.806,-1021.1089999999999,-1472.1949999999995,55.22300000000064,8,831,1312,1323,4,0,100135500,875.4010000000001,1250.3690000000001,7.92,49,-2109,-3582,,-60.001,-2727.51,-4034.5640000000003,-2603.7159999999994,56.22,51.28,37.81,78.21,true,false,3.99,5.46,外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識不足；借券賣出與借券賣出餘額壓力升高
9,2855,統一證,TWSE,金融保險業,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 45.66，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,70.8,76.8,70.2,85,100,可用,47.45,47.4,19.6,252.71,,87.34,112.56,6.96,10.34,1.77,4.57,11,1190,3140,4723,7714,13126,0,-6.65,-1254.181,614.5080000000003,-2814.795,1190,4706,7697,12661.061,5,0,217417200,0,0,6.71,-727,-5065,-17200,,-1196.65,-5960.1810000000005,-7082.492000000001,-15475.856000000003,55.71,50.18,51.6,47.33,false,false,2.59,3.49,外資持股5/10日下降，且外資5日賣超
10,2605,新興,TWSE,航運業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 32.80 且法人籌碼轉弱，先減碼三分之一。,61.9,76.3,80.7,85,100,完整,34.5,34.85,36.27,35.12,33.49,26.88,212.23,3.67,7.49,1.11,2.72,1,0,0,0,-2,0,0,-6370.992,-11553.682,-9254.736000000003,1345.462999999998,0,-7,-9,153,0,1,-256900,-3451.91,-1207.0799999999995,48.64,-5755,-7780,7083,,-6120.075,-8094.771999999999,-8038.655999999999,2010.3960000000002,54.48,60.98,70.7,41.56,false,true,1.19,-6.12,單季稅前獲利對營業外貢獻依賴偏高
