排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,今天動作,下一次確認,既有部位說明,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,8271,宇瞻,TWSE,半導體業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 217.90 且ETF、外資與投信未轉弱時，才考慮下一批。,76.3,82.4,68.8,85,100,完整,234.5,234.5,200.65,251.11,34.73,55.84,184.73,35.51,5.86,3.21,1.89,5,15,132,220,361,239,220,-1328.05,4374.004,7269.65,5191.636,15,220.102,363.102,241.10199999999998,3,1,51834021,-127.87899999999999,-187.083,11.87,-1436,3942,6662,,-1327.587,4281.781000000001,7093.631,4944.85,60.02,74.02,76.53,69.01,false,true,7.62,4.69,
2,2347,聯強,TWSE,電子通路業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 90.67 且ETF、外資與投信未轉弱時，才考慮下一批。,73.8,73.9,57.6,85,100,完整,91,91,135.45,77.39,2.49,70.33,142.57,4.12,12.57,1.77,4.57,23,147,1291,1285,2716,-9161,74,-43.538,1998.955,7462.253999999999,26202.088,148,1451.864,2003.363,-12176.760999999999,4,1,133426302,-878.7940000000001,-2284.518,29.84,52,1310,20133,,-18.833,1425.8849999999998,7742.409,37369.862,51.53,61.24,68.13,47.47,false,true,0.36,-2.99,
3,3017,奇鋐,TWSE,電腦及週邊設備業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,"已有部位可續抱；回測20日EMA約 2,524.89 且ETF、外資與投信未轉弱時，才考慮下一批。",76.7,71.7,48.2,85,90.7,可用,2760,2760,66.11,85.46,24.51,70.84,120.56,20.17,45.43,24.03,0.76,44,6,68,330,1544,2251,190,-114.558,5714.252,7505.707,7394.446000000001,120.179,2606.789,4153.484,6080.112,5,0,7207771585,30.849999999999994,279.00100000000003,53.1,-455,2734,2309,,-294.723,3076.613,3072.222,867.3489999999999,60.18,80.81,79.08,84.27,false,false,9.31,6.15,
4,2603,長榮,TWSE,航運業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 205.04 且ETF、外資與投信未轉弱時，才考慮下一批。,74.4,68,65.4,85,91,可用,218,218,30.01,-2.44,10.34,35.3,161.2,3.84,9.35,0.8,7.48,31,618,1616,1447,3384,197,1307,9922.113,12180.440999999999,24943.858,69136.573,620.648,1672.593,1615.6090000000002,-5111.258999999999,2,3,357934902,-159.049,656.0160000000001,22.21,9308,9979,38118,,9011.878,10666.897,22672.233,70742.801,67.99,84.82,77.33,99.82,false,false,6.32,5.83,
5,2605,新興,TWSE,航運業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 31.70 且法人籌碼轉弱，先減碼三分之一。,71.9,81.2,79.5,85,71,可用,32.75,32.75,51.62,32.98,35.32,22.98,186.53,0.66,15.84,1.1,3.02,1,0,0,0,2,187,0,1805.446,4703.192000000001,7444.406000000001,15215.744000000004,0,0,23,212,0,0,0,472.769,-225.89999999999998,49.97,1255,4230,10460,,1255,4230.423,7647.3060000000005,15860.82,59.27,76.25,66.22,96.29,false,false,3.58,4.8,
6,2408,南亞科,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 394.39 且法人籌碼轉弱，先減碼三分之一。,74.9,79.6,80.8,85,100,完整,489,489,621.34,643.12,69.08,16.78,691.01,23.38,19.48,5.37,0.27,36,-928,-1285,439,3350,9785,297,32226.308,78576.39,77274.723,47517.48,48.652,5341.5869999999995,3010.325,10843.913,3,2,2681476674,-661.8409999999999,629.8890000000001,14.8,27748,70821,73816,,30509.817,73896.644,73634.50899999999,33067.127,59.93,87.87,75.53,112.57,false,false,13.54,12.16,ETF 1/3日已轉為減碼；短線過熱或乖離過大；高波動且5日漲幅過大
7,2027,大成鋼,TWSE,鋼鐵工業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 42.11 且法人籌碼轉弱，先減碼三分之一。,75.2,76.9,69.3,85,91,可用,46.45,46.45,43.73,30.28,18.07,41.61,366.04,1.17,13.83,1.4,3.17,9,452,280,425,589,9852,1195,4062.794,27245.845,35019.864,95864.138,455.234,2439.9360000000006,6512.634000000002,9221.561000000003,3,2,115408973,-2225.663,-2393.131,23.14,4546,27847,64940,,3770.329,27031.572,30900.361000000004,85855.463,64.02,80.96,77.73,87.43,false,false,5.41,4.97,ETF加碼金額或跨基金共識不足
8,6691,洋基工程,TWSE,其他電子業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 692.30 且法人籌碼轉弱，先減碼三分之一。,79.8,76.9,52.2,85,91,可用,728,728,115.19,84.29,15.74,73.14,132.4,7.19,27.12,14.82,3.01,11,-6,85,87,101,401,92,-39.762,598.687,-224.349,-1454.427,-6,87,103,447,2,3,63684000,15.237000000000002,15.978000000000005,13.04,-24,496,-868,,-8.213,496.45000000000005,-343.32699999999994,-1905.5780000000002,55.6,77.2,66.88,97.86,false,false,3.68,7.22,ETF加碼金額或跨基金共識不足
9,2855,統一證,TWSE,金融保險業,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 45.10，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,67.5,76.7,72.5,85,90.7,可用,46.2,46.2,199.02,334.18,,84.35,116.12,1.43,10.26,1.76,4.6,11,970,2749,2707,5368,8754,-565,1571.126,707.2349999999998,938.8669999999997,-1968.4100000000005,966,2703,5416,8798.530999999999,4,1,123932550,0,0,7.3,242,-2211,-7872,,605.126,-1995.7650000000003,-4477.133,-10766.940999999999,52.45,82.52,73.26,101.03,false,false,2.23,3.24,主動ETF 5日轉為減碼；外資持股5/10日下降，且外資5日賣超；20日趨勢尚未上彎；ETF加碼金額或跨基金共識不足
10,9945,潤泰新,TWSE,其他,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 26.12 且法人籌碼轉弱，先減碼三分之一。,67.1,75.9,73.9,85,91,可用,27.05,27.05,29.57,40.43,17.71,41.18,181.95,0.99,7.65,0.68,4.04,5,0,0,0,-9,21,0,1752.151,-1830.226,13406.841,31583.079,0,0,-9,21,0,0,0,-161.95,-71.53800000000003,7.77,1817,232,22218,,1714.062,-1668.2759999999998,13487.378999999999,31603.362,57.62,67.83,61.57,80.35,true,false,1.82,1.31,單季稅前獲利對營業外貢獻依賴偏高
