排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,今天動作,下一次確認,既有部位說明,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2357,華碩,TWSE,電腦及週邊設備業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 845.04 且ETF、外資與投信未轉弱時，才考慮下一批。,75.1,72.6,56.6,85,100,可用,902,904.5,53.33,40.88,7.05,62.01,128,38.83,13.3,2.24,4.62,43,443,545,562,839,2475,192,-134.361,8465.355000000001,13563.060000000001,25514.579999999998,488.307,752.9570000000001,309.4530000000001,1041.471,3,2,685190870,117.89099999999999,133.946,39.04,-1027,7472,12577,,-587.204,7594.5070000000005,13119.661,23559.76,61.42,60.39,71.97,37.21,false,true,6.74,5.87,
2,2542,興富發,TWSE,建材營造,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 45.25 且ETF、外資與投信未轉弱時，才考慮下一批。,74.4,72.4,53.2,85,100,可用,47.8,47.93,196.59,404.28,24.76,77.72,140.2,2.45,11.05,2.04,8.38,10,891,3763,5489,7950,21294,0,10908.419,25154.513,25958.430999999997,29305.153999999995,883,5481,7942.051,21303.651,5,0,261717750,457.22900000000004,477.2630000000001,8.61,6735,15079,11584,,9866.323,19216.284000000003,17539.117000000006,2365.7680000000064,75.41,93.15,89.6,100.26,false,false,5.63,6.7,
3,3006,晶豪科,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 225.25 且法人籌碼轉弱，先減碼三分之一。,66.7,79.3,75.8,85,100,可用,237.5,242.25,491.06,281.48,44.44,36.84,267.13,27.58,7.82,3.71,0.4,5,-1,-1,-1,5,-144,0,-1271.931,748.8240000000001,19367.470999999998,23646.407,-1,-1,4.285,-136.715,0,1,-248000,-733.1049999999999,-534.8819999999998,42.48,-708,1098,19521,,-667.531,1482.929,19898.068,24437.900999999998,50.01,42.75,66.24,-4.24,false,true,-1.95,-13.32,ETF 1/3日已轉為減碼
4,5289,宜鼎,TPEX,電腦及週邊設備業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 1,478.59 且法人籌碼轉弱，先減碼三分之一。",66.1,77.9,76.8,85,100,可用,1455,1472.5,636.53,548.79,56.13,48.99,233.33,166.45,8.11,6.04,1.17,11,29,27,26,52,125,30,-351.419,-351.419,-351.419,-351.419,14.935,14.935,14.935,14.935,1,0,21805100,-50.182,-50.182,27.12,,,,,-316.172,-316.172,-316.172,-316.172,49.47,33.36,46.28,7.53,false,false,-0.11,-4.28,外資持股趨勢資料不足或期間有非市場異動；ETF加碼金額或跨基金共識不足
5,8271,宇瞻,TWSE,半導體業,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 210.75，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,62.3,77.1,69.6,85,100,完整,215.5,216.25,164.99,235.51,34.73,55.84,184.73,35.51,5.55,3.04,2,5,0,0,0,133,299,0,22.319,-3244.914,-441.7870000000005,3069.075,0,0,131.818,300.42,0,0,0,-52.241,-254.716,9.62,9,-2920,-299,,-24.082,-3192.673,-318.8889999999999,2994.8570000000004,48.14,21.8,40.69,-15.99,false,false,-2.72,-7.11,外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
6,2615,萬海,TWSE,航運業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 84.56 且法人籌碼轉弱，先減碼三分之一。,72.8,76.4,79.2,85,100,可用,102.5,104.25,50.13,12.83,22.16,33.53,299.27,6.84,7.21,1.02,2.86,12,784,752,742,711,1024,782,888.038,37599.030000000006,53620.832,78484.79,820.324,777.9359999999999,740.5309999999998,1119.5099999999998,1,4,81683280,2610.3820000000005,3745.3160000000007,46.46,-1980,32381,48186,,-814.467,34210.712,49134.985,74234.296,76.55,82.38,79.03,89.07,false,false,14.02,17.68,短線過熱或乖離過大；ETF加碼金額或跨基金共識不足
7,4967,十銓,TWSE,半導體業,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,今天收盤後；若跌破，再看下一交易日是否收復,已有部位暫停加碼；若收盤跌破60日EMA約 252.67，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,59.2,76.4,72.6,85,100,完整,256,256.25,98.75,71.29,35.94,50.67,191.64,53.44,3.74,1.92,3.42,2,0,0,0,-30,-59,0,-850.203,-2274.6569999999997,1744.0420000000006,2748.5050000000006,0,0,-30.3,-57.29,0,0,0,-127.79699999999998,-41.35299999999997,6.95,-881,-2413,-745,,-801.627,-2146.8599999999997,1815.6950000000004,2605.6519999999996,50.78,30.94,51.7,-10.56,false,false,-0.32,-8.41,外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA
8,2467,志聖,TWSE,電子零組件業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 544.14 且法人籌碼轉弱，先減碼三分之一。,76.8,75.7,57.9,85,100,完整,549,546,132.73,87.05,26.06,44,119.58,7.16,56.29,5.62,0.98,9,44,43,43,43,-75,45,25.488,1160.519,1333.73,1561.6269999999997,43.702,42.71,-11.916,-124.23700000000001,2,1,24088440,-10.721,-2.959000000000003,20.92,-57,1002,1282,,-5.233,1128.5300000000002,1348.605,1474.4359999999997,51.24,63.18,70.62,48.3,true,true,1.73,-0.54,ETF加碼金額或跨基金共識不足
9,7750,新代,TWSE,電機機械,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 2,175.45 且法人籌碼轉弱，先減碼三分之一。",78.8,75.3,60.5,85,100,完整,2370,2397.5,202.65,95.42,27.76,45.28,228.69,42.53,42.8,13.28,0.64,5,83,83,83,82,204,83,182.605,216.77299999999997,1.147999999999982,294.564,83,83,46.64,235.64,1,0,206670000,11.341999999999999,12.777999999999997,17.87,84,127,-36,,85.552,122.43100000000001,-58.269999999999996,46.931000000000004,55.51,54.9,62.8,39.11,false,false,3.64,-0.84,ETF加碼金額或跨基金共識不足
10,2360,致茂,TWSE,其他電子業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 2,081.63 且法人籌碼轉弱，先減碼三分之一。",74.5,73.9,60.6,85,100,可用,2100,2092.5,175.26,101.53,39.54,47.08,167.28,21.27,58.8,29.6,0.85,48,39,-38,91,-24,1456,182,73.816,808.606,944.004,-1718.422,61.592,392.458,-1032.937,1824.3940000000002,4,1,904615690,-10.979000000000006,-144.02200000000002,58.57,18,321,1966,,51.918,427.12700000000007,2120.9629999999997,-3542.335000000001,49.83,65.66,73.3,50.38,false,true,-0.82,-4.33,當下除權息調整價未守20日EMA
