排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,今天動作,下一次確認,既有部位說明,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,8271,宇瞻,TWSE,半導體業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 216.15 且ETF、外資與投信未轉弱時，才考慮下一批。,75.3,82,68.8,85,100,完整,235.5,235.5,200.65,251.11,34.73,55.84,184.73,35.51,5.86,3.21,1.89,5,0,117,345,346,304,345,191.898,4124.508,8732.72,6482.121,0,345.102,348.102,306.102,3,1,81271521,-115.14,-193.97900000000004,12.98,263,7128,6855,,329.839,3894.5460000000003,8578.597,6149.011999999999,60.59,76.34,77.78,73.45,true,true,8.95,7.29,
2,2347,聯強,TWSE,電子通路業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 90.64 且ETF、外資與投信未轉弱時，才考慮下一批。,74.6,74.2,57.1,85,100,完整,91.9,91.9,135.45,77.39,2.49,70.33,142.57,4.12,12.78,1.8,4.5,23,1109,1107,1168,2599,-9204,87,-109.164,1753.144,7464.753,34075.001,1111.368,1197.363,1897.363,-12318.760999999999,3,2,111833704,-767.4710000000001,-2043.6520000000003,29.84,-1397,10969,27950,,-1420.444,1323.252,7611.0419999999995,48861.562999999995,53.36,68.5,71.57,62.37,false,true,1.39,0.22,
3,3017,奇鋐,TWSE,電腦及週邊設備業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,"已有部位可續抱；回測20日EMA約 2,500.15 且ETF、外資與投信未轉弱時，才考慮下一批。",76,71.2,48.2,85,90.7,可用,2765,2765,66.11,85.46,24.51,70.84,120.56,20.17,45.76,24.2,0.75,44,-23,239,596,1559,2269,438,243.505,7269.009,7556.990999999999,6751.660999999998,527.2,3057.61,4201.3640000000005,5782.97,5,0,8515443850,15.003000000000007,232.02800000000005,53.21,-414,3833,425,,-239.96,4196.396,3123.599,615.1979999999999,60.4,82.18,78.22,90.11,false,false,10.59,8.43,
4,2603,長榮,TWSE,航運業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 203.68 且ETF、外資與投信未轉弱時，才考慮下一批。,75.8,69.2,65.2,85,91,可用,214,214,30.01,-2.44,10.34,35.3,161.2,3.84,9.07,0.77,7.71,31,1152,888,538,2830,-1324,929,3584.062,5856.222,15899.590999999999,62423.806000000004,1183,555.6869999999999,1073.1599999999999,-6789.159,1,4,115305052,-494.111,275.18399999999997,21.78,2669,9737,38475,,2472.468,5794.646000000001,14551.247,66176.061,64.6,82.11,73.58,99.18,false,false,5.07,3.13,
5,2451,創見,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 275.35 且法人籌碼轉弱，先減碼三分之一。,66.3,82.3,87.3,85,100,完整,295.5,295.5,381.55,422.17,73.7,28.68,309.01,46.63,5.17,3.33,3.97,18,-4,-23,-169,8,-1746,-9,2917.009,2040.0710000000008,2662.651000000001,-2868.720999999999,-4,-166.17600000000002,21.823999999999984,-1676.176,0,5,-49354272,-131.053,-31.108999999999995,11.16,2929,966,1083,,3001.646,2337.3,2671.935999999999,-1244.2450000000013,60.04,87.44,84.24,93.84,true,false,7.53,5.16,ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼
6,2605,新興,TWSE,航運業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 31.66 且法人籌碼轉弱，先減碼三分之一。,74,82.1,79.3,85,71,可用,33.1,33.1,51.62,32.98,35.32,22.98,186.53,0.66,15.57,1.08,3.07,1,0,0,0,6,187,0,1058.733,4535.562,5493.397999999999,14281.597,0,4,27,212,1,0,130200,-101.22400000000002,-1315.271,49.75,813,7431,9671,,813.453,4632.786,6781.669,15481.283000000001,62.28,75.13,61.21,102.96,false,false,5.09,6.09,
7,2408,南亞科,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 391.04 且法人籌碼轉弱，先減碼三分之一。,75.2,80.1,81.8,85,100,完整,502,502,621.34,643.12,69.08,16.78,691.01,23.38,17.73,4.89,0.3,36,41,478,1521,4377,11599,1216,2492.038,59860.912,45604.624,-12240.325999999994,-21,5191.87,3166.3889999999997,12195.906,2,3,2372684590,-1606.7799999999997,-761.3699999999999,13.9,-1156,38314,12005,,2147.57,56275.82200000001,43199.605,-26471.322999999997,62.25,85.42,69.35,117.56,false,false,18.25,26.61,短線過熱或乖離過大；高波動且5日漲幅過大；融資增幅與短線漲幅同步偏高
8,3006,晶豪科,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 215.14 且法人籌碼轉弱，先減碼三分之一。,69.2,78.3,74.5,85,100,完整,275.5,275.5,328.35,242.62,44.44,36.84,267.13,27.58,8.09,3.84,0.39,4,15,15,15,27,-362,0,1829.085,23022.77,15891.243000000004,16740.069000000003,15,15,32,-357,1,0,3847500,718.484,202.6330000000001,40.53,1634,13551,12657,,1792.25,22289.286,15656.610000000002,17870.025000000005,66.2,88.27,74.94,114.91,false,false,24.13,39.14,短線過熱或乖離過大；高波動且5日漲幅過大；ETF加碼金額或跨基金共識不足
9,9945,潤泰新,TWSE,其他,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 26.09 且法人籌碼轉弱，先減碼三分之一。,68.8,77.1,73.9,85,91,可用,27.25,27.25,29.57,40.43,17.71,41.18,181.95,0.99,7.51,0.67,4.11,5,0,0,-5,0,21,0,2737.533,-4710.752,13318.993,28662.551000000003,0,-5,0,21,0,1,-133750,-368.75199999999995,-58.321999999999974,7.71,2327,16255,27398,,2558.147,-4337,13377.314999999999,28705.406,60.54,65.38,58.44,79.27,true,false,2.77,1.11,20日累積後5日轉為調節；單季稅前獲利對營業外貢獻依賴偏高
10,3706,神達,TWSE,電腦及週邊設備業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 88.19 且法人籌碼轉弱，先減碼三分之一。,80.8,77,62.1,85,91,可用,92.9,92.9,80.93,44.8,3.72,50.24,171.44,1.1,17.5,1.83,4.36,15,-171,548,512,1774,9300,727,-2093.546,22853.456,20673.136,31085.19099999999,-171,519,1806,9622,2,3,47592300,307.9,-450.912,9.28,-2723,16758,21560,,-1837.275,22026.556,19318.048,22441.838999999996,58.09,80.3,71.1,98.7,false,false,3.11,3.8,ETF加碼金額或跨基金共識不足
