排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,持有判斷模式,今天動作,下一次確認,既有部位說明,主要原因,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,2395,研華,TWSE,電腦及週邊設備業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 667.87 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,83.9,76.5,59.4,85,100,可用,711,711,87.58,40.26,19.04,40.5,171.12,9.05,45.03,11.17,1.57,34,62,86,382,920,2729,426,1380.066,3019.615,3240.9139999999998,4445.909000000001,340,907.746,1452.478,3818.617,5,0,645407406,127.55799999999999,72.10900000000001,35.6,992,2192,1847,,945.509,1984.311,1716.3269999999998,782.4959999999998,62.65,64.1,60.23,71.83,true,true,6.46,6.28,
2,5876,上海商銀,TWSE,金融保險業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 44.11 且ETF、外資與投信未轉弱時，才考慮下一批。,未觸發明確減碼訊號,75.6,70.7,64.9,85,100,可用,46.3,46.3,19.61,1.29,,88.62,,2.08,13.08,1.05,3.89,18,685,2451,2091,852,24,5496,2703.771,20824.451,18577.751,23613.617,727,3147.944,2577.744,4021.33,3,2,145749807,-1280.473,-1697.3709999999999,55.07,1849,19175,18446,,1968.611,18956.980000000003,17697.378000000004,23056.875000000007,67.94,88.37,76.09,112.93,false,false,4.97,7.3,
3,6442,光聖,TWSE,通信網路業,可開始承接,符合加碼條件,add,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,"已有部位可續抱；回測20日EMA約 1,598.14 且ETF、外資與投信未轉弱時，才考慮下一批。",未觸發明確減碼訊號,77.1,70.6,63.4,85,100,完整,1755,1755,49.25,30.48,29.66,31.99,217.81,19.07,51.92,10.54,0.64,9,0,189,195,50,98,191,-549.42,1130.7160000000001,1000.356,1115.74,-105,471,147,1161.046,3,2,826605000,143.61399999999998,161.00499999999997,32.49,-502,462,593,,-467.559,516.102,692.351,-234.18400000000014,63.26,72.79,71.41,75.55,false,false,9.82,8.67,
4,6177,達麗,TWSE,建材營造,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 47.27 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,83.1,84.6,64.5,85,100,完整,49.2,49.2,470.04,637.82,35.66,73.72,132.76,5.03,5.42,1.94,6.1,3,109,521,868,868,861,839,688.327,2450.867,3623.6320000000005,2569.4470000000006,108.423,817.957,823.957,816.994,3,1,40243484,-112.38,110.075,7.31,543,1873,2645,,578.904,1745.29,2689.6000000000004,1247.375000000001,59.83,57.35,50.88,70.3,true,false,2.71,3.47,ETF加碼金額或跨基金共識不足
5,4967,十銓,TWSE,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 259.58 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,78.6,84,71.6,85,100,完整,276,276,98.75,71.29,35.94,50.67,191.64,53.44,4.1,2.1,3.12,3,21,142,244,235,205,249,760.065,471.5770000000001,-400.793,-2281.452999999999,21,244,234.6,204.6,3,0,67344000,-93.755,-236.56799999999998,8.76,835,361,-79,,740.723,321.33200000000005,-398.82499999999976,-2093.665,57.44,48.4,51.24,42.73,false,false,2.42,0.91,ETF加碼金額或跨基金共識不足
6,2637,慧洋-KY,TWSE,航運業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 85.99 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,75.4,82.8,69.4,85,100,可用,99.8,99.8,56.22,35.67,33.36,41.18,92.13,4.1,11.1,1.5,3.51,8,9,4,111,-92,298,0,-501.83,3928.645,1655.7489999999993,9582.285,6.721,318.628,-11530.341,-11142.508,4,1,31799074,139.857,36.10399999999999,28,-469,3458,12262,,-469.107,3470.1600000000003,13149.986,20653.142000000003,65.12,49.71,44.57,59.98,true,false,7.27,8.36,
7,3006,晶豪科,TWSE,半導體業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 241.52，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,74.5,81.9,74.8,85,100,可用,278.5,278.5,491.06,281.48,44.44,36.84,267.13,27.58,8.78,4.17,0.36,6,20,138,235,216,192,235,-5123.6,-8878.545999999998,-7272.568999999998,-2374.6009999999974,18,235,216,192.285,3,0,65447500,196.909,437.908,39.99,-4734,-8998,-7514,,-5051.999,-9310.454999999998,-7926.476999999999,-1954.8089999999975,57.73,54.17,64.37,33.76,false,true,4.73,3.34,外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識不足；借券賣出與借券賣出餘額壓力升高
8,2451,創見,TWSE,半導體業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 283.95，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,63.4,80.3,88.8,85,100,可用,284.5,284.5,307.66,402.68,73.7,28.68,309.01,46.63,4.95,3.19,4.14,17,7,-108,18,51,-537,0,-1394.04,-2459.873,-8042.611999999999,1642.0690000000006,6,16.799999999999997,49.39999999999999,-540.942,2,3,4779600,-20.489,-306.356,11.22,-1287,-2556,-9098,,-1387.388,-2456.1839999999997,-7785.656,2375.009,47.26,20.38,30.75,-0.37,false,false,-2.22,-3.23,外資持股5/10日下降，且外資5日賣超；當下除權息調整價未守20日EMA；ETF加碼金額或跨基金共識不足
9,2027,大成鋼,TWSE,鋼鐵工業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 45.49，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,73.9,79.5,71.2,85,100,完整,50.2,50.2,46.12,32.56,19.7,43.68,295.53,3.1,9.9,1.48,2.99,9,2572,5994,10739,10380,2437,-2084,-2185.031,6078.067,3586.036,49308.2,2590,11300,11270.83,-10527.583999999999,5,0,567260000,113.40099999999997,-650.678,25.48,-4068,-5411,-7641,,-4372.029,-5335.334000000001,-7034.116000000002,64729.21,61.18,50.17,44.77,60.96,true,false,2.97,3.72,主動ETF 5日轉為減碼；外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識不足
10,2605,新興,TWSE,航運業,等待確認,保護持有,protect,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 33.31，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,外資持股5/10日下降且外資5日賣超,67,78.4,80.4,85,100,完整,35.85,35.85,36.27,35.12,33.49,26.88,212.23,3.67,7.32,1.09,2.79,1,0,0,0,0,-2,0,-1037.284,43.51999999999964,-8172.081000000001,-8771.568000000001,-5,-4,-3,-12,1,1,-143400,781.772,-1035.458,48.14,-2381,-2677,-8556,,-727.957,-734.2519999999998,-7133.623,-7897.983999999999,59.78,26.5,30.53,18.44,false,false,3.4,2.28,外資持股5/10日下降，且外資5日賣超；單季稅前獲利對營業外貢獻依賴偏高
11,3260,威剛,TPEX,半導體業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 403.47 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,62.6,76.3,71.1,85,100,可用,400.5,400.5,331.29,206.73,38.98,62.91,181.44,62.46,5.18,3.3,4.24,15,66,59,233,728,516,165,-1542.199,-1542.199,-1542.199,-1542.199,66,66,66,66,1,0,26433000,1.065,1.065,22.26,,,,,-1609.264,-1609.264,-1609.264,-1609.264,47.23,23.35,32.82,4.41,false,false,-1.68,-2.79,外資持股趨勢資料不足或期間有非市場異動；當下除權息調整價未守20日EMA
12,2855,統一證,TWSE,金融保險業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 46.45 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,67.9,75.9,71.6,85,100,可用,50.7,50.7,19.6,252.71,,87.34,112.56,6.96,5.26,1.69,4.16,11,2,2475,4859,7369,14511,0,-414.661,1644.7440000000001,3826.171000000001,7264.840000000001,218.818,5078.139,7589.879,14714.94,5,0,257461647,0,0,6.96,3370,-543,1211,,-633.479,-3433.395,-3763.708,-7450.1,66.51,89.58,83.46,101.8,false,false,5.63,4.43,
13,2467,志聖,TWSE,電子零組件業,等待確認,正常持有,standard,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 558.85 且法人籌碼轉弱，先減碼三分之一。,未觸發明確減碼訊號,75.9,75.4,57.6,85,100,完整,603,603,132.73,87.05,26.06,44,119.58,7.16,60.18,6.01,0.91,9,19,88,138,135,-290,139,-26.438,194.323,1212.323,2392.9170000000004,18,170.071,142.071,-300.019,4,1,102552813,-62.224000000000004,-17.662000000000006,21.7,-14,39,900,,-15.113,86.476,1087.9140000000002,2720.6440000000007,57.27,72.15,70.7,75.07,false,false,4.83,-1.15,ETF加碼金額或跨基金共識不足
