排名,代號,名稱,市場,產業,新部位建議,既有部位狀態,今天動作,下一次確認,既有部位說明,短期時機分數,中期研究分數,長期初篩分數,長期方法覆蓋率%,資料健康度,資料健康狀態,收盤價,即時價,營收YoY%,累計營收YoY%,營益率%,負債比%,流動比率%,EPS,本益比,股價淨值比,殖利率%,ETF家數,ETF_1日增減張,ETF_3日增減張,ETF_5日增減張,ETF_10日增減張,ETF_20日增減張,主動ETF_5日增減張,法人1日張,法人5日張,法人10日張,法人20日張,投信買賣超1日張,投信買賣超5日張,投信買賣超10日張,投信買賣超20日張,投信5日買超天數,投信5日賣超天數,投信5日估算金額,自營商買賣超5日張,自營商買賣超10日張,外資持股比率%,外資持股1日增減張,外資持股5日增減張,外資持股10日增減張,外資持股20日增減張,外資買賣超1日張,外資買賣超5日張,外資買賣超10日張,外資買賣超20日張,RSI14,KD-K,KD-D,KD-J,KD近3日黃金交叉,KD近3日死亡交叉,距20EMA%,5日報酬%,淘汰原因
1,8271,宇瞻,TWSE,半導體業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 214.11 且ETF、外資與投信未轉弱時，才考慮下一批。,76.7,82.8,69.2,85,100,完整,235.5,235.5,200.65,251.11,34.73,55.84,184.73,35.51,6.14,3.37,1.8,5,117,205,345,346,393,345,3066.56,6787.813,6344.645,6010.098000000001,117,346.102,348.102,395.102,4,1,85487194,124.051,-74.16100000000002,12.77,2826,6140,7312,,2922.331,6317.66,6070.704,5424.335999999999,60.58,78.79,78.5,79.37,true,true,9.99,5.61,
2,3231,緯創,TWSE,電腦及週邊設備業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 172.21 且ETF、外資與投信未轉弱時，才考慮下一批。,76.3,69.7,45.6,85,91,可用,182.5,183.5,53.85,94.01,3.44,81.27,120.01,3.06,19.01,3.17,2.9,45,-222,4785,13578,25390,17421,11666,-11080.563,99369.77699999999,161796.48799999998,282364.986,-38,23838.869,44233.905,27857.889,4,1,4517465676,-665.6280000000004,-545.2260000000003,33.87,-12192,80297,255243,,-10142.679,76196.536,118107.809,247313.87199999997,59.16,70.41,75.01,61.22,false,true,5.97,3.69,
3,4904,遠傳,TWSE,通信網路業,可開始承接,符合加碼條件,只在回測承接區且法人未轉弱時分2–3批,回測時與每個交易日收盤後,已有部位可續抱；回測20日EMA約 102.98 且ETF、外資與投信未轉弱時，才考慮下一批。,72.3,67.1,55.9,85,91,可用,103.5,103,15.9,10.14,17.63,45.96,92.82,1.03,25.89,3.84,3.74,35,615,171,2198,2946,1597,222,851.238,10765.686,43644.891,79073.40800000001,919,1179.895,-417.3390000000001,-8219.288,3,2,120349290,-69.88499999999999,991.652,19.47,-188,9304,60289,,-92.244,9655.676,43070.577999999994,80770.627,51.76,32.36,37.57,21.93,false,false,0.51,-1.43,
4,2451,創見,TWSE,半導體業,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 274.88，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,70.7,83.7,88,85,100,完整,297,297,381.55,422.17,73.7,28.68,309.01,46.63,5.1,3.29,4.02,18,-1,-158,28,12,-1576,-9,3572.949,2059.5060000000008,-3095.5819999999994,-6199.945,-1,33.823999999999984,28.823999999999984,-1507.176,1,4,9910432,43.115,155.376,10.48,3540,1694,-1256,,3467.551,1982.5669999999996,-3279.782000000001,-4876.936000000001,60.82,86.55,82.64,94.37,true,true,8.94,1.37,ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；KD高檔死亡交叉，等待動能確認；ETF加碼金額或跨基金共識不足
5,2605,新興,TWSE,航運業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 31.60 且法人籌碼轉弱，先減碼三分之一。,74.4,82.5,79.5,85,71,可用,32.6,32.55,51.62,32.98,35.32,22.98,186.53,0.66,15.31,1.06,3.13,1,0,0,2,6,187,0,-701.356,3635.9709999999995,5398.189,12733.436,0,11,33,211,2,0,352000,-420.755,-1666.096,49.62,-344,3986,8041,,-344.03,4045.7260000000006,7031.285,14135.830000000002,59.54,69.54,54.43,99.77,true,false,4.04,7.41,ETF加碼金額或跨基金共識不足
6,2408,南亞科,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 387.35 且法人籌碼轉弱，先減碼三分之一。,77.5,82.1,82,85,100,完整,457,457,621.34,643.12,69.08,16.78,691.01,23.38,17.81,4.91,0.29,36,-398,1326,1862,2486,12178,1276,9348.41,54882.399999999994,26131.489,5201.167000000005,-251,5212.87,1346.3209999999997,15466.906,2,2,2392707330,-1975.4409999999996,-2920.7239999999997,13.94,7423,53787,39604,,9183.766,51644.971,27705.891999999996,-13188.893000000004,56.88,78.13,61.32,111.77,false,false,9.76,26.77,短線過熱或乖離過大；高波動且5日漲幅過大；融資增幅與短線漲幅同步偏高
7,3006,晶豪科,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 213.19 且法人籌碼轉弱，先減碼三分之一。,67.7,78.4,74.6,85,100,完整,255,256.5,328.35,242.62,44.44,36.84,267.13,27.58,8.14,3.86,0.39,4,0,0,0,12,-380,0,7952.838,21009.081000000002,12792.104000000005,23385.457000000002,0,0,20,-376,0,0,0,739.888,166.51600000000005,39.98,7832,20346,15974,,7835.095,20269.193,12605.588,24336.958000000002,61.77,84.4,68.12,116.97,false,false,17.97,41.67,短線過熱或乖離過大；高波動且5日漲幅過大
8,2344,華邦電,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 156.83 且法人籌碼轉弱，先減碼三分之一。,76.3,77.6,63.6,85,100,完整,163.5,163.5,189.88,139.2,42.34,40.78,159.78,7.65,18.85,4.66,0.29,35,90,2737,3999,9095,12075,2178,-17245.361,25797.673,-2936.359000000002,-50507.83700000001,399.142,11330.172999999999,-14719.85,-25322.427,3,2,1937459583,-139.59900000000007,2486.7879999999996,17.51,-21332,7580,-15997,,-18757.025,14607.098999999998,9296.703000000001,-31660.277999999995,51.38,75.33,58.06,109.87,false,false,3.3,25.77,20日趨勢尚未上彎；短線過熱或乖離過大；高波動且5日漲幅過大；融資增幅與短線漲幅同步偏高
9,3706,神達,TWSE,電腦及週邊設備業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 87.99 且法人籌碼轉弱，先減碼三分之一。,81.2,77.4,62.6,85,91,可用,91.6,91.7,80.93,44.8,3.72,50.24,171.44,1.1,17.73,1.86,4.31,15,476,698,739,1945,9471,727,8275.372,26003.076,23409.432,29910.758,476,754,1986,9791,3,2,70046600,580.409,-674.9549999999999,9.48,6247,22361,25521,,7494.432,24668.667,22098.387,21248.182999999997,55.28,75.37,66.39,93.32,false,false,2.02,4.81,ETF加碼金額或跨基金共識不足
10,9945,潤泰新,TWSE,其他,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 26.05 且法人籌碼轉弱，先減碼三分之一。,67.8,76.5,73.9,85,91,可用,26.9,26.75,29.57,40.43,17.71,41.18,181.95,0.99,7.4,0.66,4.17,5,0,0,-5,26,21,0,-857.236,56.426000000000386,11946.715,28676.791000000005,0,-5,26,21,0,1,-131750,-400.01000000000005,-242.57300000000006,7.63,378,1797,20650,,-756.5,461.4359999999997,12163.288,28890.259000000002,56.89,57.05,55.83,59.49,true,true,1.69,-0.55,20日累積後5日轉為調節；單季稅前獲利對營業外貢獻依賴偏高
11,2527,宏璟,TWSE,建材營造,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 41.25，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,65.7,75.7,74.6,85,91,可用,47,47.1,365.12,2533.23,24.56,35.23,156,3.45,9.06,0.56,3.26,1,0,0,1,3,86,0,40.385,-947.988,-1399.789,2362.071,0,1,3,86,1,0,45950,5.13600000000001,78.045,43.83,76,-824,-990,,43.038,-954.124,-1480.834,2146.146,57.09,57.87,44.27,85.09,true,false,5.56,5.5,外資持股5/10日下降，且外資5日賣超；ETF加碼金額或跨基金共識不足；官方重大訊息出現高風險關鍵字，須查原文
12,2330,台積電,TWSE,半導體業,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 2,322.63 且法人籌碼轉弱，先減碼三分之一。",76,75.5,66.1,85,90.9,可用,2370,2370,67.87,35.61,58.1,31.5,248.83,22.08,31.8,10.41,0.93,68,-832,85,10372,32144,54321,3615,-4677.227,3599.5289999999986,-21163.824,-87194.84999999999,-82.362,6598.19,10590.943,17067.007,3,2,15604719350,-2872.0819999999994,10497.854,69.14,-3188,1709,-52129,,-4011.452,-126.57899999999972,-42252.621,-126137.56199999999,50.57,72.21,62.46,91.71,false,false,0.4,-2.27,20日趨勢尚未上彎
13,2376,技嘉,TWSE,電腦及週邊設備業,等待確認,保護持有,今天不新增部位；未完成確認前不機械式賣出,下一交易日收盤，確認是否收復防守區,已有部位暫停加碼；若收盤跌破60日EMA約 328.70，且下一交易日仍未收復，先減碼三分之一；若ETF或外資繼續轉弱，再分批降低部位。,75.2,75,54.1,85,91,可用,343,344,68.55,48.36,7.06,72.95,137.4,7.86,16.07,3.57,3.49,31,-267,-346,-81,1300,4873,-6,1691.759,13377.556,10600.076000000003,9606.463000000002,-234,-154.336,-510.0879999999999,2066.7610000000004,2,3,-53091584,-2499.897,-2561.1499999999996,22.57,2800,17646,10664,,1907.004,16031.788999999999,13671.313999999998,8317.811999999998,53.27,64.25,53.89,84.97,true,false,1.78,1.93,20日累積後5日轉為調節；ETF 1/3日已轉為減碼；主動ETF 5日轉為減碼；投信5/10日持續且具金額意義的賣超
14,7750,新代,TWSE,電機機械,等待確認,正常持有,今天不下單,每個交易日收盤後，檢查趨勢與法人籌碼,"已有部位可續抱觀察，但暫不追價；若收盤跌破60日EMA約 2,104.98 且法人籌碼轉弱，先減碼三分之一。",75.8,74.4,61.5,85,100,完整,2335,2330,151.4,81.37,27.76,45.28,228.69,42.53,40.65,12.61,0.68,5,0,122,122,122,122,122,-149.269,325.46299999999997,207.38299999999998,51.81899999999994,0,148,190,197,2,0,350020000,-6.994999999999999,-10.381999999999998,17.81,-130,181,-34,,-133.603,184.458,27.765000000000008,-134.954,58.97,77.78,72.43,88.48,false,false,8.78,14.74,高波動且5日漲幅過大；ETF加碼金額或跨基金共識不足
